Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,26.3,OKC,Big,1680,61,16.8%,65,119.9,81,12.8%,82,0.76,40,14.5%
Bam Adebayo,22.3,MIA,Big,2414,88,22.1%,63,119.1,98,23.7%,96,1.07,19,17.0%
LaMarcus Aldridge,34.3,SAS,Big,1753,89,22.4%,50,115.1,77,11.8%,38,0.52,93,8.4%
Nickeil Alexander-Walker,21.2,NOP,Combo,534,76,24.3%,15,97.1,61,21.0%,42,0.86,12,15.4%
Grayson Allen,24.1,MEM,Wing,684,50,16.0%,88,122.6,53,10.1%,53,0.63,39,11.9%
Jarrett Allen,21.5,BKN,Big,1838,28,13.6%,87,132.8,48,8.6%,64,0.63,66,12.4%
Al-Farouq Aminu,29.1,ORL,Forward,380,24,13.6%,1,77.2,59,8.8%,68,0.65,20,14.0%
Kyle Anderson,26.1,MEM,Forward,1296,40,14.6%,37,106.0,88,16.5%,95,1.13,23,13.9%
Giannis Antetokounmpo,24.9,MIL,Big,1915,100,37.5%,73,123.3,99,32.8%,90,0.88,59,13.0%
Carmelo Anthony,35.4,POR,Big,1897,83,20.7%,16,104.4,21,6.2%,3,0.30,79,11.0%
OG Anunoby,22.3,TOR,Forward,2062,20,13.4%,83,120.0,35,7.4%,51,0.55,48,12.1%
Ryan Arcidiacono,25.6,CHI,Wing,896,22,13.1%,54,111.7,74,14.3%,94,1.09,19,13.4%
Trevor Ariza,34.3,SAC,Forward,783,7,11.4%,43,108.5,60,9.1%,88,0.80,24,13.8%
Trevor Ariza,34.3,POR,Wing,701,17,12.0%,94,129.4,22,7.2%,47,0.60,12,14.4%
D.J. Augustin,32.0,ORL,Point,1419,33,21.7%,67,114.3,51,28.1%,78,1.29,63,12.2%
Deandre Ayton,21.3,PHX,Big,1235,83,20.8%,43,114.0,52,9.0%,24,0.43,60,12.9%
Dwayne Bacon,24.2,CHA,Wing,660,73,20.0%,3,83.3,69,12.6%,52,0.63,35,12.4%
Marvin Bagley,20.6,SAC,Big,326,90,22.9%,13,103.4,10,5.2%,0,0.23,83,10.4%
Lonzo Ball,22.0,NOP,Combo,2014,56,20.9%,44,104.6,86,29.0%,97,1.39,2,18.3%
Mohamed Bamba,21.5,ORL,Big,859,54,16.1%,26,108.6,40,7.8%,32,0.49,65,12.5%
J.J. Barea,35.3,DAL,Point,388,82,29.5%,20,102.7,96,37.7%,76,1.28,43,13.8%
Harrison Barnes,27.4,SAC,Forward,2474,63,16.9%,61,114.5,61,9.2%,47,0.54,80,9.2%
RJ Barrett,19.4,NYK,Wing,1678,86,23.8%,12,96.3,69,12.6%,28,0.53,27,13.0%
Will Barton,28.8,DEN,Wing,1903,77,20.7%,44,109.0,80,15.7%,76,0.76,69,9.7%
Keita Bates-Diop,23.8,MIN,Big,617,39,14.7%,26,108.7,38,7.7%,38,0.52,99,6.1%
Nicolas Batum,30.9,CHA,Wing,488,14,11.9%,10,93.8,86,17.4%,99,1.47,2,17.3%
Aron Baynes,32.9,PHX,Big,934,76,19.3%,53,115.9,70,10.8%,47,0.56,73,11.8%
Kent Bazemore,30.3,POR,Wing,1077,45,15.4%,14,97.9,24,7.5%,22,0.49,11,14.5%
Kent Bazemore,30.3,SAC,Forward,556,73,19.1%,45,109.2,49,7.9%,21,0.41,47,12.3%
Darius Bazley,19.4,OKC,Big,1072,34,14.3%,7,97.3,8,5.1%,9,0.36,80,11.0%
Bradley Beal,26.3,WAS,Wing,2051,99,35.2%,65,116.4,98,28.4%,80,0.81,46,11.3%
Malik Beasley,22.9,MIN,Wing,462,80,21.2%,70,117.6,41,9.1%,11,0.43,78,9.2%
Malik Beasley,22.9,DEN,Wing,697,67,18.5%,23,102.8,38,8.9%,20,0.48,43,11.6%
Marco Belinelli,33.6,SAS,Wing,833,52,16.3%,30,103.8,54,10.1%,48,0.62,97,6.0%
Jordan Bell,24.8,MIN,Big,205,44,15.1%,45,114.5,54,9.1%,59,0.60,4,22.5%
DeAndre' Bembry,25.3,ATL,Combo,881,3,14.2%,20,99.6,20,12.9%,52,0.90,3,17.9%
Dragan Bender,22.0,GSW,Big,184,82,20.3%,11,102.8,91,16.8%,87,0.83,13,17.9%
Davis Bertans,27.0,WAS,Forward,1570,64,17.0%,97,127.5,52,8.0%,33,0.47,81,9.1%
Patrick Beverley,31.3,LAC,Point,1341,4,14.7%,61,112.9,12,18.0%,73,1.23,37,14.1%
Khem Birch,27.1,ORL,Big,885,8,10.5%,40,113.1,41,7.8%,80,0.75,42,14.5%
Goga Bitadze,20.3,IND,Big,407,45,15.2%,13,103.0,26,6.7%,27,0.44,24,15.4%
Bismack Biyombo,27.2,CHA,Big,1029,51,15.6%,39,112.9,42,7.9%,36,0.50,54,13.4%
Nemanja Bjelica,31.5,SAC,Big,2009,62,16.9%,67,120.8,87,14.2%,88,0.84,64,12.7%
Eric Bledsoe,29.9,MIL,Point,1644,71,26.3%,73,115.0,49,27.5%,39,1.05,35,14.2%
Bogdan Bogdanovic,27.2,SAC,Wing,1752,81,22.7%,59,113.9,91,18.3%,79,0.81,49,11.1%
Bojan Bogdanovic,30.5,UTA,Forward,2082,89,24.1%,87,121.5,65,10.0%,19,0.41,19,14.1%
Isaac Bonga,20.0,WAS,Forward,1192,3,10.7%,92,124.7,45,7.8%,79,0.73,5,18.3%
Devin Booker,23.0,PHX,Wing,2508,97,31.3%,89,124.2,99,28.8%,87,0.92,15,14.3%
Chris Boucher,26.8,TOR,Big,742,63,16.9%,61,118.4,6,4.9%,2,0.29,98,6.7%
Ky Bowman,22.4,GSW,Point,958,12,18.5%,10,99.4,24,21.0%,53,1.14,18,16.2%
Avery Bradley,28.9,LAL,Combo,1184,5,14.3%,53,107.4,2,7.0%,2,0.49,64,11.7%
Tony Bradley,21.8,UTA,Big,613,19,12.7%,96,138.5,11,5.4%,22,0.43,32,15.0%
Mikal Bridges,23.2,PHX,Wing,1999,13,11.9%,91,125.4,31,8.5%,69,0.71,25,13.2%
Miles Bridges,21.6,CHA,Forward,1962,72,18.9%,31,104.2,63,9.2%,37,0.49,59,11.1%
Oshae Brissett,21.4,TOR,Forward,100,43,14.7%,4,81.3,16,6.1%,20,0.41,85,8.8%
Ryan Broekhoff,29.2,DAL,Forward,144,47,15.3%,28,103.8,43,7.8%,40,0.51,95,7.6%
Malcolm Brogdon,26.9,IND,Combo,1665,89,29.5%,58,108.6,98,35.1%,86,1.19,59,11.9%
Dillon Brooks,23.8,MEM,Wing,2111,84,23.7%,27,103.1,55,10.4%,13,0.44,58,10.2%
Bruce Brown,23.2,DET,Combo,1616,29,18.1%,33,103.3,62,21.1%,85,1.16,17,15.1%
Jaylen Brown,23.0,BOS,Wing,1929,82,23.3%,69,117.3,44,9.5%,9,0.41,38,12.0%
Sterling Brown,24.7,MIL,Wing,671,46,15.4%,18,100.9,28,8.1%,26,0.52,31,12.8%
Troy Brown,20.3,WAS,Wing,1732,60,17.4%,34,105.2,72,14.0%,78,0.80,56,10.5%
Jalen Brunson,23.2,DAL,Point,973,45,23.3%,37,107.4,43,25.7%,51,1.10,75,11.8%
Thomas Bryant,22.3,WAS,Big,1144,61,16.9%,85,131.0,67,10.6%,61,0.63,76,11.5%
Reggie Bullock,28.6,NYK,Wing,682,39,14.7%,21,101.7,33,8.7%,43,0.59,86,8.2%
Trey Burke,27.0,PHI,Point,282,27,20.3%,49,110.4,41,24.7%,71,1.22,94,8.6%
Trey Burke,27.0,DAL,Point,190,41,23.1%,53,111.6,31,22.9%,27,0.99,92,8.8%
Alec Burks,28.3,GSW,Wing,1384,87,24.0%,53,111.3,90,18.3%,75,0.76,67,9.9%
Alec Burks,28.3,PHI,Combo,361,70,23.7%,94,122.2,38,17.4%,23,0.73,97,6.6%
Deonte Burton,25.7,OKC,Forward,283,51,15.9%,0,65.3,37,7.4%,31,0.47,43,12.6%
Jimmy Butler,30.1,MIA,Wing,1957,94,27.3%,74,118.2,97,28.3%,92,1.03,57,10.4%
Bruno Caboclo,24.1,MEM,Big,150,35,14.3%,2,89.1,18,6.1%,20,0.42,99,5.7%
Kentavious Caldwell-Pope,26.7,LAL,Wing,1749,26,13.4%,66,116.8,31,8.5%,56,0.63,53,10.7%
Clint Capela,25.5,HOU,Big,1275,27,13.5%,76,125.3,13,5.5%,16,0.41,32,15.0%
DeMarre Carroll,33.3,SAS,Forward,110,39,14.5%,9,92.6,67,11.0%,83,0.76,0,24.0%
DeMarre Carroll,33.3,HOU,Big,114,23,13.4%,93,136.7,78,12.0%,91,0.90,75,11.6%
Jevon Carter,24.1,PHX,Combo,866,0,12.8%,85,116.7,15,12.7%,65,0.99,83,10.6%
Vince Carter,42.8,ATL,Big,857,54,16.1%,5,94.1,43,8.0%,35,0.50,84,10.1%
Wendell Carter,20.5,CHI,Big,1253,46,15.2%,56,116.9,20,6.2%,15,0.41,22,16.1%
Michael Carter-Williams,28.1,ORL,Combo,808,39,19.3%,45,105.2,47,19.3%,68,1.00,35,13.5%
Alex Caruso,25.7,LAL,Combo,1128,6,15.1%,47,105.8,24,13.7%,53,0.91,41,13.2%
Willie Cauley-Stein,26.2,DAL,Big,147,14,12.2%,98,144.4,63,10.3%,88,0.84,70,12.0%
Willie Cauley-Stein,26.2,GSW,Big,938,29,13.6%,47,114.6,58,9.8%,77,0.72,70,12.0%
Tyson Chandler,37.1,HOU,Big,219,0,5.1%,99,145.5,1,3.7%,77,0.73,2,29.1%
Wilson Chandler,32.5,BKN,Big,730,20,12.8%,19,106.2,44,8.1%,65,0.63,29,15.2%
Chris Chiozza,23.9,BKN,Point,244,31,21.1%,65,114.1,53,28.2%,82,1.34,22,15.1%
Chris Chiozza,23.9,WAS,Point,103,14,18.8%,2,75.9,88,36.1%,100,1.92,51,13.5%
Marquese Chriss,22.3,GSW,Big,1160,71,18.2%,66,120.3,89,14.6%,86,0.80,24,15.6%
Gary Clark,25.0,HOU,Big,194,13,12.0%,21,107.0,29,7.0%,55,0.58,100,3.7%
Gary Clark,25.0,ORL,Forward,337,0,8.4%,69,116.9,0,1.3%,0,0.16,67,10.5%
