Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Quincy Acy,24.1,NYK,Big,1179,32,14.3%,40,105.1,67,9.4%,84,0.65,46,14.0%
Jordan Adams,20.3,MEM,Wing,185,53,17.3%,21,96.9,48,9.6%,39,0.55,29,13.7%
Steven Adams,21.3,OKC,Big,1767,23,13.5%,55,109.4,28,5.6%,38,0.42,14,17.8%
Jeff Adrien,28.7,MIN,Big,189,19,13.1%,6,92.2,62,8.9%,85,0.68,67,12.0%
Arron Afflalo,29.0,DEN,Wing,1746,61,18.7%,60,108.1,43,9.2%,21,0.49,62,11.0%
Arron Afflalo,29.0,POR,Wing,747,39,15.7%,58,107.9,5,5.1%,3,0.33,37,12.9%
Alexis Ajinca,26.5,NOP,Big,873,75,20.2%,79,116.8,54,8.2%,35,0.41,34,15.7%
Furkan Aldemir,23.2,PHI,Big,488,1,8.6%,14,96.2,44,7.2%,94,0.83,18,17.2%
Cole Aldrich,26.0,NYK,Big,915,62,18.0%,36,103.9,89,13.5%,91,0.75,30,16.3%
LaMarcus Aldridge,29.3,POR,Big,2508,99,28.3%,43,105.9,62,8.9%,18,0.31,96,7.5%
Lavoy Allen,25.7,IND,Big,1025,34,14.4%,21,99.0,72,10.2%,88,0.71,82,10.6%
Tony Allen,32.8,MEM,Wing,1631,40,15.8%,48,105.9,28,8.1%,27,0.51,15,14.8%
Al-Farouq Aminu,24.1,DAL,Forward,1277,26,14.1%,35,98.1,20,6.2%,20,0.44,41,12.5%
Lou Amundson,31.9,NYK,Big,856,64,18.1%,3,88.3,85,12.0%,84,0.66,24,16.7%
Chris Andersen,36.3,MIA,Big,1127,6,11.5%,94,124.0,33,6.3%,68,0.55,41,14.7%
Alan Anderson,32.0,BKN,Wing,1713,19,13.6%,86,114.9,22,7.6%,41,0.56,54,11.4%
Kyle Anderson,21.1,SAS,Wing,316,25,14.1%,10,86.3,67,11.7%,85,0.83,70,10.4%
