Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Quincy Acy,23.1,SAC,Big,744,3,9.2%,46,105.9,21,4.5%,62,0.49,23,17.5%
Steven Adams,20.3,OKC,Big,1115,12,11.3%,30,101.8,25,4.7%,44,0.41,7,23.2%
Jeff Adrien,27.7,CHA,Big,226,4,9.5%,41,104.5,19,4.3%,53,0.45,51,14.0%
Jeff Adrien,27.7,MIL,Big,676,61,17.8%,62,110.2,53,7.3%,44,0.41,79,11.4%
Arron Afflalo,28.0,ORL,Wing,2543,83,22.7%,84,115.7,87,17.0%,84,0.75,61,11.5%
Alexis Ajinca,25.5,NOP,Big,934,42,15.3%,85,117.8,50,6.8%,51,0.45,15,19.5%
Cole Aldrich,25.0,NYK,Big,210,26,13.0%,95,123.5,51,7.3%,71,0.56,53,13.9%
LaMarcus Aldridge,28.3,POR,Big,2496,99,28.1%,29,101.4,88,12.8%,53,0.45,98,7.5%
Lavoy Allen,24.7,PHI,Big,905,33,13.8%,15,95.2,78,10.6%,93,0.77,68,12.4%
Ray Allen,38.3,MIA,Wing,1897,40,15.7%,97,123.0,66,11.8%,84,0.75,36,13.0%
Tony Allen,31.8,MEM,Wing,1271,65,19.2%,57,107.9,61,11.5%,52,0.60,7,16.9%
Al-Farouq Aminu,23.1,NOP,Forward,2032,20,13.8%,41,103.1,45,8.3%,70,0.60,23,14.0%
Lou Amundson,30.9,NOP,Big,165,32,13.6%,27,100.0,36,5.7%,45,0.42,1,28.9%
Chris Andersen,35.3,MIA,Big,1368,18,12.0%,99,135.6,4,2.1%,4,0.17,42,15.3%
Alan Anderson,31.0,BKN,Wing,1622,34,14.9%,55,107.8,26,7.0%,29,0.47,70,10.3%
James Anderson,24.6,PHI,Wing,2289,34,15.0%,49,106.3,53,9.9%,69,0.66,40,12.8%
Ryan Anderson,25.5,NOP,Big,778,74,19.5%,72,113.2,11,3.3%,4,0.17,99,5.7%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,43,15.4%,25,100.0,80,12.0%,86,0.78,0,19.3%
Carmelo Anthony,29.4,NYK,Forward,2971,95,31.8%,80,113.2,91,15.5%,39,0.49,73,9.7%
Joel Anthony,31.2,BOS,Big,128,2,8.9%,1,76.0,6,2.4%,19,0.27,98,7.8%
Pero Antic,31.3,ATL,Big,898,58,17.4%,48,106.1,73,9.9%,73,0.57,47,14.8%
