Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Yuta Watanabe,24.1,MEM,Forward,139,21,13.0%,0,64.1,14,5.0%,24,0.38,70,9.6%
Russell Westbrook,30.0,OKC,Point,2641,100,35.4%,28,100.2,100,44.0%,67,1.24,39,13.9%
Derrick White,24.3,SAS,Point,1663,24,19.6%,65,110.9,15,19.8%,33,1.01,56,12.3%
Hassan Whiteside,29.4,MIA,Big,1669,73,19.8%,46,113.8,10,5.3%,4,0.27,59,12.2%
Andrew Wiggins,23.7,MIN,Wing,2540,92,23.7%,19,98.9,55,10.8%,18,0.45,69,9.7%
Johnathan Williams,23.4,LAL,Big,346,32,14.6%,66,119.2,10,5.2%,13,0.36,70,11.3%
Kenrich Williams,23.9,NOP,Wing,1057,12,11.9%,17,97.4,43,9.5%,74,0.80,42,11.3%
Lou Williams,32.0,LAC,Combo,1988,95,34.4%,66,110.9,90,31.8%,41,0.93,64,11.0%
Marvin Williams,32.4,CHA,Big,2130,20,13.5%,27,109.0,16,6.0%,25,0.45,97,7.0%
Robert Williams,21.0,BOS,Big,218,1,8.4%,98,138.1,1,3.7%,24,0.44,6,19.3%
Troy Williams,23.8,SAC,Forward,271,20,13.0%,23,100.0,17,5.3%,28,0.41,94,8.0%
D.J. Wilson,22.7,MIL,Big,817,20,13.5%,9,102.0,40,8.0%,58,0.59,80,10.3%
Justise Winslow,22.6,MIA,Forward,1941,89,22.2%,27,102.5,96,21.1%,97,0.95,18,14.4%
Christian Wood,23.1,NOP,Big,182,88,23.2%,77,123.6,8,5.1%,1,0.22,67,11.5%
Delon Wright,26.5,TOR,Combo,826,32,18.4%,46,105.2,37,18.1%,49,0.99,75,10.3%
Delon Wright,26.5,MEM,Combo,791,61,20.9%,44,104.7,73,25.5%,83,1.22,71,10.5%
Guerschon Yabusele,22.9,BOS,Big,169,21,13.5%,10,102.3,42,8.1%,62,0.60,7,18.9%
Thaddeus Young,30.4,IND,Big,2484,60,17.8%,47,114.0,75,12.1%,71,0.68,58,12.3%
Trae Young,20.1,ATL,Point,2491,94,32.5%,56,108.1,96,39.1%,59,1.20,19,15.5%
Cody Zeller,26.1,CHA,Big,1242,39,15.5%,71,121.5,72,11.5%,80,0.74,46,13.6%
Ante Zizic,21.8,CLE,Big,1026,49,16.6%,59,117.5,36,7.7%,30,0.46,26,15.0%
Ivica Zubac,21.6,LAL,Big,471,64,18.5%,88,127.9,35,7.7%,21,0.42,21,15.4%
Ivica Zubac,21.6,LAC,Big,507,69,18.9%,42,113.3,69,11.1%,57,0.59,16,16.3%
