percentile,fp_fanduel_RMSE,fp_fanduel_MAE,fp_fanduel_Bias
top_20,7.216012660099068,5.39418601616747,-1.7437240872754913
top_10,7.184709867289961,5.301539255828328,-0.747630415193991
all_pop,5.239938794172785,3.653027192151703,-0.6167956852775307
