player_name,game_date,y_true,y_pred
De'Aaron Fox,2017-11-11,15.200001,25.853712
De'Aaron Fox,2017-11-13,19.1,26.973675
De'Aaron Fox,2017-11-15,10.2,21.80325
DeMarre Carroll,2017-10-31,35.5,23.966692
DeMarre Carroll,2017-11-03,31.599998,20.799107
DeMarre Carroll,2017-11-06,25.2,21.863113
DeMarre Carroll,2017-11-07,14.7,24.035217
DeMarre Carroll,2017-11-10,33.100002,30.11288
DeMarre Carroll,2017-11-11,24.4,23.301617
DeMarre Carroll,2017-11-14,17.9,28.992048
Dejounte Murray,2017-10-30,23.0,22.09908
Dejounte Murray,2017-11-02,14.2,16.992016
Dejounte Murray,2017-11-03,18.7,16.435894
Dejounte Murray,2017-11-14,18.4,21.028818
Dejounte Murray,2017-11-15,9.3,14.299341
Dennis Smith Jr.,2017-11-04,25.5,25.510792
Dennis Smith Jr.,2017-11-07,44.6,37.237553
Dennis Smith Jr.,2017-11-11,48.499996,34.443943
Dennis Smith Jr.,2017-11-12,31.9,15.494149
Dennis Smith Jr.,2017-11-14,31.2,15.692119
Denzel Valentine,2017-11-10,14.6,14.968911
Denzel Valentine,2017-11-11,20.599998,21.313004
Denzel Valentine,2017-11-15,22.599998,21.274502
Derrick Favors,2017-10-28,29.5,33.75732
Derrick Favors,2017-10-30,21.0,27.42952
Derrick Favors,2017-11-01,11.0,24.58061
Derrick Favors,2017-11-03,24.4,36.9984
Derrick Favors,2017-11-05,21.4,30.85205
Derrick Favors,2017-11-07,13.4,22.191505
Derrick Favors,2017-11-10,11.7,32.461395
Derrick Favors,2017-11-11,46.4,44.01043
Derrick Favors,2017-11-13,26.0,26.689579
Derrick Favors,2017-11-15,34.5,34.811283
Derrick Rose,2017-11-07,10.2,14.752556
Devin Booker,2017-10-28,46.199997,48.703285
Devin Booker,2017-10-31,42.399998,40.664124
Devin Booker,2017-11-01,33.7,37.346443
Devin Booker,2017-11-08,45.600002,38.384293
Devin Booker,2017-11-11,53.8,49.605553
Devin Booker,2017-11-13,41.1,35.3996
Dewayne Dedmon,2017-10-29,12.0,25.662376
Dewayne Dedmon,2017-11-01,20.800001,27.900871
Dewayne Dedmon,2017-11-03,20.4,30.036385
Dewayne Dedmon,2017-11-05,20.4,25.370314
Dewayne Dedmon,2017-11-06,40.4,33.401295
Dewayne Dedmon,2017-11-10,28.3,27.894587
Dewayne Dedmon,2017-11-11,20.6,26.465189
Dewayne Dedmon,2017-11-13,18.699999,36.00912
Dewayne Dedmon,2017-11-15,56.3,47.88553
Dion Waiters,2017-10-30,49.0,32.756966
Dion Waiters,2017-11-01,27.9,20.787071
Dion Waiters,2017-11-03,20.099998,21.783882
Dion Waiters,2017-11-08,18.1,22.175032
Dion Waiters,2017-11-10,20.9,25.548952
Dion Waiters,2017-11-12,33.3,26.290468
Dion Waiters,2017-11-15,23.9,31.894983
Dirk Nowitzki,2017-10-26,28.400002,18.726849
Dirk Nowitzki,2017-10-28,23.5,15.313022
Dirk Nowitzki,2017-10-30,23.5,12.43209
Dirk Nowitzki,2017-11-01,29.099998,19.36144
Dirk Nowitzki,2017-11-03,13.2,24.89452
Dirk Nowitzki,2017-11-04,13.6,20.563828
Dirk Nowitzki,2017-11-07,11.5,15.61262
Dirk Nowitzki,2017-11-11,26.0,24.024223
Dirk Nowitzki,2017-11-12,7.7000003,15.16863
Dirk Nowitzki,2017-11-14,31.400002,28.277323
Domantas Sabonis,2017-11-01,38.4,34.18067
Domantas Sabonis,2017-11-03,23.699999,23.601597
Domantas Sabonis,2017-11-05,27.1,24.873257
Domantas Sabonis,2017-11-10,17.3,24.684542
Domantas Sabonis,2017-11-12,27.0,32.605526
Domantas Sabonis,2017-11-15,23.2,27.025389
