player_name,game_date,y_true,y_pred
Andre Drummond,2017-11-04,54.8,53.953224
Andre Drummond,2017-11-08,44.2,47.826008
Andre Drummond,2017-11-10,50.499996,46.837204
Andre Drummond,2017-11-12,34.4,39.19182
Andre Drummond,2017-11-15,38.4,39.932705
Andre Drummond,2017-11-17,43.499996,43.057606
Anthony Davis,2017-11-03,59.600002,59.822083
Anthony Davis,2017-11-04,53.2,61.644413
Anthony Davis,2017-11-07,66.8,56.669262
Anthony Davis,2017-11-09,41.4,52.325672
Anthony Davis,2017-11-11,55.5,52.045624
Anthony Davis,2017-11-13,48.5,50.01303
Anthony Davis,2017-11-15,36.5,39.597565
Anthony Davis,2017-11-17,29.0,33.674213
Ben Simmons,2017-11-07,52.600002,48.431828
Ben Simmons,2017-11-09,31.400002,38.351448
Ben Simmons,2017-11-11,33.0,39.49886
Ben Simmons,2017-11-13,43.399998,43.343994
Ben Simmons,2017-11-15,60.800003,58.007107
Blake Griffin,2017-10-30,25.599998,33.444836
Blake Griffin,2017-11-01,38.7,35.10043
Blake Griffin,2017-11-05,42.600002,37.736393
Damian Lillard,2017-10-30,44.4,49.464943
Damian Lillard,2017-11-01,61.0,52.476288
Damian Lillard,2017-11-02,44.7,48.05207
Damian Lillard,2017-11-05,62.5,51.03778
Damian Lillard,2017-11-07,25.0,41.122856
Damian Lillard,2017-11-10,36.8,40.71988
Damian Lillard,2017-11-13,39.5,39.65082
Damian Lillard,2017-11-15,47.699997,42.952694
Damian Lillard,2017-11-17,41.2,40.403652
DeMarcus Cousins,2017-11-01,73.8,60.758606
DeMarcus Cousins,2017-11-03,55.9,52.762287
DeMarcus Cousins,2017-11-04,47.199997,46.038975
DeMarcus Cousins,2017-11-07,60.6,55.04688
DeMarcus Cousins,2017-11-09,44.5,52.021904
DeMarcus Cousins,2017-11-11,55.5,51.83516
DeMarcus Cousins,2017-11-13,53.7,52.678623
DeMarcus Cousins,2017-11-15,52.3,51.43649
DeMarcus Cousins,2017-11-17,24.199999,54.55161
Giannis Antetokounmpo,2017-10-31,41.100002,46.45343
Giannis Antetokounmpo,2017-11-01,46.1,52.44396
Giannis Antetokounmpo,2017-11-03,50.3,49.593372
Giannis Antetokounmpo,2017-11-07,57.300003,57.641155
Giannis Antetokounmpo,2017-11-10,63.899998,59.61051
Giannis Antetokounmpo,2017-11-11,58.5,57.429012
Giannis Antetokounmpo,2017-11-13,58.3,56.298866
Giannis Antetokounmpo,2017-11-15,47.7,50.948757
Hassan Whiteside,2017-11-10,47.000004,50.33468
Hassan Whiteside,2017-11-12,43.4,42.4674
Hassan Whiteside,2017-11-15,39.2,37.85084
Hassan Whiteside,2017-11-17,46.699997,36.121887
James Harden,2017-10-30,52.3,51.869907
James Harden,2017-11-01,43.5,52.841915
James Harden,2017-11-03,50.100002,55.08697
James Harden,2017-11-05,76.9,62.5181
James Harden,2017-11-09,80.7,74.68896
James Harden,2017-11-11,54.800003,62.31453
James Harden,2017-11-12,57.5,67.18083
James Harden,2017-11-14,55.7,59.900646
James Harden,2017-11-16,64.9,65.68172
John Wall,2017-11-01,43.999996,45.96832
John Wall,2017-11-03,47.699997,44.714672
John Wall,2017-11-07,49.6,46.4003
John Wall,2017-11-09,53.100002,47.72303
John Wall,2017-11-11,33.5,40.214123
John Wall,2017-11-13,37.9,39.19685
John Wall,2017-11-15,48.8,45.838406
John Wall,2017-11-17,20.6,42.662235
Karl-Anthony Towns,2017-10-30,47.899998,47.949196
Karl-Anthony Towns,2017-11-01,13.0,34.83283
Karl-Anthony Towns,2017-11-04,52.399998,39.548096
Karl-Anthony Towns,2017-11-05,31.800001,39.84189
Karl-Anthony Towns,2017-11-08,33.899998,38.05298
Karl-Anthony Towns,2017-11-11,43.4,46.525223
Karl-Anthony Towns,2017-11-13,47.1,41.692406
Karl-Anthony Towns,2017-11-15,55.2,52.31557
Karl-Anthony Towns,2017-11-17,32.2,43.45599
Kevin Durant,2017-10-30,32.4,42.638397
Kevin Durant,2017-11-02,48.1,44.61571
Kevin Durant,2017-11-04,45.9,48.125248
Kevin Durant,2017-11-06,50.6,46.92691
Kevin Durant,2017-11-11,49.0,42.34903
Kevin Durant,2017-11-13,39.4,43.053318
Kevin Durant,2017-11-16,38.1,41.817574
Kristaps Porzingis,2017-11-03,55.399998,53.564198
Kristaps Porzingis,2017-11-05,68.1,59.17137
Kristaps Porzingis,2017-11-07,39.500004,44.23056
Kristaps Porzingis,2017-11-11,49.0,49.02954
Kristaps Porzingis,2017-11-13,36.9,37.78178
Kristaps Porzingis,2017-11-15,38.600002,37.16005
Kristaps Porzingis,2017-11-17,26.800001,39.168285
Kyrie Irving,2017-11-08,34.7,31.505295
Kyrie Irving,2017-11-10,0.0,14.345995
LaMarcus Aldridge,2017-11-14,50.0,43.044037
LeBron James,2017-10-29,40.5,53.64122
LeBron James,2017-11-01,57.7,56.670815
LeBron James,2017-11-03,92.7,73.44684
LeBron James,2017-11-05,54.5,57.421715
LeBron James,2017-11-07,61.1,59.90058
LeBron James,2017-11-09,46.3,58.02303
LeBron James,2017-11-11,35.2,52.345867
LeBron James,2017-11-13,55.8,49.839993
LeBron James,2017-11-15,56.2,50.833447
LeBron James,2017-11-17,58.8,48.869335
Nikola Jokic,2017-11-03,52.8,45.66729
Nikola Jokic,2017-11-04,25.9,49.23951
Nikola Jokic,2017-11-07,73.9,49.94617
Nikola Jokic,2017-11-09,32.7,47.598167
Nikola Jokic,2017-11-11,59.899998,51.841267
Nikola Jokic,2017-11-13,27.900002,46.86789
Nikola Jokic,2017-11-17,36.2,39.43126
Russell Westbrook,2017-10-28,51.100002,48.334354
Russell Westbrook,2017-10-31,35.0,42.00957
Russell Westbrook,2017-11-03,39.7,42.719505
Russell Westbrook,2017-11-05,50.699997,42.319775
Russell Westbrook,2017-11-07,45.4,41.479637
Russell Westbrook,2017-11-09,34.899998,43.28407
Russell Westbrook,2017-11-10,42.600002,40.28716
Russell Westbrook,2017-11-12,46.699997,48.67403
