player_id,game_id,game_date,y,y_pred,player_name,team
203500,22000742,2021-04-02,0.0,0.32047045,Steven Adams,NOP
1628366,22000742,2021-04-02,0.0,0.5231001,Lonzo Ball,NOP
1630266,22000742,2021-04-02,0.0,0.7283458,Will Magnay,NOP
1628398,22000746,2021-04-02,3.0,2.3984013,Kyle Kuzma,LAL
202693,22000746,2021-04-02,0.0,1.7589277,Markieff Morris,LAL
201188,22000746,2021-04-02,5.0,1.1222914,Marc Gasol,LAL
203484,22000746,2021-04-02,2.0,1.0301778,Kentavious Caldwell-Pope,LAL
203471,22000746,2021-04-02,5.0,2.923264,Dennis Schroder,LAL
1629634,22000741,2021-04-02,1.0,0.57055175,Brandon Clarke,MEM
204001,22000747,2021-04-03,0.0,0.5002202,Kristaps Porzingis,DAL
1628960,22000741,2021-04-02,1.0,0.94311595,Grayson Allen,MEM
1628383,22000738,2021-04-02,0.0,-0.04820494,Justin Patton,HOU
1628425,22000738,2021-04-02,0.0,1.0752337,Sterling Brown,HOU
1629645,22000738,2021-04-02,4.0,3.51369,Kevin Porter Jr.,HOU
202340,22000738,2021-04-02,0.0,0.045665044,Avery Bradley,HOU
203482,22000738,2021-04-02,1.0,0.8830431,Kelly Olynyk,HOU
1630231,22000738,2021-04-02,0.0,1.0367138,KJ Martin,HOU
201571,22000738,2021-04-02,3.0,2.4347441,D.J. Augustin,HOU
1628391,22000738,2021-04-02,1.0,0.70758945,D.J. Wilson,HOU
203463,22000738,2021-04-02,0.0,0.25988096,Ben McLemore,LAL
1630237,22000738,2021-04-02,0.0,0.33649752,Anthony Lamb,HOU
1627759,22000738,2021-04-02,1.0,2.6621928,Jaylen Brown,BOS
1630256,22000738,2021-04-02,0.0,1.0301778,Jae'Sean Tate,HOU
1628369,22000738,2021-04-02,4.0,1.9543347,Jayson Tatum,BOS
1629057,22000738,2021-04-02,0.0,0.6468489,Robert Williams III,BOS
203935,22000738,2021-04-02,3.0,1.7814736,Marcus Smart,BOS
202689,22000738,2021-04-02,2.0,2.319708,Kemba Walker,BOS
203095,22000738,2021-04-02,2.0,0.37211087,Evan Fournier,BOS
1628436,22000738,2021-04-02,0.0,0.15434086,Luke Kornet,BOS
1630202,22000738,2021-04-02,0.0,0.17528243,Payton Pritchard,BOS
1629684,22000738,2021-04-02,0.0,0.44376242,Grant Williams,BOS
1629682,22000738,2021-04-02,0.0,0.045665044,Tremont Waters,BOS
1626174,22000738,2021-04-02,2.0,1.9249183,Christian Wood,HOU
