date,fanduel_player_pool_count,fanduel_GT_players,fanduel_predicted_players,fanduel_GT_points,fanduel_predicted_points,fanduel_predicted_lineup_GT_points,fanduel_GT_lineup_predicted_points,fanduel_GT_salary,fanduel_predicted_salary,fanduel_GT_duplicates,fanduel_predicted_duplicates,fanduel_overlap_players,fanduel_overlap_count,fanduel_overlap_GT_points,fanduel_overlap_predicted_points
2023-02-28,85,"['Khris Middleton', 'Gary Trent Jr.', 'Spencer Dinwiddie', 'Desmond Bane', ""De'Andre Hunter"", 'Kyrie Irving', 'Kevon Looney', 'Daniel Gafford', 'Jeremy Sochan']","['Dejounte Murray', 'Clint Capela', 'Tim Hardaway Jr.', 'Kevin Huerter', 'John Collins', 'Bennedict Mathurin', 'Tari Eason', 'Mason Plumlee', 'Myles Turner']",310.10000228881836,,251.19999504089355,,59800.0,57100.0,0,0,[],0,0.0,0.0
2023-03-01,67,"['Bojan Bogdanovic', 'Killian Hayes', 'Jerami Grant', 'Markelle Fultz', 'Brandon Ingram', 'Robert Williams III', 'Jalen Williams', 'Cameron Johnson', 'Jaden Ivey']","['Trey Murphy III', 'Wendell Carter Jr.', 'Jaden Ivey', 'CJ McCollum', 'Markelle Fultz', 'Malcolm Brogdon', 'Wendell Carter Jr.', 'Gordon Hayward', 'Naji Marshall']",355.70001220703125,,243.19999647140503,,58600.0,58700.0,0,1,"['Markelle Fultz', 'Jaden Ivey']",2,59.70000076293945,
2023-03-02,35,"['Russell Westbrook', 'Jeremy Sochan', 'Daniel Gafford', 'Tyrese Maxey', 'Kyle Kuzma', 'Keita Bates-Diop', 'Buddy Hield', 'Kevon Looney', 'Jakob Poeltl']","['Tobias Harris', 'Myles Turner', 'Draymond Green', 'Tyrese Maxey', 'Mason Plumlee', 'Keita Bates-Diop', 'Klay Thompson', 'Buddy Hield', 'Pascal Siakam']",320.799991607666,,306.09999084472656,,59100.0,62500.0,0,0,"['Keita Bates-Diop', 'Buddy Hield', 'Tyrese Maxey']",3,106.49999618530273,
2023-03-03,86,"['Tyler Herro', 'Russell Westbrook', 'Malik Beasley', 'Trey Murphy III', 'Jaren Jackson Jr.', 'Trey Murphy III', 'Malik Beasley', 'Cameron Johnson', 'Dejounte Murray']","['Robert Williams III', 'Tyus Jones', 'Jalen Brunson', 'Brandon Ingram', 'Terance Mann', 'Brandon Clarke', ""De'Andre Hunter"", 'Jordan Poole', 'Wendell Carter Jr.']",316.2000026702881,,186.7000024318695,,59300.0,58500.0,2,0,[],0,0.0,0.0
2023-03-04,45,"['Jrue Holiday', 'Malik Monk', 'Kevin Huerter', 'Brook Lopez', 'Onyeka Okongwu', 'Keita Bates-Diop', 'Tyrese Maxey', 'Bam Adebayo', 'Kyle Anderson']","['Jaden McDaniels', 'Khris Middleton', 'Jimmy Butler', 'Tari Eason', ""De'Andre Hunter"", 'Jimmy Butler', 'Dejounte Murray', 'Jrue Holiday', 'Rudy Gobert']",335.3000030517578,,306.0000057220459,,58100.0,66400.0,0,1,['Jrue Holiday'],1,49.30000305175781,
2023-03-05,73,"['Spencer Dinwiddie', 'Keita Bates-Diop', 'Tyus Jones', 'Tim Hardaway Jr.', 'Franz Wagner', 'Donte DiVincenzo', 'Deni Avdija', 'Jayson Tatum', 'RJ Barrett']","['Deni Avdija', 'Deni Avdija', 'Paolo Banchero', 'Keita Bates-Diop', 'Tyus Jones', 'Anthony Davis', 'Franz Wagner', 'Paul George', 'Tari Eason']",371.00000381469727,,376.00000381469727,,58500.0,61900.0,0,1,"['Tyus Jones', 'Keita Bates-Diop', 'Franz Wagner', 'Deni Avdija']",4,152.40000343322754,
2023-03-06,50,"['Donovan Mitchell', 'Kevin Huerter', 'Herbert Jones', 'Kentavious Caldwell-Pope', 'Domantas Sabonis', ""De'Andre Hunter"", 'T.J. McConnell', 'Malcolm Brogdon', 'Trey Murphy III']","['Harrison Barnes', 'Jaylen Brown', 'Fred VanVleet', 'Herbert Jones', 'Aaron Gordon', 'Jimmy Butler', 'Jarrett Allen', 'Saddiq Bey', 'Gary Trent Jr.']",349.00000190734863,,322.79999828338623,,58000.0,64000.0,0,0,['Herbert Jones'],1,39.60000228881836,
2023-03-07,58,"['Tyrese Maxey', 'Terry Rozier', 'Tobias Harris', 'Jaden Ivey', 'Cole Anthony', 'Tobias Harris', 'Nic Claxton', 'Lauri Markkanen', 'Jabari Smith Jr.']","['Josh Giddey', 'Jabari Smith Jr.', 'Cameron Johnson', 'Franz Wagner', 'Julius Randle', 'Anthony Davis', 'Malik Beasley', 'Terry Rozier', 'Bradley Beal']",387.7999973297119,,323.70000076293945,,59600.0,69000.0,1,0,"['Jabari Smith Jr.', 'Terry Rozier']",2,64.10000038146973,
2023-03-08,62,"['Deni Avdija', 'Bogdan Bogdanovic', 'Tim Hardaway Jr.', 'Ivica Zubac', 'Bogdan Bogdanovic', 'Trey Murphy III', 'Damian Lillard', 'Fred VanVleet', 'Kentavious Caldwell-Pope']","['Donovan Mitchell', 'Bradley Beal', 'Jamal Murray', 'Trey Murphy III', 'Saddiq Bey', 'John Collins', 'Luguentz Dort', 'Ivica Zubac', 'Josh Richardson']",294.1999988555908,,218.79999923706055,,58900.0,60700.0,1,0,"['Ivica Zubac', 'Trey Murphy III']",2,68.29999923706055,
2023-03-09,46,"['Killian Hayes', 'Brook Lopez', 'Keegan Murray', 'Terry Rozier', 'Josh Hart', 'Cole Anthony', 'Jabari Smith Jr.', 'Gordon Hayward', 'T.J. McConnell']","['P.J. Washington', 'Cole Anthony', 'Jalen Duren', 'Jrue Holiday', 'Terry Rozier', 'Tari Eason', 'Donte DiVincenzo', 'Jalen Green', 'Desmond Bane']",325.899995803833,,253.70000410079956,,58200.0,62000.0,0,0,"['Cole Anthony', 'Terry Rozier']",2,66.90000057220459,
