player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Raul Neto,21600843,2017-02-15,1,1.0993772,3000.0,3000.0,10.0,PG,PG,PG
Nene,21600841,2017-02-15,9,8.320647,3000.0,3000.0,10.0,C,C,C
Boris Diaw,21600843,2017-02-15,4,4.282179,3000.0,3000.0,10.0,PF/C,PF/C,C
Khris Middleton,21600838,2017-02-15,3,2.9059012,3900.0,3900.0,17.0,SF,SF,SF
Joe Ingles,21600843,2017-02-15,4,3.9569135,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Aron Baynes,21600839,2017-02-15,11,9.930608,3500.0,3500.0,10.0,C,C,C
Kelly Olynyk,21600836,2017-02-15,7,5.4032474,4300.0,4300.0,10.0,PF/C,PF/C,C
Aaron Gordon,21600834,2017-02-15,6,5.921376,4600.0,4600.0,19.0,SF/PF,SF/PF,SF
Kris Humphries,21600846,2017-02-15,4,3.4511676,3000.0,3000.0,10.0,PF/C,PF/C,PF
Derrick Williams,21600835,2017-02-15,5,5.202701,3300.0,3300.0,10.0,SF,SF,SF
James Young,21600836,2017-02-15,3,3.1974382,3000.0,3000.0,10.0,SG,SG,SG
Tobias Harris,21600839,2017-02-15,4,3.6551743,5000.0,5000.0,21.0,SF/PF,SF/PF,PF
Al Horford,21600836,2017-02-15,5,5.905715,6800.0,6800.0,27.0,C,C,C
Brian Roberts,21600837,2017-02-15,1,1.3646084,3000.0,3000.0,10.0,PG,PG,PG
Thon Maker,21600838,2017-02-15,4,2.8822634,3400.0,3400.0,10.0,PF/C,PF/C,PF
Kyle Lowry,21600837,2017-02-15,6,6.1679425,8000.0,8000.0,42.0,PG,PG,PG
Tyreke Evans,21600840,2017-02-15,5,4.851664,4300.0,4300.0,16.0,SG/SF,SG/SF,SG
Marcelo Huertas,21600844,2017-02-15,0,0.2308217,3000.0,3000.0,10.0,PG,PG,PG
Spencer Dinwiddie,21600838,2017-02-15,5,5.0829854,3100.0,3100.0,10.0,PG,PG,PG
Dorian Finney-Smith,21600839,2017-02-15,1,1.5029279,3000.0,3000.0,10.0,SF,SF,SF
Dewayne Dedmon,21600834,2017-02-15,11,10.994668,4600.0,4600.0,12.0,C,C,C
Marquese Chriss,21600844,2017-02-15,8,7.9464817,3800.0,3800.0,10.0,PF,PF,PF
Shaun Livingston,21600847,2017-02-15,1,0.9537247,3700.0,3700.0,10.0,PG,PG,PG
Malcolm Delaney,21600846,2017-02-15,1,1.0201174,3000.0,3000.0,10.0,PG,PG,PG
Trevor Ariza,21600841,2017-02-15,4,4.1244745,5900.0,5900.0,20.0,SF/PF,SF/PF,SF
Paul Millsap,21600846,2017-02-15,2,3.6916118,7900.0,7900.0,35.0,PF,PF,PF
Kristaps Porzingis,21600845,2017-02-15,7,6.805033,6500.0,6500.0,31.0,PF,PF,PF
Kyle O'Quinn,21600845,2017-02-15,4,4.2962794,4300.0,4300.0,11.0,PF/C,PF/C,PF
Paul George,21600835,2017-02-15,7,6.5369806,7900.0,7900.0,39.0,SF,SF,SF
Sergio Rodriguez,21600836,2017-02-15,3,2.7793713,3300.0,3300.0,10.0,PG,PG,PG
Wesley Johnson,21600846,2017-02-15,4,3.8678548,3000.0,3000.0,10.0,SF,SF,SF
Treveon Graham,21600837,2017-02-15,1,1.2549697,3000.0,3000.0,10.0,SF,SF,SG
Kris Dunn,21600842,2017-02-15,4,4.2475963,3100.0,3100.0,10.0,PG,PG,PG
Shabazz Napier,21600843,2017-02-15,1,0.71479833,3000.0,3000.0,10.0,PG,PG,PG
Jeff Green,21600834,2017-02-15,3,3.513985,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Dwight Howard,21600846,2017-02-15,15,15.526589,7100.0,7100.0,25.0,C,C,C
Nick Young,21600844,2017-02-15,4,4.124171,4600.0,4600.0,12.0,SG,SG,SG
Brandan Wright,21600840,2017-02-15,1,1.2249844,3000.0,3000.0,10.0,C,C,C
Dwight Powell,21600839,2017-02-15,0,0.22177202,3000.0,3000.0,10.0,PF,PF,PF
Luol Deng,21600844,2017-02-15,2,2.5619016,3200.0,3200.0,10.0,SF,SF,SF
Al Jefferson,21600835,2017-02-15,6,5.369312,3000.0,3000.0,10.0,C,C,C
Andrew Bogut,21600839,2017-02-15,8,7.427988,3000.0,3000.0,10.0,C,C,C
Luc Mbah a Moute,21600846,2017-02-15,1,1.0887297,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Domantas Sabonis,21600845,2017-02-15,6,6.088379,3100.0,3100.0,10.0,PF,PF,PF
Alan Anderson,21600846,2017-02-15,3,2.96564,3000.0,3000.0,10.0,SG,SG,SG
Jared Dudley,21600844,2017-02-15,4,1.6889466,3000.0,3000.0,10.0,SF,SF,SF
Pat Connaughton,21600843,2017-02-15,7,6.6815696,3000.0,3000.0,10.0,SG,SG,SG
Justin Anderson,21600839,2017-02-15,1,1.1191852,3000.0,3000.0,10.0,SF,SF,SF
Mirza Teletovic,21600838,2017-02-15,1,1.3705988,3200.0,3200.0,10.0,PF,PF,PF
Shabazz Muhammad,21600842,2017-02-15,3,3.1710062,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Matthew Dellavedova,21600838,2017-02-15,0,0.10725874,3500.0,3500.0,10.0,PG/SG,PG/SG,SG
Elfrid Payton,21600834,2017-02-15,3,3.5532084,5200.0,5200.0,20.0,PG,PG,PG
Will Barton,21600842,2017-02-15,9,7.085719,7300.0,7300.0,21.0,SG/SF,SG/SF,SG
Joel Anthony,21600834,2017-02-15,2,2.1032012,3000.0,3000.0,10.0,PF,PF,PF
Delon Wright,21600837,2017-02-15,1,1.1504518,3000.0,3000.0,10.0,PG,PG,PG
Tony Allen,21600840,2017-02-15,3,3.2086134,4500.0,4500.0,10.0,SG/SF,SG/SF,SG
Kawhi Leonard,21600834,2017-02-15,5,5.4936824,8900.0,8900.0,45.0,SF,SF,SF
Wesley Matthews,21600839,2017-02-15,2,2.9641664,5700.0,5700.0,20.0,SG/SF,SG/SF,SF
DeAndre Liggins,21600835,2017-02-15,0,0.18921365,3400.0,3400.0,10.0,SG,SG,SG
Ersan Ilyasova,21600836,2017-02-15,3,3.6819968,5200.0,5200.0,22.0,PF,PF,PF
E'Twaun Moore,21600840,2017-02-15,1,1.2519522,3600.0,3600.0,10.0,PG/SG,PG/SG,PG
DeMarcus Cousins,21600847,2017-02-15,4,4.7895126,11300.0,11300.0,57.0,PF/C,PF/C,PF
Wayne Ellington,21600841,2017-02-15,1,1.1572771,3800.0,3800.0,10.0,SG,SG,SG
Tyler Johnson,21600841,2017-02-15,7,6.8618927,5100.0,5100.0,19.0,PG,PG,PG
Patty Mills,21600834,2017-02-15,2,2.3274972,3200.0,3200.0,10.0,PG,PG,PG
Jerami Grant,21600845,2017-02-15,5,4.5514627,3200.0,3200.0,10.0,SF/PF,SF/PF,PF
DeAndre' Bembry,21600846,2017-02-15,2,2.3554113,3000.0,3000.0,10.0,SF,SF,SF
Arron Afflalo,21600847,2017-02-15,0,0.34959495,3600.0,3600.0,10.0,SG,SG,SG
Sean Kilpatrick,21600838,2017-02-15,1,1.9432193,4100.0,4100.0,11.0,PG/SG,PG/SG,SG
Manu Ginobili,21600834,2017-02-15,2,2.2603314,3100.0,3100.0,10.0,SG,SG,SG
Andre Roberson,21600845,2017-02-15,7,6.014757,3800.0,3800.0,10.0,SF,SF,SF
Aaron Brooks,21600835,2017-02-15,1,0.999862,3000.0,3000.0,10.0,PG,PG,PG
Damjan Rudez,21600834,2017-02-15,0,0.12191442,3000.0,3000.0,10.0,SF,SF,SG
Corey Brewer,21600841,2017-02-15,2,1.7806246,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Kyle Anderson,21600834,2017-02-15,6,6.1890225,3300.0,3300.0,10.0,SG,SG,SG
Dario Saric,21600836,2017-02-15,11,10.775391,5800.0,5800.0,13.0,SF/PF,SF/PF,SF
Jae Crowder,21600836,2017-02-15,5,5.542913,5700.0,5700.0,25.0,SF,SF,SF
Iman Shumpert,21600835,2017-02-15,1,1.385661,3600.0,3600.0,10.0,PG/SG,PG/SG,SG
Alex Abrines,21600845,2017-02-15,1,0.97942984,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Tyus Jones,21600842,2017-02-15,0,0.19256678,3000.0,3000.0,10.0,PG,PG,PG
Bismack Biyombo,21600834,2017-02-15,3,2.0842266,3600.0,3600.0,10.0,C,C,C
Tristan Thompson,21600835,2017-02-15,12,9.974901,5500.0,5500.0,14.0,C,C,C
Ivica Zubac,21600844,2017-02-15,4,5.1511526,3800.0,3800.0,10.0,C,C,C
Terry Rozier,21600836,2017-02-15,1,1.539747,3000.0,3000.0,10.0,PG,PG,PG
Brandon Ingram,21600844,2017-02-15,2,2.3382435,4200.0,4200.0,11.0,SF,SF,SF
Meyers Leonard,21600843,2017-02-15,1,1.152567,3300.0,3300.0,10.0,PF/C,PF/C,PF
