player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Langston Galloway,22000053,2020-12-29,1,1.8348175,3200.0,3200.0,10.0,PG/SG,PG/SG,SG
Killian Hayes,22000047,2020-12-29,1,2.5916133,4300.0,4300.0,10.0,PG,PG,PG
Malcolm Brogdon,22000048,2020-12-29,7,5.8809004,7200.0,7200.0,33.0,PG,PG,PG
Chris Silva,22000051,2020-12-29,0,0.17214267,3000.0,3000.0,10.0,C,C,C
Ish Smith,22000050,2020-12-29,1,2.8046331,5100.0,5100.0,13.0,PG,PG,PG
Michael Carter-Williams,22000052,2020-12-29,2,2.0726166,3700.0,3700.0,10.0,PG/SG,PG/SG,SG
Bryn Forbes,22000051,2020-12-29,1,1.9739267,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
E'Twaun Moore,22000053,2020-12-29,0,0.092928246,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Robert Williams III,22000048,2020-12-29,0,0.092928246,3900.0,3900.0,11.0,C,C,C
Darius Bazley,22000052,2020-12-29,2,1.992514,5800.0,5800.0,14.0,PF,PF,PF
Eric Paschall,22000047,2020-12-29,1,2.2876344,5000.0,5000.0,17.0,SF/PF,SF/PF,PF
Serge Ibaka,22000054,2020-12-29,4,2.26142,5500.0,5500.0,21.0,C,C,C
Zion Williamson,22000053,2020-12-29,0,0.17214267,8100.0,8100.0,38.0,PF/C,PF/C,PF
Anthony Gill,22000050,2020-12-29,0,0.092928246,3000.0,3000.0,10.0,PF,PF,SF
Grant Williams,22000048,2020-12-29,0,0.17214267,3100.0,3100.0,10.0,SF/PF,SF/PF,PF
Mike Muscala,22000052,2020-12-29,2,1.2814584,3200.0,3200.0,10.0,C,C,C
Precious Achiuwa,22000051,2020-12-29,0,0.092928246,3100.0,3100.0,10.0,PF/C,PF/C,PF
Bobby Portis,22000051,2020-12-29,1,0.3871438,5000.0,5000.0,14.0,PF/C,PF/C,C
