player_name,game_id,game_date,y,y_pred
Matt Barnes,21600968,2017-03-10,1,1.2841189
Dorian Finney-Smith,21600971,2017-03-10,0,0.09501642
Stephen Zimmerman,21600965,2017-03-10,0,0.0682255
Avery Bradley,21600970,2017-03-10,2,1.9492526
Cristiano Felicio,21600966,2017-03-10,0,0.08628197
Cameron Payne,21600966,2017-03-10,2,2.0560732
Briante Weber,21600965,2017-03-10,2,1.9967903
Myles Turner,21600967,2017-03-10,1,0.9001339
Nene,21600966,2017-03-10,2,2.0885313
Ben McLemore,21600972,2017-03-10,0,0.0682255
Ersan Ilyasova,21600969,2017-03-10,2,2.0994687
Al Jefferson,21600967,2017-03-10,0,0.048190508
Kent Bazemore,21600969,2017-03-10,1,1.0122226
Marvin Williams,21600965,2017-03-10,7,5.8528843
Jason Terry,21600967,2017-03-10,1,1.047479
Clint Capela,21600966,2017-03-10,1,1.0965173
Monta Ellis,21600967,2017-03-10,1,2.012129
Norman Powell,21600969,2017-03-10,0,0.08203173
Rashad Vaughn,21600967,2017-03-10,1,0.8129362
