player_name,game_id,game_date,y,y_pred
Alan Williams,21600907,2017-03-02,0,0.066630796
Klay Thompson,21600906,2017-03-02,1,0.95669806
Jrue Holiday,21600900,2017-03-01,5,5.1492724
Frank Kaminsky,21600907,2017-03-02,0,0.48238015
Isaiah Thomas,21600901,2017-03-01,5,3.91044
Harrison Barnes,21600897,2017-03-01,4,4.0948
John Wall,21600896,2017-03-01,13,12.48868
Wayne Ellington,21600898,2017-03-01,0,0.06783591
Giannis Antetokounmpo,21600899,2017-03-01,4,2.9383442
Kristaps Porzingis,21600895,2017-03-01,2,2.049024
Ty Lawson,21600905,2017-03-01,9,8.828769
Evan Fournier,21600895,2017-03-01,2,2.2183523
Bojan Bogdanovic,21600896,2017-03-01,0,0.13617727
Anthony Davis,21600900,2017-03-01,3,2.9900327
T.J. McConnell,21600898,2017-03-01,5,5.119533
Serge Ibaka,21600896,2017-03-01,0,0.067391
Brook Lopez,21600905,2017-03-01,0,0.32285196
Karl-Anthony Towns,21600903,2017-03-01,3,2.8130393
LeBron James,21600901,2017-03-01,10,8.984754
Yogi Ferrell,21600897,2017-03-01,9,7.2912693
Andre Drummond,21600900,2017-03-01,0,0.07822798
Bradley Beal,21600896,2017-03-01,3,3.0445526
Malcolm Brogdon,21600899,2017-03-01,3,4.3694096
Dennis Schroder,21600897,2017-03-01,6,5.9933443
Nene,21600904,2017-03-01,0,0.07822798
Robert Covington,21600898,2017-03-01,0,0.1900085
Nemanja Bjelica,21600903,2017-03-01,5,4.9217596
James Harden,21600904,2017-03-01,9,9.108269
Kawhi Leonard,21600902,2017-03-01,2,1.4572393
Blake Griffin,21600904,2017-03-01,5,4.1692705
Alex Abrines,21600908,2017-03-02,0,0.07759765
Robin Lopez,21600906,2017-03-02,0,0.19435835
Brian Roberts,21600907,2017-03-02,1,1.1237338
Bobby Brown,21600904,2017-03-01,0,0.06922646
James Johnson,21600898,2017-03-01,3,3.604341
Kelly Olynyk,21600901,2017-03-01,2,2.1014566
Danny Green,21600902,2017-03-01,3,3.0266898
Trevor Ariza,21600904,2017-03-01,2,2.1987789
Rodney McGruder,21600898,2017-03-01,2,2.049024
Patty Mills,21600902,2017-03-01,4,4.0540094
Austin Rivers,21600904,2017-03-01,4,4.3136754
Darren Collison,21600905,2017-03-01,2,2.6090915
Dewayne Dedmon,21600902,2017-03-01,0,0.08828454
Jamal Murray,21600899,2017-03-01,5,4.841403
Thaddeus Young,21600902,2017-03-01,1,1.2180412
Trey Lyles,21600903,2017-03-01,1,1.0662613
Anthony Tolliver,21600905,2017-03-01,1,0.4244625
Nicolas Brussino,21600897,2017-03-01,1,0.9767758
Justin Anderson,21600898,2017-03-01,2,1.9938775
Wesley Johnson,21600904,2017-03-01,0,0.06859612
Tyreke Evans,21600905,2017-03-01,0,0.6009922
Terrence Ross,21600895,2017-03-01,2,2.0025134
Salah Mejri,21600897,2017-03-01,0,0.06922646
Ryan Anderson,21600904,2017-03-01,2,1.9812547
Courtney Lee,21600895,2017-03-01,2,2.3126686
George Hill,21600903,2017-03-01,3,2.5164087
Randy Foye,21600905,2017-03-01,1,1.0969139
