date,fanduel_player_pool_count,fanduel_GT_players,fanduel_predicted_players,fanduel_GT_points,fanduel_predicted_points,fanduel_predicted_lineup_GT_points,fanduel_GT_lineup_predicted_points,fanduel_GT_salary,fanduel_predicted_salary,fanduel_GT_duplicates,fanduel_predicted_duplicates,fanduel_overlap_players,fanduel_overlap_count,fanduel_overlap_GT_points,fanduel_overlap_predicted_points
2022-11-12,10,"['Nic Claxton', 'Bojan Bogdanovic', 'Isaiah Stewart', 'Bojan Bogdanovic', 'Kevin Durant', 'Jordan Clarkson', 'Isaiah Stewart', 'Saddiq Bey', 'Jordan Clarkson']","['Gary Trent Jr.', 'Saddiq Bey', 'Isaiah Stewart', 'Nic Claxton', 'Kevin Durant', 'Kelly Oubre Jr.', 'Nic Claxton', 'Bojan Bogdanovic', 'Lauri Markkanen']",267.90000343322754,,291.4999990463257,,59500.0,61800.0,3,1,"['Kevin Durant', 'Bojan Bogdanovic', 'Nic Claxton', 'Saddiq Bey', 'Isaiah Stewart']",5,171.9000015258789,
2022-11-13,11,"[""D'Angelo Russell"", 'Nic Claxton', 'Anthony Edwards', ""D'Angelo Russell"", 'Nic Claxton', 'Kelly Olynyk', 'Mike Conley', 'Kelly Olynyk', 'Karl-Anthony Towns']","['Kelly Olynyk', 'Lauri Markkanen', 'Jordan Clarkson', 'Nikola Vucevic', 'Anthony Edwards', 'Nic Claxton', 'Mike Conley', 'Jordan Clarkson', ""D'Angelo Russell""]",255.40000343322754,,202.90000438690186,,59600.0,61300.0,3,1,"['Kelly Olynyk', 'Mike Conley', 'Nic Claxton', 'Anthony Edwards', ""D'Angelo Russell""]",5,115.70000076293945,
2022-11-14,17,"['Kelly Oubre Jr.', 'Saddiq Bey', 'Clint Capela', 'Jordan Poole', 'Jalen Green', 'John Collins', 'P.J. Washington', 'Marcus Smart', 'Jaden Ivey']","['Scottie Barnes', 'Marcus Smart', 'Jordan Poole', 'P.J. Washington', 'Brook Lopez', 'Isaiah Stewart', 'Brook Lopez', 'Jalen Green', 'Bojan Bogdanovic']",336.0999984741211,,269.09999656677246,,55900.0,57800.0,0,1,"['Marcus Smart', 'Jordan Poole', 'Jalen Green', 'P.J. Washington']",4,167.79999542236328,
2022-11-15,16,"['Kelly Olynyk', 'Mike Conley', 'Keldon Johnson', 'Jalen Brunson', 'Josh Hart', 'Lauri Markkanen', 'Ivica Zubac', 'Tre Jones', 'Jakob Poeltl']","['RJ Barrett', 'Lauri Markkanen', 'Tre Jones', 'RJ Barrett', 'Lauri Markkanen', 'Ivica Zubac', 'Jakob Poeltl', 'Nic Claxton', 'Jakob Poeltl']",324.80000495910645,,280.70000553131104,,58200.0,60100.0,0,3,"['Tre Jones', 'Lauri Markkanen', 'Jakob Poeltl', 'Ivica Zubac']",4,135.3000030517578,
2022-11-16,33,"['Kevin Porter Jr.', 'Luguentz Dort', 'Brook Lopez', 'Kevin Porter Jr.', 'Kyle Kuzma', 'Anthony Edwards', 'Jalen Green', 'Kelly Oubre Jr.', 'John Collins']","['Anthony Edwards', 'Jordan Poole', 'Brook Lopez', 'Devin Booker', 'Jalen Brunson', 'Clint Capela', 'Kyle Lowry', 'Andrew Wiggins', 'Karl-Anthony Towns']",369.49999618530273,,314.09999561309814,,60000.0,66300.0,1,0,"['Anthony Edwards', 'Brook Lopez']",2,109.09999465942383,
2022-11-17,11,"['Jaden Ivey', 'Tre Jones', 'Jakob Poeltl', 'Saddiq Bey', 'Ivica Zubac', 'Jerami Grant', 'Nic Claxton', 'Bojan Bogdanovic', 'Josh Hart']","['Jaden Ivey', 'Bojan Bogdanovic', 'Jakob Poeltl', 'Nic Claxton', 'Paul George', 'Jerami Grant', 'Ivica Zubac', 'Bojan Bogdanovic', 'Josh Hart']",242.399995803833,,259.99999618530273,,59000.0,62300.0,0,1,"['Josh Hart', 'Jakob Poeltl', 'Bojan Bogdanovic', 'Jaden Ivey', 'Nic Claxton', 'Jerami Grant', 'Ivica Zubac']",7,191.5999984741211,
2022-11-18,49,"['Evan Mobley', 'Bojan Bogdanovic', 'Bobby Portis', 'Jalen Smith', 'P.J. Washington', 'Jaylen Brown', 'Luguentz Dort', 'Jaylen Brown', 'Kyle Lowry']","['Kelly Olynyk', 'Caris LeVert', 'Tyrese Maxey', 'Brook Lopez', 'Nikola Vucevic', 'Franz Wagner', 'Tyrese Haliburton', 'Saddiq Bey', 'Jonas Valanciunas']",415.49999809265137,,254.89999961853027,,58900.0,61000.0,1,0,[],0,0.0,0.0
2022-11-19,22,"['Keldon Johnson', 'Kelly Olynyk', 'Jordan Clarkson', 'Anfernee Simons', 'Josh Hart', 'Jakob Poeltl', 'Ivica Zubac', ""D'Angelo Russell"", 'Anthony Edwards']","['Anfernee Simons', 'Jalen Smith', 'Bennedict Mathurin', 'Keldon Johnson', 'Karl-Anthony Towns', ""D'Angelo Russell"", 'Keldon Johnson', 'Mike Conley', 'Karl-Anthony Towns']",298.3999938964844,,219.0,,59500.0,63400.0,0,2,"['Anfernee Simons', ""D'Angelo Russell"", 'Keldon Johnson']",3,104.89999771118164,
2022-11-20,29,"['Steven Adams', 'Dillon Brooks', 'Andrew Wiggins', 'Kevin Porter Jr.', 'Jalen Green', 'Klay Thompson', 'Draymond Green', 'Dillon Brooks', 'Dillon Brooks']","['Klay Thompson', 'Evan Mobley', 'Jaden Ivey', 'Christian Wood', 'Alperen Sengun', 'Kyle Lowry', 'P.J. Washington', 'Kevin Durant', 'Caris LeVert']",390.50001525878906,,251.100004196167,,56800.0,65400.0,2,0,['Klay Thompson'],1,54.30000305175781,
2022-11-21,45,"['RJ Barrett', 'Kelly Olynyk', 'Al Horford', 'Anthony Edwards', 'Lauri Markkanen', 'Bobby Portis', 'Julius Randle', 'Jordan Clarkson', 'Brook Lopez']","['Jonas Valanciunas', 'Kyle Lowry', 'Franz Wagner', 'Jordan Poole', 'Rudy Gobert', 'Anthony Edwards', 'Shai Gilgeous-Alexander', 'CJ McCollum', 'Tyrese Haliburton']",331.200008392334,,313.8999996185303,,58800.0,69300.0,0,0,['Anthony Edwards'],1,47.400001525878906,
