player_name,game_id,game_date,reb,reb_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Langston Galloway,22000053,2020-12-29,0,0.16798344,3200.0,3200.0,10.0,PG/SG,PG/SG,SG
Killian Hayes,22000047,2020-12-29,0,1.2548733,4300.0,4300.0,10.0,PG,PG,PG
Malcolm Brogdon,22000048,2020-12-29,3,4.9736886,7200.0,7200.0,33.0,PG,PG,PG
Chris Silva,22000051,2020-12-29,0,0.23354551,3000.0,3000.0,10.0,C,C,C
Ish Smith,22000050,2020-12-29,2,3.220311,5100.0,5100.0,13.0,PG,PG,PG
Michael Carter-Williams,22000052,2020-12-29,8,4.596918,3700.0,3700.0,10.0,PG/SG,PG/SG,SG
Bryn Forbes,22000051,2020-12-29,2,4.3978744,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
E'Twaun Moore,22000053,2020-12-29,0,2.277487,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Robert Williams III,22000048,2020-12-29,5,3.6104062,3900.0,3900.0,11.0,C,C,C
Darius Bazley,22000052,2020-12-29,6,5.857885,5800.0,5800.0,14.0,PF,PF,PF
Eric Paschall,22000047,2020-12-29,2,2.2021685,5000.0,5000.0,17.0,SF/PF,SF/PF,PF
Serge Ibaka,22000054,2020-12-29,8,6.538572,5500.0,5500.0,21.0,C,C,C
Zion Williamson,22000053,2020-12-29,2,7.1816034,8100.0,8100.0,38.0,PF/C,PF/C,PF
Anthony Gill,22000050,2020-12-29,0,2.5468183,3000.0,3000.0,10.0,PF,PF,SF
Grant Williams,22000048,2020-12-29,0,1.1174223,3100.0,3100.0,10.0,SF/PF,SF/PF,PF
Mike Muscala,22000052,2020-12-29,5,4.280945,3200.0,3200.0,10.0,C,C,C
Precious Achiuwa,22000051,2020-12-29,4,3.5132911,3100.0,3100.0,10.0,PF/C,PF/C,PF
Bobby Portis,22000051,2020-12-29,9,8.698813,5000.0,5000.0,14.0,PF/C,PF/C,C
Otto Porter Jr.,22000050,2020-12-29,3,3.8911908,5400.0,5400.0,18.0,SF/PF,SF/PF,SF
Meyers Leonard,22000051,2020-12-29,1,2.14918,3400.0,3400.0,10.0,PF/C,PF/C,PF
Terance Mann,22000054,2020-12-29,4,3.8976018,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Isaiah Hartenstein,22000055,2020-12-29,3,2.7689693,3000.0,3000.0,10.0,C,C,PF
Jake Layman,22000054,2020-12-29,1,1.0411283,3300.0,3300.0,10.0,PF,PF,PF
Frank Ntilikina,22000046,2020-12-29,3,4.255561,3100.0,3100.0,10.0,PG/SF,PG/SF,PG
Jaden McDaniels,22000054,2020-12-29,2,1.933523,3200.0,3200.0,10.0,PF,PF,PF
Avery Bradley,22000051,2020-12-29,2,2.1247134,4200.0,4200.0,11.0,SG/SF,SG/SF,SG
Luguentz Dort,22000052,2020-12-29,4,4.6259365,4600.0,4600.0,14.0,SG/SF,SG/SF,SF
Daniel Gafford,22000050,2020-12-29,1,1.3193569,3000.0,3000.0,10.0,C,C,C
Mason Plumlee,22000047,2020-12-29,10,6.3959703,5700.0,5700.0,16.0,C,C,C
Matisse Thybulle,22000049,2020-12-29,0,0.16798344,3300.0,3300.0,10.0,SF,SF,SF
Markus Howard,22000055,2020-12-29,0,0.31089097,3000.0,3000.0,10.0,PG,PG,SG
Sindarius Thornwell,22000053,2020-12-29,0,2.1399572,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
