player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Justin Holiday,21601016,2017-03-16,0,0.041076355,3200.0,3200.0,10.0,SG/SF,SG/SF,SG
Channing Frye,21601014,2017-03-16,0,0.04136732,3700.0,3700.0,10.0,PF/C,PF/C,PF
JR Smith,21601014,2017-03-16,0,0.04136732,3700.0,3700.0,13.0,SG,SG,SG
Thabo Sefolosha,21601017,2017-03-16,1,1.051583,3800.0,3800.0,10.0,SG/SF,SG/SF,SF
Carmelo Anthony,21601016,2017-03-16,1,1.3280213,8100.0,8100.0,34.0,SF/PF,SF/PF,SF
Aaron Gordon,21601019,2017-03-16,1,1.0558285,5600.0,5600.0,22.0,PF,PF,PF
Jakob Poeltl,21601015,2017-03-16,0,0.058807068,3000.0,3000.0,10.0,C,C,C
Jeff Green,21601019,2017-03-16,1,0.7434257,3200.0,3200.0,10.0,SF/PF,SF/PF,PF
Brandan Wright,21601017,2017-03-16,0,0.04136732,3000.0,3000.0,10.0,PF/C,PF/C,C
Ian Clark,21601019,2017-03-16,1,0.94409716,3500.0,3500.0,12.0,PG/SG,PG/SG,PG
Anthony Davis,21601002,2017-03-14,0,0.22700585,10500.0,10500.0,54.0,PF/C,PF/C,PF
Cory Joseph,21601015,2017-03-16,2,1.9166261,4800.0,4800.0,14.0,PG/SG,PG/SG,PG
Raymond Felton,21601018,2017-03-16,1,1.0405304,3400.0,3400.0,10.0,PG/SF,PG/SF,SF
Domantas Sabonis,21601015,2017-03-16,1,1.0299102,3000.0,3000.0,10.0,PF/C,PF/C,PF
Isaiah Thomas,21601006,2017-03-15,2,1.9108937,8500.0,8500.0,48.0,PG,PG,PG
Joe Ingles,21601014,2017-03-16,4,3.8517327,3900.0,3900.0,10.0,SG/SF,SG/SF,SG
