player_name,game_id,game_date,y,y_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Nene,21600841,2017-02-15,8,7.5520763,3000.0,3000.0,10.0,C,C,C
Boris Diaw,21600843,2017-02-15,2,2.1953845,3000.0,3000.0,10.0,PF/C,PF/C,C
Khris Middleton,21600838,2017-02-15,20,17.336802,3900.0,3900.0,17.0,SF,SF,SF
Joe Ingles,21600843,2017-02-15,18,16.249418,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Aron Baynes,21600839,2017-02-15,2,2.3952422,3500.0,3500.0,10.0,C,C,C
Kelly Olynyk,21600836,2017-02-15,16,14.315137,4300.0,4300.0,10.0,PF/C,PF/C,C
Aaron Gordon,21600834,2017-02-15,11,10.335184,4600.0,4600.0,19.0,SF/PF,SF/PF,SF
Kris Humphries,21600846,2017-02-15,3,2.579037,3000.0,3000.0,10.0,PF/C,PF/C,PF
Derrick Williams,21600835,2017-02-15,7,6.1261287,3300.0,3300.0,10.0,SF,SF,SF
James Young,21600836,2017-02-15,10,10.481497,3000.0,3000.0,10.0,SG,SG,SG
Tobias Harris,21600839,2017-02-15,13,12.80435,5000.0,5000.0,21.0,SF/PF,SF/PF,PF
Al Horford,21600836,2017-02-15,12,13.730629,6800.0,6800.0,27.0,C,C,C
Brian Roberts,21600837,2017-02-15,2,2.2793846,3000.0,3000.0,10.0,PG,PG,PG
Thon Maker,21600838,2017-02-15,4,3.6924374,3400.0,3400.0,10.0,PF/C,PF/C,PF
Kyle Lowry,21600837,2017-02-15,21,22.491945,8000.0,8000.0,42.0,PG,PG,PG
Tyreke Evans,21600840,2017-02-15,4,6.016118,4300.0,4300.0,16.0,SG/SF,SG/SF,SG
Marcelo Huertas,21600844,2017-02-15,2,2.5027206,3000.0,3000.0,10.0,PG,PG,PG
Spencer Dinwiddie,21600838,2017-02-15,19,18.243626,3100.0,3100.0,10.0,PG,PG,PG
Dorian Finney-Smith,21600839,2017-02-15,3,3.3083506,3000.0,3000.0,10.0,SF,SF,SF
Dewayne Dedmon,21600834,2017-02-15,10,10.613169,4600.0,4600.0,12.0,C,C,C
Marquese Chriss,21600844,2017-02-15,15,15.332687,3800.0,3800.0,10.0,PF,PF,PF
Shaun Livingston,21600847,2017-02-15,0,0.5777299,3700.0,3700.0,10.0,PG,PG,PG
Malcolm Delaney,21600846,2017-02-15,7,7.9503922,3000.0,3000.0,10.0,PG,PG,PG
Trevor Ariza,21600841,2017-02-15,5,5.2023335,5900.0,5900.0,20.0,SF/PF,SF/PF,SF
Paul Millsap,21600846,2017-02-15,8,8.14543,7900.0,7900.0,35.0,PF,PF,PF
Kristaps Porzingis,21600845,2017-02-15,11,9.326196,6500.0,6500.0,31.0,PF,PF,PF
Kyle O'Quinn,21600845,2017-02-15,2,3.9860623,4300.0,4300.0,11.0,PF/C,PF/C,PF
Paul George,21600835,2017-02-15,13,12.109488,7900.0,7900.0,39.0,SF,SF,SF
Sergio Rodriguez,21600836,2017-02-15,8,8.612751,3300.0,3300.0,10.0,PG,PG,PG
Wesley Johnson,21600846,2017-02-15,11,10.52977,3000.0,3000.0,10.0,SF,SF,SF
Treveon Graham,21600837,2017-02-15,0,0.093318775,3000.0,3000.0,10.0,SF,SF,SG
Kris Dunn,21600842,2017-02-15,2,2.2163134,3100.0,3100.0,10.0,PG,PG,PG
Shabazz Napier,21600843,2017-02-15,8,8.089515,3000.0,3000.0,10.0,PG,PG,PG
Jeff Green,21600834,2017-02-15,11,12.666052,3700.0,3700.0,10.0,SF/PF,SF/PF,SF
Dwight Howard,21600846,2017-02-15,11,12.192007,7100.0,7100.0,25.0,C,C,C
Nick Young,21600844,2017-02-15,5,4.899952,4600.0,4600.0,12.0,SG,SG,SG
Brandan Wright,21600840,2017-02-15,6,5.1110034,3000.0,3000.0,10.0,C,C,C
Dwight Powell,21600839,2017-02-15,0,1.3286978,3000.0,3000.0,10.0,PF,PF,PF
Luol Deng,21600844,2017-02-15,9,8.511146,3200.0,3200.0,10.0,SF,SF,SF
Al Jefferson,21600835,2017-02-15,6,5.857569,3000.0,3000.0,10.0,C,C,C
Andrew Bogut,21600839,2017-02-15,4,4.2656827,3000.0,3000.0,10.0,C,C,C
Luc Mbah a Moute,21600846,2017-02-15,5,5.1821656,3000.0,3000.0,10.0,SF/PF,SF/PF,SF
Domantas Sabonis,21600845,2017-02-15,6,6.104034,3100.0,3100.0,10.0,PF,PF,PF
Alan Anderson,21600846,2017-02-15,3,3.5576315,3000.0,3000.0,10.0,SG,SG,SG
Jared Dudley,21600844,2017-02-15,3,2.0580516,3000.0,3000.0,10.0,SF,SF,SF
Pat Connaughton,21600843,2017-02-15,3,1.6485527,3000.0,3000.0,10.0,SG,SG,SG
Justin Anderson,21600839,2017-02-15,0,0.39126235,3000.0,3000.0,10.0,SF,SF,SF
Mirza Teletovic,21600838,2017-02-15,0,0.90990806,3200.0,3200.0,10.0,PF,PF,PF
Shabazz Muhammad,21600842,2017-02-15,15,14.480108,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Matthew Dellavedova,21600838,2017-02-15,10,10.395806,3500.0,3500.0,10.0,PG/SG,PG/SG,SG
Elfrid Payton,21600834,2017-02-15,7,8.770479,5200.0,5200.0,20.0,PG,PG,PG
Will Barton,21600842,2017-02-15,18,15.495209,7300.0,7300.0,21.0,SG/SF,SG/SF,SG
Joel Anthony,21600834,2017-02-15,0,0.15302114,3000.0,3000.0,10.0,PF,PF,PF
Delon Wright,21600837,2017-02-15,11,10.635888,3000.0,3000.0,10.0,PG,PG,PG
Tony Allen,21600840,2017-02-15,0,0.26806837,4500.0,4500.0,10.0,SG/SF,SG/SF,SG
Kawhi Leonard,21600834,2017-02-15,22,18.032503,8900.0,8900.0,45.0,SF,SF,SF
Wesley Matthews,21600839,2017-02-15,8,10.331001,5700.0,5700.0,20.0,SG/SF,SG/SF,SF
DeAndre Liggins,21600835,2017-02-15,0,0.23861785,3400.0,3400.0,10.0,SG,SG,SG
Ersan Ilyasova,21600836,2017-02-15,5,8.615031,5200.0,5200.0,22.0,PF,PF,PF
E'Twaun Moore,21600840,2017-02-15,4,4.4718995,3600.0,3600.0,10.0,PG/SG,PG/SG,PG
DeMarcus Cousins,21600847,2017-02-15,13,15.043997,11300.0,11300.0,57.0,PF/C,PF/C,PF
Wayne Ellington,21600841,2017-02-15,5,4.627214,3800.0,3800.0,10.0,SG,SG,SG
Tyler Johnson,21600841,2017-02-15,16,15.902609,5100.0,5100.0,19.0,PG,PG,PG
Patty Mills,21600834,2017-02-15,13,12.850825,3200.0,3200.0,10.0,PG,PG,PG
Jerami Grant,21600845,2017-02-15,13,13.49008,3200.0,3200.0,10.0,SF/PF,SF/PF,PF
DeAndre' Bembry,21600846,2017-02-15,4,3.9337087,3000.0,3000.0,10.0,SF,SF,SF
Arron Afflalo,21600847,2017-02-15,4,4.7499495,3600.0,3600.0,10.0,SG,SG,SG
Sean Kilpatrick,21600838,2017-02-15,7,8.573626,4100.0,4100.0,11.0,PG/SG,PG/SG,SG
Manu Ginobili,21600834,2017-02-15,2,3.7085907,3100.0,3100.0,10.0,SG,SG,SG
Andre Roberson,21600845,2017-02-15,10,9.332237,3800.0,3800.0,10.0,SF,SF,SF
Aaron Brooks,21600835,2017-02-15,4,4.662273,3000.0,3000.0,10.0,PG,PG,PG
Damjan Rudez,21600834,2017-02-15,0,0.3526135,3000.0,3000.0,10.0,SF,SF,SG
Corey Brewer,21600841,2017-02-15,4,4.4521427,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Kyle Anderson,21600834,2017-02-15,8,8.453846,3300.0,3300.0,10.0,SG,SG,SG
Dario Saric,21600836,2017-02-15,20,18.281534,5800.0,5800.0,13.0,SF/PF,SF/PF,SF
Jae Crowder,21600836,2017-02-15,18,18.255611,5700.0,5700.0,25.0,SF,SF,SF
Iman Shumpert,21600835,2017-02-15,6,6.053906,3600.0,3600.0,10.0,PG/SG,PG/SG,SG
Alex Abrines,21600845,2017-02-15,5,5.5520973,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Tyus Jones,21600842,2017-02-15,4,4.4854965,3000.0,3000.0,10.0,PG,PG,PG
Bismack Biyombo,21600834,2017-02-15,4,2.902937,3600.0,3600.0,10.0,C,C,C
Tristan Thompson,21600835,2017-02-15,12,11.794663,5500.0,5500.0,14.0,C,C,C
Ivica Zubac,21600844,2017-02-15,8,7.4073486,3800.0,3800.0,10.0,C,C,C
Terry Rozier,21600836,2017-02-15,2,2.2404394,3000.0,3000.0,10.0,PG,PG,PG
Brandon Ingram,21600844,2017-02-15,3,3.9644237,4200.0,4200.0,11.0,SF,SF,SF
Meyers Leonard,21600843,2017-02-15,10,10.135761,3300.0,3300.0,10.0,PF/C,PF/C,PF
Alec Burks,21600843,2017-02-15,5,7.0463653,3200.0,3200.0,10.0,PG/SG,PG/SG,PG
