player_name,game_id,game_date,pts,pts_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Langston Galloway,22000053,2020-12-29,3,5.766844,3200.0,3200.0,10.0,PG/SG,PG/SG,SG
Killian Hayes,22000047,2020-12-29,0,1.5838113,4300.0,4300.0,10.0,PG,PG,PG
Malcolm Brogdon,22000048,2020-12-29,19,17.927195,7200.0,7200.0,33.0,PG,PG,PG
Chris Silva,22000051,2020-12-29,2,3.7095246,3000.0,3000.0,10.0,C,C,C
Ish Smith,22000050,2020-12-29,4,6.0518737,5100.0,5100.0,13.0,PG,PG,PG
Michael Carter-Williams,22000052,2020-12-29,4,5.708151,3700.0,3700.0,10.0,PG/SG,PG/SG,SG
Bryn Forbes,22000051,2020-12-29,12,9.065046,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
E'Twaun Moore,22000053,2020-12-29,0,1.1853597,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Robert Williams III,22000048,2020-12-29,8,7.167629,3900.0,3900.0,11.0,C,C,C
Darius Bazley,22000052,2020-12-29,6,8.988251,5800.0,5800.0,14.0,PF,PF,PF
Eric Paschall,22000047,2020-12-29,10,7.860867,5000.0,5000.0,17.0,SF/PF,SF/PF,PF
Serge Ibaka,22000054,2020-12-29,16,13.463704,5500.0,5500.0,21.0,C,C,C
Zion Williamson,22000053,2020-12-29,20,16.957954,8100.0,8100.0,38.0,PF/C,PF/C,PF
Anthony Gill,22000050,2020-12-29,3,3.4145422,3000.0,3000.0,10.0,PF,PF,SF
Grant Williams,22000048,2020-12-29,3,4.9453063,3100.0,3100.0,10.0,SF/PF,SF/PF,PF
Mike Muscala,22000052,2020-12-29,14,14.442251,3200.0,3200.0,10.0,C,C,C
Precious Achiuwa,22000051,2020-12-29,10,8.419631,3100.0,3100.0,10.0,PF/C,PF/C,PF
Bobby Portis,22000051,2020-12-29,11,4.9134417,5000.0,5000.0,14.0,PF/C,PF/C,C
Otto Porter Jr.,22000050,2020-12-29,16,10.145304,5400.0,5400.0,18.0,SF/PF,SF/PF,SF
Meyers Leonard,22000051,2020-12-29,0,3.4053988,3400.0,3400.0,10.0,PF/C,PF/C,PF
