player_name,game_id,game_date,stl,stl_pred,fanduel_salary,draftkings_salary,yahoo_salary,fanduel_position,draftkings_position,yahoo_position
Langston Galloway,22000053,2020-12-29,0,0.020114616,3200.0,3200.0,10.0,PG/SG,PG/SG,SG
Killian Hayes,22000047,2020-12-29,0,0.020114616,4300.0,4300.0,10.0,PG,PG,PG
Malcolm Brogdon,22000048,2020-12-29,0,0.08978518,7200.0,7200.0,33.0,PG,PG,PG
Chris Silva,22000051,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,C,C,C
Ish Smith,22000050,2020-12-29,0,0.020114616,5100.0,5100.0,13.0,PG,PG,PG
Michael Carter-Williams,22000052,2020-12-29,1,0.9735286,3700.0,3700.0,10.0,PG/SG,PG/SG,SG
Bryn Forbes,22000051,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,PG/SG,PG/SG,SG
E'Twaun Moore,22000053,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,SG/SF,SG/SF,SG
Robert Williams III,22000048,2020-12-29,0,0.020114616,3900.0,3900.0,11.0,C,C,C
Darius Bazley,22000052,2020-12-29,0,0.020114616,5800.0,5800.0,14.0,PF,PF,PF
Eric Paschall,22000047,2020-12-29,0,0.020114616,5000.0,5000.0,17.0,SF/PF,SF/PF,PF
Serge Ibaka,22000054,2020-12-29,0,0.020114616,5500.0,5500.0,21.0,C,C,C
Zion Williamson,22000053,2020-12-29,1,0.99086994,8100.0,8100.0,38.0,PF/C,PF/C,PF
Anthony Gill,22000050,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,PF,PF,SF
Grant Williams,22000048,2020-12-29,0,0.020114616,3100.0,3100.0,10.0,SF/PF,SF/PF,PF
Mike Muscala,22000052,2020-12-29,0,0.020114616,3200.0,3200.0,10.0,C,C,C
Precious Achiuwa,22000051,2020-12-29,1,0.97881776,3100.0,3100.0,10.0,PF/C,PF/C,PF
Bobby Portis,22000051,2020-12-29,1,0.99085635,5000.0,5000.0,14.0,PF/C,PF/C,C
Otto Porter Jr.,22000050,2020-12-29,0,0.060967524,5400.0,5400.0,18.0,SF/PF,SF/PF,SF
Meyers Leonard,22000051,2020-12-29,0,0.020114616,3400.0,3400.0,10.0,PF/C,PF/C,PF
Terance Mann,22000054,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,PG/SG,PG/SG,PG
Isaiah Hartenstein,22000055,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,C,C,PF
Jake Layman,22000054,2020-12-29,1,0.9927833,3300.0,3300.0,10.0,PF,PF,PF
Frank Ntilikina,22000046,2020-12-29,2,1.6029624,3100.0,3100.0,10.0,PG/SF,PG/SF,PG
Jaden McDaniels,22000054,2020-12-29,0,0.5969793,3200.0,3200.0,10.0,PF,PF,PF
Avery Bradley,22000051,2020-12-29,1,0.9718071,4200.0,4200.0,11.0,SG/SF,SG/SF,SG
Luguentz Dort,22000052,2020-12-29,0,0.020114616,4600.0,4600.0,14.0,SG/SF,SG/SF,SF
Daniel Gafford,22000050,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,C,C,C
Mason Plumlee,22000047,2020-12-29,0,0.020114616,5700.0,5700.0,16.0,C,C,C
Matisse Thybulle,22000049,2020-12-29,0,0.020114616,3300.0,3300.0,10.0,SF,SF,SF
Markus Howard,22000055,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,PG,PG,SG
Sindarius Thornwell,22000053,2020-12-29,1,0.9927833,3000.0,3000.0,10.0,SG/SF,SG/SF,SF
Jevon Carter,22000053,2020-12-29,0,0.020114616,3100.0,3100.0,10.0,PG/SG,PG/SG,SG
Maurice Harkless,22000051,2020-12-29,0,0.020114616,3200.0,3200.0,10.0,SF/PF,SF/PF,PF
Cedi Osman,22000046,2020-12-29,0,0.020114616,5100.0,5100.0,15.0,SF/PF,SF/PF,PF
Michael Porter Jr.,22000055,2020-12-29,0,0.023725947,6400.0,6400.0,25.0,SF/PF,SF/PF,SF
Deandre Ayton,22000053,2020-12-29,0,0.020114616,7400.0,7400.0,31.0,C,C,C
Khris Middleton,22000051,2020-12-29,2,1.6560683,7700.0,7700.0,33.0,SF,SF,SF
Dwayne Bacon,22000052,2020-12-29,0,0.020114616,3100.0,3100.0,10.0,SF,SF,SG
Deni Avdija,22000050,2020-12-29,2,1.312289,4600.0,4600.0,12.0,SF/PF,SF/PF,PF
Nikola Jokic,22000055,2020-12-29,2,1.0613724,10200.0,10200.0,47.0,C,C,C
Andre Drummond,22000046,2020-12-29,3,1.1718706,8700.0,8700.0,45.0,C,C,C
Isaiah Roby,22000052,2020-12-29,1,0.9927833,3000.0,3000.0,10.0,C,C,C
Nikola Vucevic,22000052,2020-12-29,1,1.8409635,8300.0,8300.0,38.0,C,C,C
Stephen Curry,22000047,2020-12-29,2,1.1084659,9600.0,9600.0,45.0,PG,PG,PG
Giannis Antetokounmpo,22000051,2020-12-29,3,1.3237039,10800.0,10800.0,50.0,PF/C,PF/C,PF
Shai Gilgeous-Alexander,22000052,2020-12-29,0,0.020114616,8100.0,8100.0,35.0,PG,PG,PG
De'Aaron Fox,22000055,2020-12-29,2,0.9927833,7600.0,7600.0,36.0,PG,PG,PG
Hamidou Diallo,22000052,2020-12-29,2,1.2965684,3800.0,3800.0,10.0,SG/SF,SG/SF,SG
Ricky Rubio,22000054,2020-12-29,1,1.3383179,5500.0,5500.0,18.0,PG,PG,PG
Damian Jones,22000053,2020-12-29,0,0.020114616,3000.0,3000.0,10.0,C,C,C
Buddy Hield,22000055,2020-12-29,0,0.9849028,6800.0,6800.0,24.0,SG/SF,SG/SF,SG
Victor Oladipo,22000048,2020-12-29,0,0.020114616,6400.0,6400.0,22.0,PG/SG,PG/SG,SG
Russell Westbrook,22000050,2020-12-29,1,0.9607562,9700.0,9700.0,45.0,PG,PG,PG
Zach LaVine,22000050,2020-12-29,4,2.2978654,8400.0,8400.0,37.0,SG,SG,SG
Domantas Sabonis,22000048,2020-12-29,2,0.9927833,8600.0,8600.0,42.0,PF/C,PF/C,PF
Jayson Tatum,22000048,2020-12-29,3,1.7988979,8800.0,8800.0,43.0,SF/PF,SF/PF,PF
Julius Randle,22000046,2020-12-29,1,0.9927833,8200.0,8200.0,32.0,PF/C,PF/C,PF
Seth Curry,22000049,2020-12-29,1,1.1635487,5000.0,5000.0,14.0,SG,SG,SG
Joel Embiid,22000049,2020-12-29,2,1.6029624,9800.0,9800.0,47.0,C,C,C
OG Anunoby,22000049,2020-12-29,5,2.327023,5200.0,5200.0,21.0,SF/PF,SF/PF,SF
Bradley Beal,22000050,2020-12-29,2,1.392943,9300.0,9300.0,40.0,SG,SG,SG
Jerami Grant,22000047,2020-12-29,3,1.9210604,6500.0,6500.0,20.0,SF/PF,SF/PF,SF
Andrew Wiggins,22000047,2020-12-29,1,0.9927833,6400.0,6400.0,24.0,SG/SF,SG/SF,SG
Jaylen Brown,22000048,2020-12-29,4,2.2978654,7500.0,7500.0,33.0,SG/SF,SG/SF,SF
Tobias Harris,22000049,2020-12-29,2,1.5062525,7000.0,7000.0,27.0,SF/PF,SF/PF,PF
Thomas Bryant,22000050,2020-12-29,0,0.020114616,6800.0,6800.0,19.0,C,C,C
Bam Adebayo,22000051,2020-12-29,1,0.99190295,8000.0,8000.0,34.0,C,C,C
Kyle Lowry,22000049,2020-12-29,1,1.052052,7500.0,7500.0,33.0,PG,PG,PG
Jrue Holiday,22000051,2020-12-29,3,2.2978654,6700.0,6700.0,30.0,PG,PG,PG
Eric Bledsoe,22000053,2020-12-29,1,0.9917173,5900.0,5900.0,20.0,PG/SG,PG/SG,SG
Chuma Okeke,22000052,2020-12-29,2,1.6029624,3400.0,3400.0,10.0,PF/C,PF/C,PF
Thanasis Antetokounmpo,22000051,2020-12-29,1,0.97881776,3000.0,3000.0,10.0,PF,PF,SF
