Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Raymond Felton,27.3,POR,Point,1899,88,+2.9%,74,+2.2%,88,+5.4%,45,-0.5%,72,+1.7%,77,+4.5%,64,+1.4%,74,+2.0%
Rudy Fernandez,26.6,DEN,Wing,685,71,+1.3%,76,+2.4%,85,+4.6%,84,+3.6%,91,+4.0%,83,+6.4%,5,-8.6%,18,-3.9%
Landry Fields,23.3,NYK,Wing,1855,89,+3.0%,78,+2.6%,57,+0.9%,59,+0.6%,58,+0.6%,16,-8.2%,88,+4.9%,70,+1.6%
Derek Fisher,37.2,LAL,Point,1100,32,-1.9%,28,-2.1%,51,+0.3%,48,-0.3%,52,-0.0%,19,-7.4%,18,-4.3%,11,-5.2%
Derek Fisher,37.2,OKC,Point,361,98,+5.3%,72,+1.9%,67,+1.7%,89,+4.2%,93,+4.1%,95,+12.2%,53,+0.1%,88,+3.9%
Jonny Flynn,22.7,POR,Point,270,86,+2.7%,96,+6.4%,52,+0.3%,64,+1.0%,61,+0.9%,61,+2.1%,52,+0.0%,58,+0.6%
Gary Forbes,26.7,TOR,Wing,649,41,-1.0%,6,-6.2%,58,+1.0%,76,+2.5%,76,+2.1%,98,+17.5%,9,-6.7%,49,-0.4%
T.J. Ford,28.6,SAS,Point,160,90,+3.1%,100,+9.3%,1,-13.2%,100,+8.9%,25,-2.6%,55,+0.6%,67,+1.6%,68,+1.4%
Jeff Foster,34.8,IND,Big,140,14,-3.2%,18,-3.4%,3,-10.7%,11,-5.2%,2,-7.2%,93,+11.3%,54,+0.3%,84,+3.4%
Randy Foye,28.1,LAC,Wing,1632,48,-0.4%,54,+0.2%,59,+1.1%,26,-2.3%,37,-1.1%,31,-3.8%,69,+1.8%,53,+0.1%
Jimmer Fredette,22.7,SAC,Combo,1056,49,-0.3%,30,-1.9%,86,+4.8%,80,+3.1%,91,+3.9%,41,-2.0%,34,-2.0%,31,-2.0%
Channing Frye,28.5,PHX,Big,1653,100,+7.2%,99,+8.5%,92,+6.2%,92,+4.8%,96,+5.4%,66,+2.7%,94,+6.5%,94,+5.5%
Sundiata Gaines,25.5,NJN,Combo,723,43,-0.9%,3,-7.5%,24,-3.2%,98,+7.1%,89,+3.4%,80,+5.2%,51,-0.1%,66,+1.3%
Danilo Gallinari,23.2,DEN,Forward,1347,69,+1.1%,61,+0.8%,82,+4.0%,22,-3.2%,55,+0.3%,38,-2.5%,82,+3.7%,69,+1.5%
Francisco Garcia,29.8,SAC,Wing,770,29,-2.2%,38,-1.3%,82,+4.0%,27,-2.2%,61,+0.9%,13,-9.3%,25,-3.2%,12,-4.9%
Kevin Garnett,35.5,BOS,Big,1855,84,+2.6%,76,+2.3%,74,+2.6%,87,+3.9%,90,+3.6%,13,-9.4%,94,+6.5%,61,+0.8%
Marc Gasol,26.8,MEM,Big,2363,81,+2.3%,79,+2.7%,73,+2.3%,36,-1.1%,58,+0.5%,99,+18.7%,71,+2.0%,96,+6.2%
Pau Gasol,31.3,LAL,Big,2425,38,-1.2%,86,+3.4%,12,-6.2%,60,+0.7%,25,-2.7%,30,-3.9%,44,-1.0%,34,-1.8%
Rudy Gay,25.2,MEM,Forward,2415,39,-1.2%,68,+1.6%,40,-1.2%,10,-5.4%,18,-3.4%,51,+0.1%,66,+1.4%,59,+0.7%
Alonzo Gee,24.4,CLE,Wing,1785,41,-1.0%,69,+1.6%,31,-2.2%,17,-4.0%,22,-3.1%,54,+0.4%,60,+0.9%,60,+0.8%
Paul George,21.5,IND,Wing,1937,76,+1.7%,48,-0.3%,97,+8.8%,71,+1.8%,96,+5.1%,24,-5.1%,24,-3.2%,19,-3.7%
Daniel Gibson,25.7,CLE,Wing,885,57,+0.3%,37,-1.4%,59,+1.1%,35,-1.2%,52,+0.0%,37,-2.7%,70,+1.9%,60,+0.8%
Taj Gibson,26.4,CHI,Big,1199,25,-2.5%,20,-3.3%,26,-2.9%,7,-6.0%,9,-4.9%,65,+2.6%,57,+0.7%,65,+1.3%
Manu Ginobili,34.3,SAS,Wing,787,99,+7.0%,99,+9.0%,76,+3.1%,75,+2.4%,83,+2.7%,56,+0.8%,56,+0.5%,58,+0.6%
Mickell Gladness,25.3,GSW,Big,222,4,-5.8%,32,-1.8%,48,-0.3%,14,-4.6%,23,-3.0%,44,-1.6%,1,-12.1%,2,-10.2%
Ryan Gomes,29.2,LAC,Forward,366,9,-4.5%,34,-1.6%,44,-0.8%,7,-6.2%,12,-4.4%,3,-15.2%,79,+3.4%,40,-1.2%
Drew Gooden,30.1,MIL,Big,1462,65,+0.8%,35,-1.6%,63,+1.4%,82,+3.4%,82,+2.6%,90,+9.4%,41,-1.3%,70,+1.6%
Ben Gordon,28.6,DET,Combo,1343,61,+0.5%,43,-0.6%,39,-1.3%,83,+3.4%,69,+1.4%,63,+2.3%,57,+0.6%,64,+1.1%
Eric Gordon,22.9,NOH,Combo,303,98,+5.6%,100,+13.7%,38,-1.4%,96,+6.1%,79,+2.5%,64,+2.5%,9,-6.7%,15,-4.4%
Marcin Gortat,27.7,PHX,Big,2108,99,+6.6%,95,+5.5%,99,+10.1%,94,+5.3%,99,+7.3%,91,+9.7%,70,+1.8%,86,+3.7%
Andrew Goudelock,22.9,LAL,Combo,399,53,+0.1%,34,-1.6%,93,+6.7%,1,-10.3%,31,-1.9%,61,+1.8%,86,+4.5%,86,+3.6%
Danny Granger,28.5,IND,Wing,2060,95,+4.4%,66,+1.4%,97,+7.8%,96,+6.2%,98,+7.0%,66,+2.7%,71,+2.0%,79,+2.5%
Aaron Gray,26.9,TOR,Big,804,33,-1.7%,10,-5.2%,35,-1.6%,26,-2.3%,30,-1.9%,41,-2.0%,85,+4.3%,80,+2.7%
Danny Green,24.4,SAS,Wing,1471,21,-2.6%,21,-3.1%,10,-6.5%,21,-3.3%,9,-5.0%,56,+0.9%,69,+1.8%,69,+1.5%
Gerald Green,25.8,NJN,Forward,753,87,+2.8%,63,+1.0%,93,+7.0%,85,+3.6%,95,+4.8%,82,+6.3%,53,+0.2%,72,+1.8%
Willie Green,30.3,ATL,Wing,784,11,-4.0%,16,-3.7%,23,-3.5%,31,-1.8%,26,-2.4%,76,+4.3%,9,-6.6%,23,-3.1%
Donte Greene,23.7,SAC,Big,736,38,-1.2%,72,+1.8%,15,-5.3%,29,-1.9%,16,-3.7%,8,-12.1%,50,-0.1%,19,-3.7%
