Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Brandon Knight,19.9,DET,Point,2081,70,+1.2%,58,+0.7%,61,+1.2%,63,+0.9%,64,+1.1%,27,-4.5%,89,+5.1%,75,+2.1%
Kyle Korver,30.6,CHI,Wing,1384,42,-0.9%,13,-4.3%,66,+1.7%,18,-3.9%,30,-1.9%,88,+8.4%,48,-0.7%,73,+1.8%
Kosta Koufos,22.7,DEN,Big,759,63,+0.6%,76,+2.4%,51,+0.3%,97,+6.9%,89,+3.4%,17,-8.1%,52,+0.0%,26,-2.6%
Carl Landry,28.1,NOH,Big,988,61,+0.6%,57,+0.6%,89,+5.5%,46,-0.4%,77,+2.2%,9,-10.8%,72,+2.3%,39,-1.3%
Ty Lawson,24.0,DEN,Point,2114,24,-2.5%,22,-3.0%,56,+0.7%,33,-1.3%,48,-0.3%,11,-10.2%,81,+3.6%,36,-1.6%
Courtney Lee,26.1,HOU,Wing,1733,62,+0.6%,26,-2.4%,56,+0.7%,17,-3.9%,33,-1.6%,92,+10.3%,83,+3.9%,95,+6.1%
David Lee,28.5,GSW,Big,2116,58,+0.4%,87,+3.6%,25,-3.0%,53,+0.1%,34,-1.4%,45,-1.0%,39,-1.5%,42,-1.1%
Malcolm Lee,21.4,MIN,Combo,198,10,-4.3%,9,-5.4%,34,-1.7%,67,+1.4%,64,+1.0%,43,-1.7%,3,-9.7%,5,-7.6%
Kawhi Leonard,20.3,SAS,Forward,1477,35,-1.5%,42,-0.9%,30,-2.2%,65,+1.2%,45,-0.5%,65,+2.6%,19,-4.1%,34,-1.8%
Jon Leuer,22.5,MIL,Big,513,59,+0.4%,35,-1.6%,72,+2.3%,58,+0.5%,67,+1.2%,26,-4.8%,77,+3.2%,65,+1.3%
Rashard Lewis,32.2,WAS,Forward,718,24,-2.5%,7,-5.9%,21,-3.8%,50,-0.1%,31,-1.8%,63,+2.3%,52,+0.0%,64,+1.2%
Jeremy Lin,23.2,NYK,Point,910,66,+0.9%,33,-1.7%,94,+7.2%,85,+3.6%,96,+4.9%,13,-9.3%,28,-2.8%,15,-4.5%
Shaun Livingston,26.1,MIL,Wing,1020,16,-3.0%,42,-0.8%,60,+1.2%,23,-2.9%,36,-1.3%,33,-3.5%,18,-4.3%,18,-4.1%
Brook Lopez,23.6,NJN,Big,135,47,-0.6%,89,+4.0%,69,+2.1%,86,+3.7%,84,+2.8%,4,-14.6%,11,-5.9%,5,-8.1%
Robin Lopez,23.6,PHX,Big,796,3,-6.8%,11,-5.1%,7,-8.5%,8,-5.8%,4,-6.9%,15,-8.6%,22,-3.6%,13,-4.8%
Kevin Love,23.1,MIN,Big,2136,64,+0.8%,25,-2.6%,90,+5.9%,48,-0.3%,80,+2.5%,46,-0.8%,75,+2.8%,74,+2.0%
Kyle Lowry,25.6,HOU,Point,1505,52,+0.1%,66,+1.3%,9,-7.2%,83,+3.5%,31,-1.8%,39,-2.4%,69,+1.8%,50,-0.3%
John Lucas III,28.9,CHI,Point,622,35,-1.5%,43,-0.7%,58,+1.0%,32,-1.6%,41,-0.8%,54,+0.5%,15,-4.7%,22,-3.4%
Shelvin Mack,21.5,WAS,Point,665,58,+0.4%,70,+1.7%,45,-0.7%,74,+2.2%,61,+0.9%,5,-14.1%,95,+7.0%,55,+0.3%
Corey Maggette,32.0,CHA,Wing,860,39,-1.2%,7,-5.9%,45,-0.8%,48,-0.3%,46,-0.4%,83,+6.3%,61,+1.1%,75,+2.1%
Jamaal Magloire,33.4,TOR,Big,370,97,+4.8%,38,-1.3%,97,+7.6%,58,+0.4%,84,+2.7%,42,-1.8%,100,+15.8%,99,+11.1%
Ian Mahinmi,25.0,DAL,Big,1112,40,-1.1%,11,-4.9%,28,-2.6%,46,-0.4%,35,-1.3%,79,+4.8%,69,+1.8%,78,+2.5%
Shawn Marion,33.5,DAL,Forward,1915,18,-2.9%,42,-0.8%,54,+0.7%,55,+0.3%,49,-0.2%,15,-9.0%,23,-3.5%,13,-4.8%
Cartier Martin,26.9,WAS,Wing,364,69,+1.1%,83,+3.2%,26,-2.9%,97,+6.8%,79,+2.4%,97,+14.2%,21,-3.8%,71,+1.7%
Kenyon Martin,33.8,LAC,Big,933,18,-2.9%,38,-1.4%,23,-3.5%,18,-3.9%,16,-3.7%,86,+7.6%,13,-5.4%,43,-1.0%
Kevin Martin,28.7,HOU,Wing,1260,45,-0.6%,43,-0.7%,47,-0.3%,80,+3.0%,66,+1.2%,39,-2.2%,39,-1.5%,26,-2.5%
Roger Mason Jr.,31.1,WAS,Wing,624,66,+0.9%,44,-0.6%,89,+5.5%,56,+0.3%,79,+2.4%,60,+1.6%,49,-0.3%,51,-0.1%
Wesley Matthews,25.0,POR,Wing,2187,59,+0.4%,60,+0.8%,52,+0.3%,42,-0.6%,49,-0.2%,67,+3.0%,38,-1.6%,50,-0.3%
Jason Maxiell,28.7,DET,Big,1437,60,+0.5%,51,-0.0%,63,+1.4%,63,+1.0%,65,+1.2%,87,+8.3%,70,+1.9%,87,+3.7%
Eric Maynor,24.4,OKC,Point,114,95,+4.4%,99,+8.4%,29,-2.4%,39,-0.9%,28,-2.1%,67,+2.8%,88,+4.9%,90,+4.6%
O.J. Mayo,24.0,MEM,Combo,1736,55,+0.2%,79,+2.7%,20,-4.0%,49,-0.2%,29,-2.0%,75,+4.2%,23,-3.3%,37,-1.4%
Luc Mbah a Moute,25.1,MIL,Forward,972,64,+0.7%,86,+3.5%,42,-1.0%,52,+0.0%,47,-0.4%,14,-9.1%,77,+2.9%,48,-0.4%
JaVale McGee,23.8,WAS,Big,1121,5,-5.4%,23,-2.9%,12,-6.1%,5,-6.8%,4,-6.7%,49,-0.4%,2,-10.2%,6,-6.7%
JaVale McGee,23.8,DEN,Big,404,86,+2.7%,98,+7.7%,11,-6.5%,4,-7.8%,3,-7.1%,59,+1.3%,96,+7.4%,94,+5.5%
Tracy McGrady,32.4,ATL,Wing,783,31,-2.0%,8,-5.6%,78,+3.4%,70,+1.8%,78,+2.2%,6,-13.5%,72,+2.3%,23,-3.0%
Dominic McGuire,26.0,GSW,Forward,1088,77,+1.8%,71,+1.8%,75,+2.9%,34,-1.3%,56,+0.4%,36,-2.7%,90,+5.5%,82,+3.0%
Josh McRoberts,24.7,LAL,Big,696,32,-1.9%,7,-5.8%,97,+8.5%,28,-2.1%,86,+2.9%,61,+2.1%,5,-8.9%,11,-5.1%
Jodie Meeks,24.2,PHI,Wing,1578,56,+0.3%,68,+1.5%,41,-1.1%,52,+0.0%,45,-0.4%,21,-6.3%,61,+1.1%,49,-0.4%
CJ Miles,24.6,UTA,Wing,1118,56,+0.2%,56,+0.4%,62,+1.3%,38,-0.9%,56,+0.4%,68,+3.3%,14,-5.3%,21,-3.5%
Darko Milicic,26.4,MIN,Big,471,28,-2.3%,31,-1.9%,17,-4.7%,69,+1.6%,39,-1.0%,70,+3.6%,73,+2.4%,80,+2.8%
Andre Miller,35.6,DEN,Combo,1785,85,+2.6%,97,+6.9%,47,-0.3%,19,-3.7%,28,-2.0%,45,-1.3%,24,-3.3%,27,-2.5%
Brad Miller,35.6,MIN,Big,126,21,-2.6%,41,-1.0%,71,+2.2%,3,-8.4%,13,-4.2%,5,-13.8%,40,-1.4%,16,-4.2%
Mike Miller,31.7,MIA,Wing,712,83,+2.5%,32,-1.8%,48,-0.3%,75,+2.4%,67,+1.3%,86,+7.7%,87,+4.7%,94,+5.7%
Patty Mills,23.2,SAS,Point,226,50,-0.1%,4,-7.3%,41,-1.1%,70,+1.7%,53,+0.2%,54,+0.6%,92,+6.0%,89,+4.3%
Paul Millsap,26.7,UTA,Big,2091,87,+2.8%,84,+3.2%,85,+4.5%,90,+4.3%,94,+4.3%,92,+10.7%,63,+1.2%,82,+3.2%
Nazr Mohammed,34.2,OKC,Big,636,84,+2.6%,48,-0.3%,94,+7.3%,74,+2.3%,94,+4.4%,43,-1.7%,62,+1.2%,63,+1.1%
Greg Monroe,21.4,DET,Big,2076,94,+4.2%,61,+0.9%,64,+1.4%,83,+3.4%,81,+2.6%,71,+3.7%,91,+5.8%,93,+5.4%
E'Twaun Moore,22.7,BOS,Combo,258,7,-4.8%,5,-6.5%,2,-12.1%,50,-0.1%,8,-5.2%,90,+9.4%,22,-3.5%,52,-0.1%
Mikki Moore,36.0,GSW,Big,116,30,-2.1%,11,-5.1%,54,+0.6%,19,-3.7%,23,-2.9%,58,+1.1%,98,+9.3%,97,+7.3%
Darius Morris,20.8,LAL,Point,157,10,-4.1%,95,+5.7%,9,-7.5%,12,-5.0%,6,-5.8%,8,-11.9%,59,+0.8%,27,-2.4%
Marcus Morris,22.2,HOU,Wing,103,3,-6.4%,19,-3.3%,44,-0.8%,47,-0.4%,51,-0.1%,1,-25.0%,3,-9.5%,0,-14.0%
Markieff Morris,22.2,PHX,Big,1091,8,-4.5%,7,-5.8%,21,-3.9%,10,-5.4%,10,-4.8%,77,+4.4%,20,-3.9%,32,-1.9%
Anthony Morrow,26.1,NJN,Wing,1591,79,+2.0%,61,+0.9%,60,+1.2%,87,+3.8%,84,+2.8%,56,+0.9%,73,+2.4%,73,+2.0%
Timofey Mozgov,25.3,DEN,Big,672,44,-0.8%,10,-5.1%,65,+1.5%,77,+2.7%,77,+2.1%,51,-0.1%,97,+7.8%,92,+5.2%
Byron Mullens,22.7,CHA,Big,1346,76,+1.7%,85,+3.3%,68,+1.9%,71,+1.9%,75,+2.0%,52,+0.2%,27,-2.9%,28,-2.4%
Troy Murphy,31.5,LAL,Big,946,81,+2.3%,15,-4.1%,81,+3.8%,80,+3.1%,89,+3.5%,76,+4.3%,97,+8.0%,97,+6.8%
Eduardo Najera,35.3,CHA,Forward,249,74,+1.5%,96,+6.3%,96,+7.6%,60,+0.7%,80,+2.5%,2,-20.4%,6,-7.7%,2,-9.9%
Steve Nash,37.7,PHX,Point,1959,100,+7.8%,99,+8.5%,99,+11.1%,98,+7.0%,100,+8.7%,88,+8.4%,56,+0.5%,78,+2.5%
Gary Neal,27.1,SAS,Combo,1141,77,+1.9%,69,+1.7%,95,+7.6%,34,-1.3%,87,+3.2%,14,-9.2%,70,+1.9%,33,-1.8%
Jameer Nelson,29.7,ORL,Point,1702,96,+4.7%,87,+3.6%,96,+7.6%,62,+0.8%,92,+4.1%,18,-7.9%,76,+2.9%,59,+0.8%
Joakim Noah,26.7,CHI,Big,1942,88,+3.0%,84,+3.3%,66,+1.6%,97,+6.6%,95,+4.9%,18,-7.8%,67,+1.6%,43,-0.9%
Steve Novak,28.4,NYK,Forward,941,74,+1.5%,8,-5.6%,65,+1.5%,89,+4.1%,86,+3.1%,84,+6.8%,85,+4.4%,92,+5.0%
Dirk Nowitzki,33.4,DAL,Big,2075,97,+4.7%,94,+5.2%,93,+6.9%,89,+4.2%,97,+5.9%,32,-3.7%,91,+5.6%,83,+3.2%
Jermaine O'Neal,33.1,BOS,Big,567,25,-2.5%,15,-4.0%,65,+1.6%,10,-5.5%,18,-3.4%,51,-0.1%,61,+1.1%,59,+0.8%
Lamar Odom,32.0,DAL,Forward,999,36,-1.5%,48,-0.3%,15,-5.2%,11,-5.3%,7,-5.4%,74,+4.0%,51,-0.0%,62,+1.0%
Emeka Okafor,29.1,NOH,Big,779,35,-1.6%,78,+2.5%,75,+2.8%,38,-1.0%,59,+0.7%,17,-8.1%,14,-5.2%,8,-5.9%
Mehmet Okur,32.4,NJN,Big,441,27,-2.4%,77,+2.5%,97,+8.8%,3,-8.5%,34,-1.4%,6,-13.4%,37,-1.7%,10,-5.4%
Daniel Orton,21.2,ORL,Big,156,15,-3.1%,92,+4.9%,4,-9.8%,40,-0.7%,11,-4.6%,95,+12.0%,7,-7.7%,21,-3.5%
Travis Outlaw,27.1,SAC,Forward,462,64,+0.7%,82,+3.1%,84,+4.3%,40,-0.7%,71,+1.7%,13,-9.3%,68,+1.7%,39,-1.3%
Zaza Pachulia,27.7,ATL,Big,1618,39,-1.1%,30,-1.9%,38,-1.5%,44,-0.5%,41,-0.8%,85,+7.2%,22,-3.6%,57,+0.4%
Jannero Pargo,32.0,ATL,Point,552,45,-0.7%,15,-4.1%,55,+0.7%,67,+1.5%,65,+1.2%,26,-4.6%,70,+1.9%,48,-0.4%
Jeremy Pargo,25.6,MEM,Point,388,2,-6.9%,24,-2.7%,0,-16.1%,25,-2.4%,1,-8.7%,11,-9.9%,4,-9.2%,3,-9.3%
Anthony Parker,36.4,CLE,Wing,1276,91,+3.4%,97,+7.0%,33,-1.8%,99,+8.3%,87,+3.2%,80,+5.5%,39,-1.4%,56,+0.4%
Tony Parker,29.5,SAS,Point,1916,34,-1.6%,46,-0.4%,62,+1.4%,55,+0.3%,63,+1.0%,75,+4.2%,26,-3.1%,46,-0.6%
Chandler Parsons,23.0,HOU,Forward,1757,72,+1.3%,36,-1.5%,53,+0.4%,85,+3.6%,75,+2.0%,33,-3.6%,57,+0.6%,48,-0.4%
Patrick Patterson,22.6,HOU,Big,1461,23,-2.6%,49,-0.3%,37,-1.6%,16,-4.1%,23,-2.9%,35,-2.9%,47,-0.8%,38,-1.4%
Chris Paul,26.5,LAC,Point,2172,96,+4.6%,86,+3.5%,84,+4.3%,94,+5.5%,96,+5.0%,47,-0.7%,80,+3.4%,76,+2.2%
Sasha Pavlovic,28.0,BOS,Forward,446,33,-1.7%,55,+0.4%,90,+5.7%,8,-5.7%,29,-2.0%,36,-2.8%,17,-4.5%,19,-3.9%
Nikola Pekovic,25.8,MIN,Big,1257,68,+1.1%,72,+1.9%,61,+1.3%,34,-1.3%,44,-0.6%,89,+8.5%,29,-2.7%,53,+0.1%
Kendrick Perkins,27.0,OKC,Big,1742,8,-4.6%,52,+0.1%,14,-5.7%,13,-4.6%,8,-5.1%,55,+0.8%,31,-2.4%,27,-2.4%
Johan Petro,25.8,NJN,Big,865,22,-2.6%,54,+0.2%,3,-10.2%,36,-1.1%,13,-4.3%,67,+3.1%,53,+0.1%,62,+1.0%
Paul Pierce,34.1,BOS,Forward,2065,75,+1.6%,31,-1.8%,81,+3.7%,71,+1.8%,85,+2.9%,38,-2.4%,88,+4.9%,76,+2.2%
Mickael Pietrus,29.7,BOS,Wing,896,40,-1.0%,37,-1.4%,51,+0.3%,64,+1.0%,60,+0.7%,31,-3.9%,12,-5.9%,13,-4.9%
Dexter Pittman,23.7,MIA,Big,257,17,-3.0%,62,+1.0%,38,-1.4%,10,-5.4%,15,-3.8%,11,-10.5%,6,-7.9%,4,-8.9%
Quincy Pondexter,23.6,MEM,Wing,966,48,-0.3%,53,+0.2%,25,-3.1%,59,+0.6%,36,-1.1%,76,+4.3%,34,-2.0%,53,+0.1%
A.J. Price,25.1,IND,Point,450,10,-4.2%,21,-3.1%,4,-9.9%,65,+1.1%,14,-4.0%,24,-5.3%,27,-2.9%,20,-3.7%
Ronnie Price,28.4,PHX,Combo,436,5,-5.4%,29,-2.1%,22,-3.7%,3,-8.8%,5,-6.5%,7,-13.0%,33,-2.2%,16,-4.3%
Tayshaun Prince,31.7,DET,Wing,2083,73,+1.5%,52,+0.1%,27,-2.6%,94,+5.2%,73,+1.8%,23,-5.7%,90,+5.2%,80,+2.9%
Joel Przybilla,32.1,POR,Big,441,66,+0.9%,74,+2.2%,94,+7.5%,16,-4.1%,55,+0.4%,83,+6.4%,47,-0.7%,69,+1.5%
Vladimir Radmanovic,30.9,ATL,Forward,660,37,-1.3%,2,-8.8%,34,-1.7%,94,+5.3%,83,+2.7%,61,+1.9%,47,-0.8%,53,+0.1%
Anthony Randolph,22.3,MIN,Big,497,66,+0.9%,23,-2.8%,68,+1.9%,64,+1.0%,70,+1.6%,46,-1.0%,91,+5.7%,87,+3.8%
Zach Randolph,30.3,MEM,Big,730,80,+2.2%,41,-1.0%,68,+2.0%,43,-0.5%,62,+0.9%,87,+8.2%,92,+6.0%,96,+6.5%
Michael Redd,32.2,PHX,Wing,710,11,-3.7%,5,-6.7%,6,-8.7%,57,+0.4%,17,-3.5%,38,-2.5%,36,-1.8%,32,-1.9%
JJ Redick,27.4,ORL,Wing,1750,54,+0.1%,51,-0.0%,14,-5.8%,90,+4.3%,42,-0.7%,30,-4.0%,85,+4.1%,75,+2.1%
Jason Richardson,30.8,ORL,Wing,1586,68,+1.1%,67,+1.4%,88,+5.4%,53,+0.1%,83,+2.7%,54,+0.4%,39,-1.5%,44,-0.9%
Quentin Richardson,31.6,ORL,Wing,845,6,-5.3%,9,-5.4%,56,+0.8%,6,-6.5%,18,-3.3%,65,+2.6%,18,-4.2%,25,-2.8%
Luke Ridnour,30.7,MIN,Combo,1748,44,-0.7%,68,+1.5%,66,+1.7%,24,-2.7%,46,-0.4%,29,-4.1%,45,-0.9%,35,-1.7%
Nate Robinson,27.4,GSW,Point,1169,90,+3.2%,93,+5.1%,25,-3.1%,33,-1.4%,26,-2.5%,67,+2.9%,92,+6.0%,90,+4.5%
Rajon Rondo,25.7,BOS,Point,1949,67,+1.0%,56,+0.4%,54,+0.5%,61,+0.7%,63,+1.0%,61,+2.2%,41,-1.3%,55,+0.2%
Derrick Rose,23.1,CHI,Point,1373,86,+2.7%,62,+0.9%,39,-1.3%,93,+5.2%,85,+2.9%,41,-1.9%,79,+3.4%,72,+1.8%
Ricky Rubio,21.0,MIN,Combo,1396,37,-1.3%,47,-0.3%,43,-0.9%,28,-2.1%,34,-1.4%,59,+1.4%,29,-2.6%,39,-1.3%
Brandon Rush,26.3,GSW,Forward,1683,89,+3.0%,75,+2.3%,79,+3.6%,57,+0.4%,70,+1.6%,47,-0.7%,81,+3.5%,77,+2.3%
Walker Russell,29.1,DET,Point,292,21,-2.6%,50,-0.1%,32,-2.1%,50,-0.1%,38,-1.0%,87,+8.2%,0,-12.7%,6,-7.4%
John Salmons,31.9,SAC,Wing,1241,30,-2.1%,19,-3.4%,78,+3.3%,54,+0.1%,72,+1.7%,62,+2.3%,32,-2.3%,43,-0.9%
Samardo Samuels,22.8,CLE,Big,732,29,-2.2%,36,-1.5%,48,-0.1%,12,-5.0%,25,-2.6%,23,-5.6%,50,-0.2%,36,-1.5%
Larry Sanders,22.9,MIL,Big,570,73,+1.5%,54,+0.2%,60,+1.2%,56,+0.4%,59,+0.7%,40,-2.1%,85,+4.1%,79,+2.6%
Luis Scola,31.5,HOU,Big,2064,78,+1.9%,72,+1.9%,64,+1.5%,62,+0.9%,66,+1.2%,70,+3.6%,48,-0.7%,61,+0.9%
Thabo Sefolosha,27.5,OKC,Wing,906,24,-2.5%,51,-0.1%,10,-6.9%,37,-1.0%,21,-3.2%,81,+5.6%,31,-2.5%,40,-1.2%
Josh Selby,20.6,MEM,Point,190,96,+4.6%,87,+3.6%,81,+3.8%,100,+9.3%,98,+6.8%,1,-25.3%,95,+7.0%,35,-1.7%
Kevin Seraphin,21.9,WAS,Big,1095,73,+1.4%,81,+2.9%,94,+7.1%,46,-0.4%,81,+2.6%,31,-3.9%,55,+0.4%,38,-1.3%
Ramon Sessions,25.6,CLE,Point,972,10,-4.1%,6,-6.1%,19,-4.3%,18,-3.8%,14,-4.0%,16,-8.2%,89,+5.0%,71,+1.7%
Ramon Sessions,25.6,LAL,Combo,695,95,+4.3%,89,+4.0%,17,-4.9%,54,+0.2%,26,-2.5%,95,+12.7%,99,+14.0%,100,+13.6%
Iman Shumpert,21.3,NYK,Combo,1647,70,+1.2%,30,-2.0%,31,-2.1%,99,+8.2%,93,+4.2%,43,-1.7%,73,+2.4%,67,+1.4%
Bobby Simmons,31.4,LAC,Forward,401,20,-2.7%,30,-2.0%,50,+0.2%,31,-1.8%,37,-1.1%,35,-3.0%,19,-4.1%,21,-3.6%
Chris Singleton,21.9,WAS,Wing,1375,47,-0.5%,77,+2.5%,52,+0.3%,17,-4.0%,28,-2.1%,46,-1.0%,42,-1.2%,44,-0.9%
James Singleton,30.3,WAS,Big,220,75,+1.6%,36,-1.5%,20,-4.1%,27,-2.3%,17,-3.4%,99,+20.6%,98,+9.6%,100,+12.7%
Donald Sloan,23.8,CLE,Point,542,4,-6.1%,1,-9.9%,38,-1.4%,72,+2.1%,57,+0.5%,9,-11.7%,17,-4.5%,7,-6.4%
Craig Smith,28.0,POR,Big,382,18,-2.9%,71,+1.8%,2,-12.5%,78,+2.8%,17,-3.5%,72,+3.9%,7,-7.6%,24,-2.9%
Ish Smith,23.3,ORL,Point,129,0,-12.0%,1,-10.3%,1,-14.3%,56,+0.3%,6,-6.0%,6,-13.5%,2,-10.7%,1,-11.4%
JR Smith,26.1,NYK,Wing,915,44,-0.8%,16,-4.0%,51,+0.3%,15,-4.3%,25,-2.6%,100,+22.6%,62,+1.1%,95,+6.1%
Jason Smith,25.7,NOH,Big,940,75,+1.6%,90,+4.4%,27,-2.7%,86,+3.8%,68,+1.4%,79,+4.9%,30,-2.5%,51,-0.2%
Josh Smith,25.9,ATL,Big,2323,92,+3.6%,98,+8.1%,69,+2.0%,17,-3.9%,30,-1.9%,85,+7.0%,65,+1.4%,85,+3.5%
Nolan Smith,23.3,POR,Combo,466,8,-4.7%,18,-3.5%,29,-2.4%,7,-5.9%,12,-4.5%,20,-6.6%,49,-0.4%,28,-2.4%
Marreese Speights,24.2,MEM,Big,1338,29,-2.2%,10,-5.2%,48,-0.2%,87,+3.9%,74,+1.9%,11,-10.1%,51,-0.1%,25,-2.6%
Tiago Splitter,26.8,SAS,Big,1074,93,+3.9%,62,+1.0%,63,+1.4%,79,+2.9%,76,+2.0%,82,+6.0%,64,+1.3%,79,+2.7%
Jerry Stackhouse,37.0,ATL,Wing,173,36,-1.4%,20,-3.3%,8,-7.6%,29,-1.9%,15,-3.9%,5,-13.8%,100,+14.1%,75,+2.2%
Lance Stephenson,21.2,IND,Wing,353,28,-2.3%,52,+0.0%,35,-1.6%,20,-3.7%,24,-2.7%,2,-19.2%,93,+6.2%,45,-0.7%
DeShawn Stevenson,30.6,NJN,Wing,946,31,-2.0%,12,-4.9%,92,+6.5%,15,-4.4%,49,-0.1%,25,-4.8%,52,+0.0%,38,-1.4%
Greg Stiemsma,26.1,BOS,Big,699,37,-1.3%,50,-0.1%,36,-1.6%,14,-4.5%,19,-3.3%,93,+11.3%,30,-2.6%,77,+2.4%
Julyan Stone,22.9,DEN,Combo,160,23,-2.5%,48,-0.3%,16,-5.0%,2,-9.1%,4,-6.7%,45,-1.2%,23,-3.4%,25,-2.7%
Amar'e Stoudemire,29.0,NYK,Big,1539,22,-2.6%,65,+1.3%,37,-1.6%,16,-4.1%,21,-3.1%,34,-3.4%,15,-4.9%,14,-4.5%
Rodney Stuckey,25.5,DET,Wing,1635,82,+2.4%,56,+0.5%,53,+0.4%,66,+1.3%,61,+0.8%,62,+2.3%,81,+3.5%,83,+3.3%
DaJuan Summers,23.8,NOH,Wing,190,41,-1.0%,25,-2.7%,10,-7.1%,57,+0.4%,24,-2.7%,99,+18.7%,87,+4.6%,99,+9.9%
Jeff Teague,23.4,ATL,Point,2177,89,+3.0%,91,+4.6%,44,-0.8%,69,+1.7%,62,+1.0%,75,+4.2%,56,+0.5%,73,+2.0%
Sebastian Telfair,26.4,PHX,Point,784,2,-7.0%,4,-6.9%,1,-14.0%,12,-4.9%,1,-8.7%,40,-2.1%,44,-1.0%,39,-1.3%
Jason Terry,34.1,DAL,Wing,1982,57,+0.3%,67,+1.5%,41,-1.1%,56,+0.3%,47,-0.4%,96,+13.3%,20,-3.9%,54,+0.1%
Hasheem Thabeet,24.7,POR,Big,104,0,-11.5%,3,-7.8%,4,-9.7%,2,-9.2%,1,-9.3%,3,-15.1%,4,-9.3%,1,-11.4%
Isaiah Thomas,22.7,SAC,Point,1616,78,+1.9%,84,+3.2%,22,-3.7%,25,-2.4%,22,-3.0%,77,+4.4%,72,+2.2%,81,+2.9%
Kurt Thomas,39.1,POR,Big,776,23,-2.6%,17,-3.6%,43,-0.9%,72,+1.9%,64,+1.1%,34,-3.4%,41,-1.3%,33,-1.8%
Lance Thomas,23.5,NOH,Big,610,19,-2.8%,9,-5.4%,76,+3.0%,22,-3.2%,45,-0.5%,59,+1.3%,31,-2.3%,31,-2.0%
Tyrus Thomas,25.2,CHA,Big,960,60,+0.5%,70,+1.7%,64,+1.5%,22,-3.2%,32,-1.8%,90,+9.4%,93,+6.2%,97,+6.7%
Jason Thompson,25.3,SAC,Big,1624,92,+3.6%,79,+2.7%,88,+5.5%,78,+2.9%,93,+4.1%,94,+11.6%,48,-0.7%,81,+2.9%
Klay Thompson,21.7,GSW,Wing,1557,60,+0.5%,44,-0.6%,32,-2.0%,43,-0.5%,38,-1.1%,69,+3.4%,76,+2.9%,77,+2.2%
Tristan Thompson,20.6,CLE,Big,1372,13,-3.2%,10,-5.2%,25,-3.1%,62,+0.8%,36,-1.2%,16,-8.5%,72,+2.2%,47,-0.5%
Marcus Thornton,24.4,SAC,Combo,1773,49,-0.3%,37,-1.4%,26,-3.0%,41,-0.7%,31,-1.9%,49,-0.3%,74,+2.7%,70,+1.6%
Jamaal Tinsley,33.7,UTA,Point,463,55,+0.2%,44,-0.6%,76,+3.0%,61,+0.8%,74,+1.9%,49,-0.4%,30,-2.6%,31,-2.1%
Anthony Tolliver,26.4,MIN,Forward,861,62,+0.6%,81,+2.9%,12,-6.4%,37,-1.0%,23,-2.9%,44,-1.5%,63,+1.3%,57,+0.6%
Ronny Turiaf,28.8,MIA,Big,212,24,-2.5%,0,-11.3%,87,+5.0%,68,+1.5%,86,+3.0%,78,+4.6%,86,+4.4%,90,+4.5%
Hedo Turkoglu,32.6,ORL,Wing,1648,98,+5.3%,92,+4.9%,53,+0.4%,43,-0.5%,52,+0.1%,45,-1.1%,87,+4.7%,85,+3.5%
Evan Turner,23.0,PHI,Wing,1631,61,+0.6%,77,+2.5%,56,+0.7%,35,-1.1%,48,-0.3%,91,+9.6%,23,-3.4%,47,-0.5%
Jeremy Tyler,20.4,GSW,Big,537,20,-2.7%,5,-6.4%,67,+1.9%,35,-1.2%,54,+0.2%,44,-1.4%,64,+1.3%,56,+0.4%
Ekpe Udoh,24.5,GSW,Big,817,76,+1.7%,22,-3.0%,84,+4.3%,76,+2.6%,85,+2.9%,53,+0.3%,97,+7.9%,92,+5.0%
Ekpe Udoh,24.5,MIL,Big,443,9,-4.4%,25,-2.6%,4,-9.8%,9,-5.5%,4,-6.9%,46,-0.9%,73,+2.4%,67,+1.4%
Beno Udrih,29.3,MIL,Point,995,83,+2.5%,58,+0.7%,39,-1.4%,38,-1.0%,37,-1.1%,69,+3.5%,98,+10.7%,98,+8.7%
Ben Uzoh,23.6,TOR,Point,349,12,-3.6%,95,+5.8%,53,+0.4%,0,-12.8%,2,-7.8%,94,+11.7%,2,-10.8%,13,-4.9%
Anderson Varejao,29.1,CLE,Big,782,94,+4.2%,90,+4.3%,89,+5.5%,82,+3.3%,94,+4.4%,55,+0.6%,74,+2.6%,74,+2.0%
Greivis Vasquez,24.8,NOH,Combo,1658,80,+2.1%,69,+1.7%,37,-1.5%,70,+1.8%,55,+0.3%,84,+6.6%,64,+1.3%,80,+2.8%
Jan Vesely,21.5,WAS,Big,1033,63,+0.6%,60,+0.8%,24,-3.4%,75,+2.4%,48,-0.3%,26,-4.6%,84,+4.0%,67,+1.4%
Charlie Villanueva,27.2,DET,Forward,136,84,+2.6%,5,-6.5%,87,+5.2%,25,-2.5%,67,+1.3%,53,+0.4%,95,+6.8%,93,+5.4%
