date,max_num_of_players_yahoo,best_actual_lineup_yahoo,best_pred_lineup_yahoo,best_actual_score_yahoo,best_pred_score_yahoo,best_actual_cost_yahoo,best_pred_cost_yahoo,is_repeat_yahoo,is_repeat_pred_yahoo,max_num_of_players_fanduel,best_actual_lineup_fanduel,best_pred_lineup_fanduel,best_actual_score_fanduel,best_pred_score_fanduel,best_actual_cost_fanduel,best_pred_cost_fanduel,is_repeat_fanduel,is_repeat_pred_fanduel,max_num_of_players_draftkings,best_actual_lineup_draftkings,best_pred_lineup_draftkings,best_actual_score_draftkings,best_pred_score_draftkings,best_actual_cost_draftkings,best_pred_cost_draftkings,is_repeat_draftkings,is_repeat_pred_draftkings
2024-02-11,41,"['Keegan Murray', 'Malik Monk', 'Jalen Williams', 'Bam Adebayo', 'Isaiah Joe', 'Luguentz Dort', 'Payton Pritchard', 'Jayson Tatum']","['Duncan Robinson', 'Luguentz Dort', 'Jalen Williams', 'Malik Monk', 'Jalen Williams', 'Jayson Tatum', 'Jalen Williams', 'Haywood Highsmith']",303.0,288.21152511816473,189.0,186.0,0,2,41,"['Jaime Jaquez Jr.', 'Luguentz Dort', 'Jalen Williams', 'Bam Adebayo', 'Kristaps Porzingis', 'Jalen Williams', 'Terry Rozier', 'Shai Gilgeous-Alexander', 'Caleb Martin']","['Bam Adebayo', 'Caleb Martin', 'Jalen Williams', 'Malik Monk', 'Bam Adebayo', 'Davion Mitchell', 'Jayson Tatum', 'Jalen Williams', 'Chet Holmgren']",365.0,357.8012802168727,58700.0,59800.0,1,2,41,"['Bam Adebayo', 'Jalen Williams', 'Malik Monk', 'Kristaps Porzingis', 'Shai Gilgeous-Alexander', 'Ousmane Dieng', 'Keegan Murray', 'Isaiah Joe']","['Bam Adebayo', 'Kenrich Williams', 'Jalen Williams', 'Bam Adebayo', 'Malik Monk', 'Luguentz Dort', 'Jrue Holiday', 'Chet Holmgren']",306.0,283.567997649312,49700.0,49500.0,0,1
2024-02-12,217,"['Zion Williamson', 'Buddy Hield', ""De'Andre Hunter"", 'Kelly Olynyk', 'Andrew Nembhard', 'Rudy Gobert', 'Giannis Antetokounmpo', 'Daniel Gafford']","['Miles Bridges', 'Keldon Johnson', 'Alperen Sengun', 'Ayo Dosunmu', 'Jalen Green', 'Nick Richards', 'Devin Vassell', 'Naz Reid']",349.6,292.9708395928144,198.0,200.0,0,0,217,"['Larry Nance Jr.', 'John Konchar', 'Victor Wembanyama', 'Kelly Oubre Jr.', 'Walker Kessler', 'Josh Green', 'Ayo Dosunmu', 'Giannis Antetokounmpo', 'Jarrett Allen']","['Nickeil Alexander-Walker', 'Darius Garland', ""De'Andre Hunter"", 'Stephen Curry', 'Paul Reed', 'Pascal Siakam', 'Devin Vassell', 'Tyus Jones', 'Nikola Vucevic']",390.9,331.1187129512429,58100.0,58200.0,0,0,217,"['Ayo Dosunmu', 'Nickeil Alexander-Walker', 'Georges Niang', 'Bogdan Bogdanovic', 'Victor Wembanyama', 'Daniel Gafford', 'Draymond Green', 'Dejounte Murray']","['Isaac Okoro', 'Josh Hart', ""De'Andre Hunter"", 'Myles Turner', 'Donovan Mitchell', 'Ayo Dosunmu', 'Daniel Gafford', 'Jonas Valanciunas']",329.75,289.7682478055358,45900.0,48500.0,0,0
2024-02-13,141,"['Markelle Fultz', 'Jayson Tatum', 'Deandre Ayton', 'Lonnie Walker IV', 'Duncan Robinson', ""De'Aaron Fox"", 'Jalen Williams', 'Nikola Jovic']","['Wendell Carter Jr.', ""Royce O'Neale"", 'Jayson Tatum', 'Duncan Robinson', 'Jalen Williams', 'Grayson Allen', 'Markelle Fultz', 'Rudy Gobert']",350.19999999999993,279.2952879790217,186.0,181.0,0,0,141,"['Cade Cunningham', 'Kevin Love', 'Duncan Robinson', 'Derrick White', 'Jayson Tatum', 'Devin Booker', 'Tyler Herro', 'Deandre Ayton', 'Rui Hachimura']","['Lonnie Walker IV', 'Cade Cunningham', 'Domantas Sabonis', 'Mike Conley', 'James Wiseman', 'Kevin Love', 'Anthony Edwards', 'Naz Reid', 'Domantas Sabonis']",349.2,372.872605445981,60000.0,56200.0,0,1,141,"[""Royce O'Neale"", 'James Wiseman', 'Kevin Love', 'Tyler Herro', 'Taurean Prince', 'Domantas Sabonis', 'Chet Holmgren', ""De'Aaron Fox""]","['Deandre Ayton', 'Al Horford', 'Nikola Jovic', 'Evan Fournier', 'Markelle Fultz', 'Jayson Tatum', 'Anthony Edwards', 'Paolo Banchero']",339.75,290.31546944752336,47100.0,49200.0,0,0
2024-02-14,282,"['Isaiah Jackson', 'Jakob Poeltl', 'Bam Adebayo', 'Deni Avdija', 'Buddy Hield', 'CJ McCollum', 'Deni Avdija', 'Brandon Miller']","['Keyonte George', 'Kevin Huerter', 'Anthony Davis', 'Luke Kornet', 'Dillon Brooks', 'Tyrese Maxey', 'Obi Toppin', 'Deni Avdija']",393.4,313.05104286558924,192.0,184.0,1,0,282,"['Pascal Siakam', 'Mason Plumlee', 'James Harden', 'Isaiah Jackson', 'Evan Fournier', 'Zion Williamson', 'Coby White', 'Austin Reaves', 'Domantas Sabonis']","['Paolo Banchero', 'Victor Wembanyama', 'Brandin Podziemski', 'GG Jackson', 'Scottie Barnes', 'Pascal Siakam', 'Jakob Poeltl', 'Saben Lee', 'Marvin Bagley III']",371.3,363.47167270276697,59800.0,60000.0,0,0,282,"['Zion Williamson', ""De'Aaron Fox"", 'Tyus Jones', ""D'Angelo Russell"", 'Paul George', 'Moritz Wagner', 'GG Jackson', 'T.J. McConnell']","['Deni Avdija', 'Jordan Goodwin', 'CJ McCollum', 'Brandon Ingram', 'Scottie Barnes', 'Coby White', 'Paul Reed', 'Donovan Mitchell']",317.5,336.0635260529816,49300.0,,0,0
2024-02-15,65,"['Collin Sexton', 'Collin Sexton', 'Draymond Green', 'Lamar Stevens', 'Anthony Edwards', 'Lauri Markkanen', 'Brook Lopez', 'Keyonte George']","['Andrew Wiggins', 'Keyonte George', 'Mike Conley', 'Anthony Edwards', 'Jonathan Kuminga', 'Brook Lopez', 'Vince Williams Jr.', 'Collin Sexton']",383.79999999999995,316.6871488211676,200.0,191.0,1,0,65,"['Collin Sexton', 'Vince Williams Jr.', 'Brook Lopez', 'Collin Sexton', 'Giannis Antetokounmpo', 'Toumani Camara', 'Keyonte George', 'Draymond Green', 'Keyonte George']","['Anthony Edwards', 'Draymond Green', 'Mike Conley', 'Damian Lillard', 'Keyonte George', 'Jerami Grant', 'Vince Williams Jr.', 'Collin Sexton', 'Ziaire Williams']",445.3999999999999,358.75130711160597,56200.0,57800.0,2,0,65,"['Brook Lopez', 'Keyonte George', 'Anthony Edwards', 'Jonathan Kuminga', 'Collin Sexton', 'Klay Thompson', 'Brook Lopez', 'Jordan Goodwin']","['Anthony Edwards', 'Vince Williams Jr.', 'Lester Quinones', 'Toumani Camara', 'Vince Williams Jr.', 'Anthony Edwards', 'Brook Lopez', 'Collin Sexton']",348.25,326.51888531446457,47800.0,49500.0,1,2
2024-02-22,276,"['Bojan Bogdanovic', 'Jonas Valanciunas', 'T.J. McConnell', 'Amen Thompson', 'Luguentz Dort', 'Victor Wembanyama', 'Aaron Gordon', 'John Collins']","['Kyle Kuzma', 'Devin Vassell', 'Jonas Valanciunas', 'Kyle Lowry', 'Rui Hachimura', 'Miles Bridges', 'Jarrett Allen', 'T.J. McConnell']",318.0999999999999,292.7275755980052,195.0,198.0,0,0,276,"['Derrick White', 'Ayo Dosunmu', 'Josh Hart', 'Jeremy Sochan', 'Miles Bridges', 'Trey Murphy III', 'Gary Trent Jr.', 'Evan Mobley', 'Nikola Jokic']","['Domantas Sabonis', 'Jalen Hood-Schifino', 'Obi Toppin', 'Immanuel Quickley', 'Anthony Davis', 'Evan Mobley', 'Jamal Murray', 'Keldon Johnson', 'Max Strus']",383.20000000000005,317.594604241848,58800.0,58500.0,0,0,276,"['Herbert Jones', 'Ayo Dosunmu', 'Moses Moody', 'Jamal Murray', 'Miles Bridges', 'Lauri Markkanen', 'Chet Holmgren', 'T.J. McConnell']","['Coby White', 'Tre Mann', 'Josh Hart', 'Nick Richards', 'Donte DiVincenzo', 'Jeremy Sochan', 'Bennedict Mathurin', 'Kyle Kuzma']",304.5,270.27520952001214,49100.0,49900.0,0,0
2024-02-23,212,"['Collin Gillespie', 'Zion Williamson', 'Grayson Allen', 'Dario Saric', 'Amen Thompson', 'Michael Porter Jr.', 'Jaren Jackson Jr.', 'Kevin Durant']","['Dalano Banton', 'Jalen Johnson', 'Ochai Agbaji', 'Dejounte Murray', 'Jabari Smith Jr.', 'Victor Wembanyama', 'Nick Richards', 'Aaron Gordon']",330.59999999999997,283.69097349382935,198.0,197.0,0,0,212,"['Terance Mann', 'Jabari Smith Jr.', 'Kawhi Leonard', 'Anfernee Simons', 'Bol Bol', 'CJ McCollum', 'Kevin Durant', 'Jalen Johnson', 'Jeremy Sochan']","['Jabari Smith Jr.', 'Nikola Jokic', 'Jeremy Sochan', 'Max Strus', 'Marvin Bagley III', 'Matisse Thybulle', 'Caris LeVert', 'Jordan Poole', 'Nikola Jokic']",379.2,359.06882140785456,58300.0,58300.0,0,1,212,"['Victor Wembanyama', 'Karl-Anthony Towns', 'Jeremy Sochan', 'Collin Gillespie', 'Malik Beasley', 'Victor Wembanyama', 'Kris Murray', 'Bruce Brown']","['Cameron Payne', 'Nikola Jokic', 'Eugene Omoruyi', 'Herbert Jones', 'Miles Bridges', 'Malik Beasley', 'Jaren Jackson Jr.', 'Kentavious Caldwell-Pope']",334.5,267.0971390530467,46900.0,49500.0,1,0
2024-02-24,65,"['Evan Fournier', 'Wendell Carter Jr.', 'Cade Cunningham', 'Jrue Holiday', 'Ben Simmons', 'Anthony Edwards', 'Dorian Finney-Smith', 'Jalen Duren']","['Jalen Brunson', 'Kyle Anderson', 'Jalen Duren', 'Simone Fontecchio', 'Anthony Edwards', 'Dorian Finney-Smith', 'Jaylen Brown', 'Jalen Suggs']",265.40000000000003,289.74784704335036,197.0,196.0,0,0,65,"['Cam Thomas', 'Quentin Grimes', 'Cade Cunningham', 'Jalen Brunson', 'Naz Reid', 'Karl-Anthony Towns', 'Jalen Duren', 'Mikal Bridges', 'Anthony Black']","['Jalen Brunson', 'Jalen Suggs', 'Payton Pritchard', 'Mikal Bridges', 'Simone Fontecchio', 'Jayson Tatum', 'Dorian Finney-Smith', 'Karl-Anthony Towns', 'Cam Thomas']",309.49999999999994,309.77202595844864,58300.0,59400.0,0,0,65,"['Wendell Carter Jr.', 'Jalen Brunson', 'Jalen Duren', 'Jalen Duren', 'Miles McBride', 'Moritz Wagner', 'Simone Fontecchio', 'Anthony Edwards']","['Cam Thomas', 'Jonathan Isaac', 'Cole Anthony', 'Jaylen Brown', 'Ben Simmons', 'Cade Cunningham', 'Karl-Anthony Towns', 'Jalen Suggs']",292.5,268.31899486575276,50000.0,49000.0,1,0
2024-02-25,244,"['Nikola Vucevic', 'Franz Wagner', 'Jordan Poole', 'Zion Williamson', 'Ayo Dosunmu', 'Norman Powell', 'Marvin Bagley III', 'Chet Holmgren']","['Jusuf Nurkic', 'Julian Champagnie', 'Domantas Sabonis', 'Matisse Thybulle', 'Vasilije Micic', 'Kyle Kuzma', 'Franz Wagner', 'Aaron Gordon']",330.90000000000003,289.76547780930997,198.0,199.0,0,0,244,"['Jordan Poole', 'Wendell Carter Jr.', ""De'Aaron Fox"", 'Nikola Jokic', 'Jusuf Nurkic', 'Georges Niang', 'Josh Green', 'Chet Holmgren', 'Jalen Williams']","['Nick Richards', 'Georges Niang', 'Andrew Wiggins', 'Luguentz Dort', 'Dejounte Murray', 'Anthony Davis', 'Austin Reaves', 'Domantas Sabonis', 'Collin Sexton']",417.5,332.8821776334196,58800.0,59300.0,0,0,244,"['Nikola Jokic', 'Max Christie', 'Nikola Jokic', 'Caris LeVert', 'Julian Phillips', 'Andrew Nembhard', 'Jusuf Nurkic', 'Luguentz Dort']","['Andre Jackson Jr.', 'Nick Richards', 'Myles Turner', 'Chet Holmgren', 'Jarrett Allen', 'Evan Mobley', 'Josh Giddey', 'Aaron Gordon']",341.0,288.2618211135268,49900.0,49000.0,1,0
2024-02-26,81,"['Scottie Barnes', 'Jaime Jaquez Jr.', 'Lamar Stevens', 'Bam Adebayo', 'Cade Cunningham', 'Lonnie Walker IV', 'Quentin Grimes', 'Bennedict Mathurin']","['Jalen Brunson', 'Josh Hart', 'Jaren Jackson Jr.', 'Bennedict Mathurin', 'Malik Monk', 'Dorian Finney-Smith', 'Josh Hart', 'Jakob Poeltl']",358.20000000000005,329.30887452065946,186.0,199.0,0,1,81,"['Jalen Smith', ""De'Aaron Fox"", 'Josh Hart', 'Keegan Murray', 'Cade Cunningham', 'Gradey Dick', 'Scottie Barnes', 'Jaden Ivey', 'Bam Adebayo']","['Haywood Highsmith', 'Donte DiVincenzo', 'Malik Monk', 'Ben Simmons', 'Bennedict Mathurin', 'Jalen Brunson', 'Pascal Siakam', 'Josh Hart', 'Isaiah Hartenstein']",391.5,345.2303184069693,59100.0,58900.0,0,0,81,"['Keegan Murray', 'Keegan Murray', 'Bam Adebayo', 'Scottie Barnes', 'James Wiseman', 'Cade Cunningham', 'Jaime Jaquez Jr.', 'Lonnie Walker IV']","['Scottie Barnes', 'Haywood Highsmith', 'Bam Adebayo', 'Bennedict Mathurin', 'Josh Hart', 'Dennis Schroder', 'Delon Wright', 'Cam Thomas']",341.5,299.9314135238528,48200.0,48400.0,1,0
