date,max_num_of_players_yahoo,best_actual_lineup_yahoo,best_pred_lineup_yahoo,best_actual_score_yahoo,best_pred_score_yahoo,best_actual_score_pred_lineupyahoo,best_actual_cost_yahoo,best_pred_cost_yahoo,is_repeat_yahoo,is_repeat_pred_yahoo,max_num_of_players_fanduel,best_actual_lineup_fanduel,best_pred_lineup_fanduel,best_actual_score_fanduel,best_pred_score_fanduel,best_actual_score_pred_lineupfanduel,best_actual_cost_fanduel,best_pred_cost_fanduel,is_repeat_fanduel,is_repeat_pred_fanduel,max_num_of_players_draftkings,best_actual_lineup_draftkings,best_pred_lineup_draftkings,best_actual_score_draftkings,best_pred_score_draftkings,best_actual_score_pred_lineupdraftkings,best_actual_cost_draftkings,best_pred_cost_draftkings,is_repeat_draftkings,is_repeat_pred_draftkings
1/21/23,139,"['Jrue Holiday', 'Precious Achiuwa', 'Kyle Anderson', 'Anthony Edwards', 'Gordon Hayward', 'Pascal Siakam', 'Delon Wright', 'T.J. McConnell']","['Delon Wright', ""De'Aaron Fox"", 'Myles Turner', 'Pascal Siakam', 'Malcolm Brogdon', 'Jaylen Brown', 'Josh Okogie', 'Jalen Smith']",356.00000000000006,295.7006729565561,349.8,198,191,0,0,139,"['Josh Okogie', 'Montrezl Harrell', 'Darius Garland', 'T.J. McConnell', ""De'Aaron Fox"", 'Anthony Edwards', 'Eric Gordon', 'T.J. McConnell', 'Mason Plumlee']","['Malcolm Brogdon', 'Jaylen Brown', 'Precious Achiuwa', ""De'Aaron Fox"", 'Paolo Banchero', 'Jarrett Allen', 'Delon Wright', 'Isaac Okoro', ""D'Angelo Russell""]",429,297.79750451892613,339.8,59300,58600,1,0,139,"['Jrue Holiday', 'Josh Okogie', 'Josh Okogie', 'Pascal Siakam', 'Evan Mobley', 'Gary Trent Jr.', 'Dennis Smith Jr.', 'Anthony Edwards']","['Terry Rozier', 'Jock Landale', ""De'Aaron Fox"", 'Jaylen Brown', 'Jaylen Brown', 'Anthony Edwards', 'T.J. McConnell', 'Pascal Siakam']",395.5,335.70112835243344,408,,,1,1
1/22/23,132,"['Dennis Schroder', 'Julius Randle', 'RJ Barrett', 'Josh Hart', 'Kyrie Irving', 'Torrey Craig', 'Anfernee Simons', 'Tim Hardaway Jr.']","['Nic Claxton', 'Jimmy Butler', 'Jordan Poole', ""Royce O'Neale"", 'RJ Barrett', 'Chris Paul', 'Josh Okogie', 'Gary Trent Jr.']",346.20000000000005,265.2085485942662,296.6,197,198,0,0,132,"['Thomas Bryant', 'Shai Gilgeous-Alexander', 'Jericho Sims', 'Damian Lillard', 'Torrey Craig', 'Kawhi Leonard', 'Drew Eubanks', 'Joe Harris', 'Larry Nance Jr.']","['Reggie Jackson', 'Bam Adebayo', 'Scottie Barnes', 'Kevon Looney', 'Dennis Schroder', 'Josh Hart', 'Steven Adams', 'Pascal Siakam', 'Robert Covington']",363.4,288.42644248604773,327.99999999999994,58000,59400,0,0,132,"['Ja Morant', 'Dennis Schroder', 'Aaron Gordon', 'Kyrie Irving', 'Shai Gilgeous-Alexander', 'Luka Doncic', 'Gary Trent Jr.', 'Josh Hart']","['LeBron James', 'RJ Barrett', 'Shai Gilgeous-Alexander', 'Ja Morant', 'Larry Nance Jr.', 'Donte DiVincenzo', 'Dario Saric', 'Jalen Williams']",363,289.1323180384934,318.75,,,0,0
1/23/23,165,"['Damian Lillard', 'Patrick Williams', 'Nikola Vucevic', 'Jalen Duren', 'Coby White', 'John Collins', 'DeMar DeRozan', 'Jusuf Nurkic']","['Damian Lillard', 'Jalen Duren', 'Trey Lyles', ""De'Aaron Fox"", 'Jaden Ivey', 'Ochai Agbaji', 'Derrick White', 'Zach LaVine']",337.4,274.4866525880992,315.2,199,179,0,0,165,"['Tari Eason', 'Grayson Allen', 'Jonathan Isaac', 'John Collins', 'Lauri Markkanen', ""De'Aaron Fox"", 'Jalen McDaniels', 'Damian Lillard', 'Jalen Green']","['Terry Rozier', 'Clint Capela', 'Bojan Bogdanovic', 'Tari Eason', 'Jaden McDaniels', 'Jalen Green', 'Franz Wagner', 'Jevon Carter', 'Trae Young']",347.8,300.0397873386741,333.50000000000006,59500,59400,0,0,165,"['Bojan Bogdanovic', 'Terry Rozier', 'Jordan Nwora', ""De'Aaron Fox"", 'Jevon Carter', 'Tyus Jones', 'Keegan Murray', ""D'Angelo Russell""]","[""De'Aaron Fox"", 'Paolo Banchero', 'Malik Monk', 'Rudy Gobert', 'Jusuf Nurkic', ""D'Angelo Russell"", 'Nathan Knight', 'Cole Anthony']",280,248.88363487645984,306.5,45000,49000,0,0
1/24/23,141,"['Kawhi Leonard', 'Payton Pritchard', 'Josh Green', 'Bennedict Mathurin', 'T.J. McConnell', 'Buddy Hield', 'LeBron James', 'Dwight Powell']","['Jamal Murray', 'Aaron Nesmith', 'Thomas Bryant', 'P.J. Washington', 'LeBron James', 'Donovan Mitchell', 'Jalen McDaniels', 'Deni Avdija']",347.2,294.7439016770571,325.9,186,195,0,0,141,"['Chris Duarte', 'Payton Pritchard', 'Dwight Powell', 'LeBron James', 'Isaiah Hartenstein', 'Donovan Mitchell', 'Derrick White', 'Spencer Dinwiddie', 'LeBron James']","['Nick Richards', 'Chris Duarte', 'Dennis Schroder', 'Kyle Kuzma', 'P.J. Washington', 'Donovan Mitchell', 'Jayson Tatum', 'Troy Brown Jr.', 'T.J. McConnell']",401.4,283.5434865511954,298.9,59400,59600,1,0,141,"['Terance Mann', 'Julius Randle', 'Max Christie', 'Deni Avdija', 'Nikola Jokic', 'Dwight Powell', 'Chris Duarte', 'Jamal Murray']","['Jarrett Allen', 'Sam Hauser', 'Cameron Johnson', 'Derrick White', 'DeMar DeRozan', 'Caleb Martin', 'Herbert Jones', 'Luka Doncic']",299.5,248.08238776493818,270.75,47300,49900,0,0
1/25/23,204,"['Giannis Antetokounmpo', 'Chris Boucher', 'Seth Curry', 'John Collins', 'Aaron Gordon', 'Alperen Sengun', 'Chris Duarte', 'Rudy Gobert']","['Kyle Anderson', 'Tyrese Maxey', 'Bruce Brown', 'Drew Eubanks', 'Dennis Schroder', 'CJ McCollum', 'Collin Sexton', 'Aaron Gordon']",361.79999999999995,272.69700919911264,315.5,192,174,0,0,204,"['Pat Connaughton', 'Bruce Brown', 'Kyle Kuzma', 'Kyle Anderson', 'Jalen Williams', 'Ja Morant', 'John Collins', 'Anfernee Simons', 'Deni Avdija']","['Luguentz Dort', 'CJ McCollum', 'Jonathan Isaac', 'Alperen Sengun', 'Rudy Gobert', 'Tyrese Maxey', 'Keegan Murray', 'Kyle Kuzma', ""De'Anthony Melton""]",357.5,298.31473129540683,355.20000000000005,58400,59700,0,0,204,"['Alperen Sengun', 'Corey Kispert', 'Keita Bates-Diop', 'Myles Turner', 'Kyle Kuzma', 'CJ McCollum', 'Pat Connaughton', 'Max Christie']","['Chris Duarte', 'Jalen Green', 'Pat Connaughton', 'Vlatko Cancar', 'Patrick Beverley', 'Shai Gilgeous-Alexander', 'Damian Lillard', 'Nic Claxton']",311.75,265.29566015303135,348.75,46700,49600,0,0
1/26/23,124,"['Jayson Tatum', 'Spencer Dinwiddie', 'Killian Hayes', 'Dorian Finney-Smith', 'Paul George', 'Cameron Johnson', 'Dorian Finney-Smith', 'Mason Plumlee']","['Cameron Johnson', 'Ayo Dosunmu', 'Terry Rozier', 'Spencer Dinwiddie', 'Terry Rozier', 'Jayson Tatum', 'Isaiah Roby', 'Nic Claxton']",363.09999999999997,294.52918799351903,349.40000000000003,193,198,1,1,124,"['Keita Bates-Diop', 'Sam Hauser', 'Nic Claxton', 'Jayson Tatum', 'Spencer Dinwiddie', 'Jaylen Brown', 'Robert Covington', 'Jarrett Allen', 'Immanuel Quickley']","['Darius Garland', 'Darius Garland', 'Torrey Craig', 'Terry Rozier', 'Isaiah Roby', 'Paul George', 'Bruno Fernando', 'P.J. Washington', 'Zach LaVine']",337.4,307.42694114670155,334.99999999999994,59800,59800,0,1,124,"['Kyrie Irving', 'Immanuel Quickley', 'Spencer Dinwiddie', 'Zach Collins', 'Cameron Johnson', 'Chris Paul', 'Robert Williams III', 'Jalen Duren']","['Evan Mobley', 'Nic Claxton', 'Spencer Dinwiddie', 'Hamidou Diallo', 'Alec Burks', 'Saddiq Bey', 'Paul George', 'Jericho Sims']",311.75,262.67871938459575,340,49000,48100,0,0
1/27/23,95,"['Stephen Curry', 'JaMychal Green', 'Darius Garland', 'Bennedict Mathurin', 'Jimmy Butler', 'Evan Mobley', 'Isaac Okoro', 'Kevon Looney']","['Precious Achiuwa', 'Kyle Anderson', 'Jalen Smith', 'Gary Harris', 'Scottie Barnes', 'Shai Gilgeous-Alexander', 'Khris Middleton', 'Stephen Curry']",313.40000000000003,267.40653292313215,308.6,200,196,0,0,95,"['Jaren Jackson Jr.', 'Pat Connaughton', 'Jalen Williams', 'Mike Muscala', 'Giannis Antetokounmpo', 'Shai Gilgeous-Alexander', 'Gabe Vincent', 'Grayson Allen', 'Donte DiVincenzo']","['Kyle Lowry', 'Scottie Barnes', 'Aaron Wiggins', 'Buddy Hield', 'Xavier Tillman', 'Jaylen Nowell', 'Jaylin Williams', 'Giannis Antetokounmpo', 'Shai Gilgeous-Alexander']",300.4,279.54700056649745,323,59500,60000,0,0,95,"['Evan Mobley', 'Scottie Barnes', 'Xavier Tillman', 'Darius Garland', 'T.J. McConnell', 'Caleb Martin', ""D'Angelo Russell"", 'Brandon Clarke']","['T.J. McConnell', 'Scottie Barnes', 'Moritz Wagner', 'Donte DiVincenzo', 'Max Strus', 'Stephen Curry', 'Darius Bazley', 'Darius Garland']",320.25,262.0591628588736,299.75,48300,49800,0,0
1/28/23,219,"['Anthony Edwards', 'Kawhi Leonard', 'Malcolm Brogdon', 'Moritz Wagner', 'Precious Achiuwa', 'Walker Kessler', 'Stanley Johnson', 'Trae Young']","['Dejounte Murray', 'Nikola Vucevic', 'Eric Gordon', 'Jerami Grant', 'Zach LaVine', 'Jabari Smith Jr.', 'Scottie Barnes', 'Precious Achiuwa']",361.9,303.63016716279094,346,191,198,0,0,219,"['CJ McCollum', 'Isaiah Stewart', 'Jaylen Brown', 'Cam Thomas', 'Cole Anthony', 'Precious Achiuwa', 'Jerami Grant', 'Clint Capela', 'Jeremy Sochan']","['Fred VanVleet', 'Chris Paul', 'Saben Lee', 'Josh Green', 'Joel Embiid', 'Deni Avdija', 'Precious Achiuwa', 'Joe Harris', 'Zach LaVine']",348.8,306.48747012149545,368.8,55500,60000,0,0,219,"['Precious Achiuwa', 'Clint Capela', 'Herbert Jones', 'Corey Kispert', 'Jeremy Sochan', 'Jerami Grant', 'LeBron James', ""D'Angelo Russell""]","['Jakob Poeltl', 'Scottie Barnes', 'Jordan Clarkson', 'Zach LaVine', 'Jerami Grant', 'Hamidou Diallo', 'Willy Hernangomez', 'Mikal Bridges']",311.75,261.8919774107635,282.75,47000,48900,0,0
1/29/23,81,"['Xavier Tillman', 'Bennedict Mathurin', 'Terry Rozier', 'Jaren Jackson Jr.', 'Jaren Jackson Jr.', 'P.J. Washington', 'Tyler Herro', 'Cedi Osman']","['Brandon Clarke', 'Joe Ingles', 'Jaren Jackson Jr.', 'LaMelo Ball', 'Trey Murphy III', 'Evan Mobley', 'Jaren Jackson Jr.', 'P.J. Washington']",350.79999999999995,257.97402872666714,296.8,181,194,1,1,81,"['David Roddy', 'Ja Morant', 'Ja Morant', 'Amir Coffey', 'Moses Brown', 'Jose Alvarado', 'Bennedict Mathurin', 'Brook Lopez', 'Giannis Antetokounmpo']","['Terry Rozier', 'Cedi Osman', 'Mark Williams', 'Jaren Jackson Jr.', 'Terry Rozier', 'Jimmy Butler', 'Aaron Nesmith', 'Larry Nance Jr.', 'Brook Lopez']",394,302.37975104302166,354.4,59600,55600,1,1,81,"['Amir Coffey', 'Ja Morant', 'Darius Garland', 'Giannis Antetokounmpo', 'Giannis Antetokounmpo', 'Giannis Antetokounmpo', 'Mason Plumlee', 'Trey Murphy III']","['Jarrett Allen', 'Khris Middleton', 'LaMelo Ball', 'Ja Morant', 'Giannis Antetokounmpo', 'Jrue Holiday', 'Victor Oladipo', 'Terry Rozier']",393.25,283.1474041864276,342.25,,,2,0
1/30/23,163,"['Kevin Knox II', 'Kristaps Porzingis', 'Moritz Wagner', 'Precious Achiuwa', 'Dejounte Murray', 'Keita Bates-Diop', 'Luka Doncic', 'Isaiah Livers']","['Malik Monk', 'Dejounte Murray', 'Austin Rivers', 'Harrison Barnes', 'Domantas Sabonis', 'Kristaps Porzingis', 'Zach Collins', 'Jordan Poole']",322.59999999999997,274.6759077526629,296.09999999999997,189,190,0,0,163,"['Zach Collins', 'Gary Harris', 'Rudy Gobert', 'Thomas Bryant', 'Luka Doncic', 'AJ Griffin', 'Chris Paul', 'Russell Westbrook', ""Day'Ron Sharpe""]","['Russell Westbrook', 'Anfernee Simons', 'Andrew Wiggins', 'Josh Giddey', 'Malik Monk', 'Corey Kispert', 'Jaylin Williams', 'Dejounte Murray', 'Precious Achiuwa']",326.20000000000005,293.81408612802625,333.6,59100,55800,0,0,163,"['Dejounte Murray', 'Paolo Banchero', 'Cam Thomas', 'Malaki Branham', 'Stephen Curry', 'Jaden Hardy', 'Jaylin Williams', 'Keldon Johnson']","['Keegan Murray', 'Cam Thomas', 'Markelle Fultz', 'Doug McDermott', 'Kristaps Porzingis', 'Franz Wagner', 'Anthony Edwards', 'Clint Capela']",298.5,230.49229182768613,285,44700,48100,0,0
