player_name,game_date,stl,stl_pred
Jimmy Butler,2017-11-15,3.0,2.05722
Joel Embiid,2017-10-30,2.0,0.79384124
Joel Embiid,2017-11-01,3.0,1.749523
Joel Embiid,2017-11-03,2.0,1.3203295
Joel Embiid,2017-11-09,0.0,1.2677675
Joel Embiid,2017-11-11,1.0,0.67127216
Joel Embiid,2017-11-13,0.0,0.4875302
Joel Embiid,2017-11-15,0.0,0.7172688
John Wall,2017-10-29,1.0,1.5133979
John Wall,2017-11-01,3.0,1.5961277
John Wall,2017-11-03,1.0,1.3526406
John Wall,2017-11-07,1.0,0.8695119
John Wall,2017-11-09,2.0,1.2064854
John Wall,2017-11-11,1.0,0.5689947
John Wall,2017-11-13,1.0,0.92179316
John Wall,2017-11-15,1.0,1.0554824
Jusuf Nurkic,2017-11-05,3.0,1.533654
Jusuf Nurkic,2017-11-07,1.0,0.6051465
Jusuf Nurkic,2017-11-10,0.0,0.54290056
Jusuf Nurkic,2017-11-13,0.0,0.037756495
Jusuf Nurkic,2017-11-15,0.0,0.32465005
Karl-Anthony Towns,2017-10-27,0.0,0.46528804
Karl-Anthony Towns,2017-10-30,1.0,0.5529076
Karl-Anthony Towns,2017-11-01,1.0,0.4300121
Karl-Anthony Towns,2017-11-04,0.0,0.5841384
Karl-Anthony Towns,2017-11-05,0.0,0.52371407
Karl-Anthony Towns,2017-11-08,1.0,0.7327571
Karl-Anthony Towns,2017-11-11,1.0,1.1233037
Karl-Anthony Towns,2017-11-13,1.0,0.7967735
Karl-Anthony Towns,2017-11-15,1.0,0.9311812
Kemba Walker,2017-10-29,2.0,0.75346863
Kemba Walker,2017-10-30,1.0,0.70200497
Kemba Walker,2017-11-01,0.0,0.909003
Kemba Walker,2017-11-03,1.0,0.7663291
Kemba Walker,2017-11-05,1.0,0.5956495
Kemba Walker,2017-11-10,1.0,0.66808707
Kemba Walker,2017-11-15,0.0,0.6091858
Kevin Durant,2017-10-30,0.0,0.33631945
Kevin Durant,2017-11-02,0.0,0.35614866
Kevin Durant,2017-11-04,0.0,0.3780775
Kevin Durant,2017-11-06,1.0,0.84545267
Kevin Durant,2017-11-11,2.0,0.72108996
Kevin Durant,2017-11-13,0.0,0.7591218
Kevin Durant,2017-11-16,1.0,0.8781172
Kevin Love,2017-11-01,0.0,0.83637285
Kevin Love,2017-11-03,1.0,1.1125679
Kevin Love,2017-11-05,3.0,1.2121352
Kevin Love,2017-11-13,0.0,1.099076
Khris Middleton,2017-11-11,2.0,1.200299
Kristaps Porzingis,2017-10-30,0.0,0.5086877
Kristaps Porzingis,2017-11-01,0.0,0.570668
Kristaps Porzingis,2017-11-03,1.0,0.5326402
Kristaps Porzingis,2017-11-05,0.0,0.56245196
Kristaps Porzingis,2017-11-07,0.0,0.3354671
Kristaps Porzingis,2017-11-11,0.0,0.30890644
Kristaps Porzingis,2017-11-13,2.0,0.6049277
Kristaps Porzingis,2017-11-15,0.0,0.580353
Kyle Lowry,2017-11-07,0.0,0.31594855
Kyle Lowry,2017-11-09,0.0,0.45600235
Kyle Lowry,2017-11-12,1.0,0.6138604
Kyle Lowry,2017-11-14,1.0,0.6781199
Kyrie Irving,2017-10-30,3.0,1.7677562
Kyrie Irving,2017-11-01,4.0,1.7815421
Kyrie Irving,2017-11-03,2.0,1.3410813
Kyrie Irving,2017-11-05,1.0,1.2726785
Kyrie Irving,2017-11-06,0.0,0.99492824
Kyrie Irving,2017-11-08,1.0,1.1668068
Kyrie Irving,2017-11-10,0.0,0.518841
Kyrie Irving,2017-11-14,1.0,1.3511729
Kyrie Irving,2017-11-16,1.0,1.1328336
LaMarcus Aldridge,2017-10-30,1.0,0.7741564
LaMarcus Aldridge,2017-11-02,2.0,1.035942
LaMarcus Aldridge,2017-11-03,0.0,0.8593917
LaMarcus Aldridge,2017-11-05,1.0,0.79316795
LaMarcus Aldridge,2017-11-07,1.0,0.6491699
LaMarcus Aldridge,2017-11-10,1.0,0.55179423
LaMarcus Aldridge,2017-11-11,0.0,0.38029242
LaMarcus Aldridge,2017-11-14,1.0,0.2469741
LaMarcus Aldridge,2017-11-15,0.0,0.4361323
LeBron James,2017-10-29,2.0,1.4649973
LeBron James,2017-11-01,2.0,1.3715632
LeBron James,2017-11-03,3.0,1.3030832
LeBron James,2017-11-05,1.0,1.4964175
LeBron James,2017-11-07,3.0,1.221404
LeBron James,2017-11-09,1.0,1.0505433
LeBron James,2017-11-11,0.0,0.5453834
LeBron James,2017-11-13,0.0,0.2257902
LeBron James,2017-11-15,2.0,0.9507365
Marc Gasol,2017-10-28,1.0,0.769433
Marc Gasol,2017-10-30,2.0,1.1157467
Marc Gasol,2017-11-01,0.0,0.7566066
Marc Gasol,2017-11-05,0.0,0.3580544
Marc Gasol,2017-11-07,0.0,0.1862017
Marc Gasol,2017-11-11,0.0,0.39181912
Marc Gasol,2017-11-13,0.0,0.43949366
Marc Gasol,2017-11-15,0.0,0.28585064
Myles Turner,2017-11-15,0.0,0.3999437
Nikola Jokic,2017-10-29,1.0,2.0787423
Nikola Jokic,2017-10-30,1.0,1.6702106
Nikola Jokic,2017-11-01,1.0,1.4900743
Nikola Jokic,2017-11-03,4.0,2.2164524
Nikola Jokic,2017-11-04,2.0,1.6218259
Nikola Jokic,2017-11-07,2.0,1.6852522
Nikola Jokic,2017-11-09,1.0,0.9787829
Nikola Jokic,2017-11-11,4.0,1.6689162
Nikola Jokic,2017-11-13,3.0,1.5957373
Nikola Vucevic,2017-10-30,0.0,0.39727184
Nikola Vucevic,2017-11-01,1.0,0.9715507
Nikola Vucevic,2017-11-03,1.0,1.3671293
Nikola Vucevic,2017-11-08,4.0,1.6342301
Nikola Vucevic,2017-11-10,0.0,1.3860815
Nikola Vucevic,2017-11-11,0.0,0.95779514
Nikola Vucevic,2017-11-13,1.0,0.38500455
Nikola Vucevic,2017-11-15,0.0,0.92119384
Paul George,2017-10-28,4.0,3.095385
Paul George,2017-10-31,1.0,2.2598758
Paul George,2017-11-03,1.0,1.5246834
Paul George,2017-11-05,3.0,2.3472931
Paul George,2017-11-07,3.0,2.0966668
Paul George,2017-11-09,4.0,2.6094368
Paul George,2017-11-10,3.0,2.0577266
Paul George,2017-11-12,2.0,1.1646264
Paul George,2017-11-15,0.0,0.7179047
Ricky Rubio,2017-10-30,4.0,2.4410663
Ricky Rubio,2017-11-01,2.0,2.1542115
Ricky Rubio,2017-11-03,1.0,0.98153913
Ricky Rubio,2017-11-05,0.0,1.1422188
Ricky Rubio,2017-11-11,4.0,1.5557523
Ricky Rubio,2017-11-13,0.0,0.7411823
Rudy Gobert,2017-10-28,0.0,0.81766546
Rudy Gobert,2017-10-30,2.0,0.7460922
Rudy Gobert,2017-11-01,0.0,0.5662579
Rudy Gobert,2017-11-03,0.0,0.15520288
Rudy Gobert,2017-11-05,0.0,0.3464138
Rudy Gobert,2017-11-07,2.0,0.80359215
Rudy Gobert,2017-11-10,0.0,0.8525572
Russell Westbrook,2017-10-28,2.0,1.6382163
Russell Westbrook,2017-10-31,0.0,0.7445339
Russell Westbrook,2017-11-03,1.0,1.2240827
Russell Westbrook,2017-11-05,2.0,1.9360523
Russell Westbrook,2017-11-07,3.0,2.2304397
Russell Westbrook,2017-11-09,3.0,1.9523108
Russell Westbrook,2017-11-10,3.0,1.9125876
Russell Westbrook,2017-11-12,3.0,1.949019
Russell Westbrook,2017-11-15,4.0,1.5538118
Stephen Curry,2017-10-30,2.0,2.250552
Stephen Curry,2017-11-02,3.0,1.4364114
Stephen Curry,2017-11-04,2.0,1.0066556
Stephen Curry,2017-11-06,2.0,1.1282116
Stephen Curry,2017-11-08,2.0,1.0591043
Stephen Curry,2017-11-11,1.0,1.1800606
Stephen Curry,2017-11-16,4.0,1.5261251
Victor Oladipo,2017-11-05,2.0,1.0311006
Victor Oladipo,2017-11-10,2.0,0.941012
Victor Oladipo,2017-11-12,1.0,0.88485444
Aaron Gordon,2017-11-03,1.0,0.9567851
Aaron Gordon,2017-11-05,1.0,0.8056836
Aaron Gordon,2017-11-08,0.0,0.41825417
Aaron Gordon,2017-11-10,1.0,0.71153414
Aaron Gordon,2017-11-11,0.0,0.46566167
Andre Drummond,2017-10-29,5.0,1.4473134
Andre Drummond,2017-10-31,1.0,1.069474
Andre Drummond,2017-11-03,1.0,0.9143636
Andre Drummond,2017-11-04,3.0,1.4526713
Andre Drummond,2017-11-08,0.0,1.0312924
Andre Drummond,2017-11-10,0.0,1.5628507
Andre Drummond,2017-11-12,0.0,1.4162984
Andre Drummond,2017-11-15,1.0,1.8106794
Andre Drummond,2017-11-17,1.0,1.8566042
Anthony Davis,2017-11-03,1.0,1.139811
Anthony Davis,2017-11-04,0.0,0.9693904
Anthony Davis,2017-11-07,1.0,1.3707006
Anthony Davis,2017-11-09,2.0,1.2561538
Anthony Davis,2017-11-11,2.0,1.6074052
Anthony Davis,2017-11-13,2.0,1.4704483
Anthony Davis,2017-11-15,3.0,1.6458957
Anthony Davis,2017-11-17,1.0,1.5242002
Ben Simmons,2017-11-03,2.0,1.9099104
Ben Simmons,2017-11-07,3.0,1.8101523
Ben Simmons,2017-11-09,2.0,2.1574059
Ben Simmons,2017-11-11,2.0,2.3703728
Ben Simmons,2017-11-13,1.0,2.400076
Ben Simmons,2017-11-15,5.0,2.7637484
Blake Griffin,2017-10-30,1.0,1.0440687
Blake Griffin,2017-11-01,1.0,0.9289168
Blake Griffin,2017-11-05,2.0,0.90382445
Blake Griffin,2017-11-07,0.0,0.8315977
Blake Griffin,2017-11-10,1.0,0.7911594
Blake Griffin,2017-11-11,1.0,0.9395796
Blake Griffin,2017-11-13,0.0,0.7258158
Blake Griffin,2017-11-17,2.0,0.896649
Bradley Beal,2017-11-03,1.0,1.1269065
Bradley Beal,2017-11-05,1.0,0.9487903
Bradley Beal,2017-11-07,1.0,1.1957756
Bradley Beal,2017-11-09,1.0,1.3374741
Bradley Beal,2017-11-11,3.0,1.6399165
Bradley Beal,2017-11-13,1.0,1.3285165
Bradley Beal,2017-11-15,2.0,1.4800984
Bradley Beal,2017-11-17,1.0,1.245616
CJ McCollum,2017-11-02,1.0,0.576915
CJ McCollum,2017-11-05,0.0,0.44911507
Carmelo Anthony,2017-10-28,0.0,0.73966104
Clint Capela,2017-11-14,2.0,0.7815945
D'Angelo Russell,2017-11-06,2.0,1.6028621
Damian Lillard,2017-10-30,2.0,1.937156
Damian Lillard,2017-11-01,2.0,1.363358
Damian Lillard,2017-11-02,0.0,1.2788689
Damian Lillard,2017-11-05,0.0,1.3683107
Damian Lillard,2017-11-07,1.0,1.1595306
Damian Lillard,2017-11-10,0.0,1.3320532
Damian Lillard,2017-11-13,4.0,1.6704588
Damian Lillard,2017-11-15,0.0,1.5724757
Damian Lillard,2017-11-17,1.0,2.114075
DeAndre Jordan,2017-10-30,0.0,0.43500236
DeAndre Jordan,2017-11-01,1.0,0.40162358
