player_name,game_date,tov,tov_pred
Joel Embiid,2017-11-01,2.0,3.9290438
Joel Embiid,2017-11-03,6.0,4.52764
Joel Embiid,2017-11-09,5.0,4.367133
Joel Embiid,2017-11-11,7.0,4.4231877
Joel Embiid,2017-11-13,4.0,3.7009902
Joel Embiid,2017-11-15,2.0,3.7159588
John Wall,2017-10-29,6.0,3.8590813
John Wall,2017-11-01,4.0,4.0632367
John Wall,2017-11-03,1.0,3.623291
John Wall,2017-11-07,4.0,4.1969824
John Wall,2017-11-09,2.0,3.8308103
John Wall,2017-11-11,2.0,3.6143184
John Wall,2017-11-13,2.0,4.085636
John Wall,2017-11-15,1.0,3.8209515
Jusuf Nurkic,2017-11-05,5.0,2.8372827
Jusuf Nurkic,2017-11-07,2.0,2.5887363
Jusuf Nurkic,2017-11-10,0.0,2.6158187
Jusuf Nurkic,2017-11-13,7.0,3.5234318
Jusuf Nurkic,2017-11-15,2.0,3.0902474
Karl-Anthony Towns,2017-10-27,1.0,1.73355
Karl-Anthony Towns,2017-10-30,0.0,1.7592281
Karl-Anthony Towns,2017-11-01,4.0,2.1211953
Karl-Anthony Towns,2017-11-04,2.0,2.0636039
Karl-Anthony Towns,2017-11-05,4.0,2.1035333
Karl-Anthony Towns,2017-11-08,1.0,1.5116812
Karl-Anthony Towns,2017-11-11,0.0,1.257446
Karl-Anthony Towns,2017-11-13,0.0,1.226344
Karl-Anthony Towns,2017-11-15,2.0,1.4973435
Kemba Walker,2017-10-29,3.0,2.4769692
Kemba Walker,2017-10-30,2.0,2.2655005
Kemba Walker,2017-11-01,1.0,2.5664332
Kemba Walker,2017-11-03,2.0,2.3696222
Kemba Walker,2017-11-05,1.0,1.843986
Kemba Walker,2017-11-10,3.0,2.1459122
Kemba Walker,2017-11-15,1.0,1.8993133
Kevin Durant,2017-10-30,1.0,3.1140969
Kevin Durant,2017-11-02,2.0,3.0565422
Kevin Durant,2017-11-04,4.0,3.492465
Kevin Durant,2017-11-06,1.0,3.1193786
Kevin Durant,2017-11-11,4.0,3.9451015
Kevin Durant,2017-11-13,2.0,3.754405
Kevin Durant,2017-11-16,3.0,3.6830525
Kevin Love,2017-11-01,0.0,2.379619
Kevin Love,2017-11-03,2.0,2.561691
Kevin Love,2017-11-05,0.0,2.4092786
Kevin Love,2017-11-13,2.0,2.327981
Khris Middleton,2017-11-11,0.0,1.8724849
Kristaps Porzingis,2017-10-30,5.0,3.0845618
Kristaps Porzingis,2017-11-01,3.0,2.8992093
Kristaps Porzingis,2017-11-03,2.0,2.9068792
Kristaps Porzingis,2017-11-05,1.0,2.7569246
Kristaps Porzingis,2017-11-07,5.0,2.789349
Kristaps Porzingis,2017-11-11,0.0,2.0944314
Kristaps Porzingis,2017-11-13,2.0,1.8748367
Kristaps Porzingis,2017-11-15,2.0,2.1742716
Kyle Lowry,2017-11-07,2.0,1.9540479
Kyle Lowry,2017-11-09,2.0,2.1023545
Kyle Lowry,2017-11-12,3.0,2.2272527
Kyle Lowry,2017-11-14,2.0,2.1855364
Kyrie Irving,2017-10-30,1.0,1.6714921
Kyrie Irving,2017-11-01,1.0,2.0017366
Kyrie Irving,2017-11-03,0.0,2.5092525
Kyrie Irving,2017-11-05,1.0,2.1271815
Kyrie Irving,2017-11-06,2.0,2.687856
Kyrie Irving,2017-11-08,2.0,2.4964287
Kyrie Irving,2017-11-10,0.0,2.0286312
Kyrie Irving,2017-11-14,2.0,2.1611528
Kyrie Irving,2017-11-16,1.0,2.4695132
LaMarcus Aldridge,2017-10-30,1.0,1.5952449
LaMarcus Aldridge,2017-11-02,2.0,1.5360174
LaMarcus Aldridge,2017-11-03,2.0,1.7070527
LaMarcus Aldridge,2017-11-05,1.0,1.6816657
LaMarcus Aldridge,2017-11-07,1.0,1.5400529
LaMarcus Aldridge,2017-11-10,1.0,1.6177473
LaMarcus Aldridge,2017-11-11,1.0,1.8900261
LaMarcus Aldridge,2017-11-14,3.0,2.0506
LaMarcus Aldridge,2017-11-15,3.0,2.172143
LeBron James,2017-10-29,4.0,3.902656
LeBron James,2017-11-01,8.0,4.8811035
LeBron James,2017-11-03,3.0,3.2509587
LeBron James,2017-11-05,6.0,4.6583495
LeBron James,2017-11-07,1.0,4.1963873
LeBron James,2017-11-09,8.0,4.4125066
LeBron James,2017-11-11,6.0,4.3026147
LeBron James,2017-11-13,5.0,4.0629106
LeBron James,2017-11-15,3.0,3.9510684
Marc Gasol,2017-10-28,3.0,3.2328653
Marc Gasol,2017-10-30,2.0,2.8896823
Marc Gasol,2017-11-01,1.0,2.5673738
Marc Gasol,2017-11-05,3.0,3.0779893
Marc Gasol,2017-11-07,2.0,3.2696064
Marc Gasol,2017-11-11,3.0,3.0151834
Marc Gasol,2017-11-13,4.0,3.4478407
Marc Gasol,2017-11-15,2.0,3.7537818
Myles Turner,2017-11-15,1.0,1.184259
Nikola Jokic,2017-10-29,1.0,1.6328706
Nikola Jokic,2017-10-30,2.0,1.6135739
Nikola Jokic,2017-11-01,0.0,1.3683429
Nikola Jokic,2017-11-03,1.0,2.3543923
Nikola Jokic,2017-11-04,1.0,2.5711377
Nikola Jokic,2017-11-07,1.0,3.234349
Nikola Jokic,2017-11-09,3.0,3.3683434
Nikola Jokic,2017-11-11,1.0,3.3954291
Nikola Jokic,2017-11-13,3.0,4.3414536
Nikola Vucevic,2017-10-30,0.0,2.2199788
Nikola Vucevic,2017-11-01,4.0,1.9337542
Nikola Vucevic,2017-11-03,5.0,2.689659
Nikola Vucevic,2017-11-08,1.0,1.9455369
Nikola Vucevic,2017-11-10,1.0,1.8002381
Nikola Vucevic,2017-11-11,2.0,2.3210893
Nikola Vucevic,2017-11-13,0.0,1.603859
Nikola Vucevic,2017-11-15,3.0,2.4369855
Paul George,2017-10-28,3.0,3.0991309
Paul George,2017-10-31,3.0,3.289268
Paul George,2017-11-03,2.0,2.9693222
Paul George,2017-11-05,3.0,2.4117126
Paul George,2017-11-07,0.0,2.0551078
Paul George,2017-11-09,4.0,2.2563848
Paul George,2017-11-10,3.0,2.4442194
Paul George,2017-11-12,3.0,2.3632166
Paul George,2017-11-15,5.0,2.8155608
Ricky Rubio,2017-10-30,3.0,3.410845
Ricky Rubio,2017-11-01,4.0,3.5906146
Ricky Rubio,2017-11-03,4.0,2.978673
Ricky Rubio,2017-11-05,2.0,3.3694963
Ricky Rubio,2017-11-11,1.0,3.0356803
Ricky Rubio,2017-11-13,3.0,3.2262266
Rudy Gobert,2017-10-28,1.0,2.162804
Rudy Gobert,2017-10-30,3.0,2.7751904
Rudy Gobert,2017-11-01,2.0,3.0843673
Rudy Gobert,2017-11-03,1.0,1.9327939
Rudy Gobert,2017-11-05,0.0,2.4413733
Rudy Gobert,2017-11-07,2.0,1.912827
Rudy Gobert,2017-11-10,1.0,1.712477
Russell Westbrook,2017-10-28,2.0,3.6353378
Russell Westbrook,2017-10-31,4.0,4.2008324
Russell Westbrook,2017-11-03,6.0,4.6853557
Russell Westbrook,2017-11-05,1.0,3.5785594
Russell Westbrook,2017-11-07,7.0,4.764679
Russell Westbrook,2017-11-09,3.0,4.639891
Russell Westbrook,2017-11-10,4.0,4.550203
Russell Westbrook,2017-11-12,4.0,5.0594187
Russell Westbrook,2017-11-15,4.0,4.51793
Stephen Curry,2017-10-30,1.0,3.273139
Stephen Curry,2017-11-02,2.0,3.4631417
Stephen Curry,2017-11-04,3.0,2.9807496
Stephen Curry,2017-11-06,1.0,2.843762
Stephen Curry,2017-11-08,5.0,3.8565168
Stephen Curry,2017-11-11,2.0,3.4680116
Stephen Curry,2017-11-16,4.0,3.5664413
Victor Oladipo,2017-11-05,3.0,4.3107157
Victor Oladipo,2017-11-10,2.0,3.8077865
Victor Oladipo,2017-11-12,3.0,3.6192372
Aaron Gordon,2017-11-03,2.0,1.8206884
Aaron Gordon,2017-11-05,1.0,1.2781628
Aaron Gordon,2017-11-08,0.0,1.0397565
Aaron Gordon,2017-11-10,1.0,0.89082927
Aaron Gordon,2017-11-11,2.0,1.0037357
Andre Drummond,2017-10-29,4.0,2.4323933
Andre Drummond,2017-10-31,0.0,1.1989235
Andre Drummond,2017-11-03,0.0,1.3381187
Andre Drummond,2017-11-04,2.0,1.8481997
Andre Drummond,2017-11-08,4.0,3.1548808
Andre Drummond,2017-11-10,6.0,4.061924
Andre Drummond,2017-11-12,3.0,4.30866
Andre Drummond,2017-11-15,4.0,3.8587346
Andre Drummond,2017-11-17,5.0,3.6800423
Anthony Davis,2017-11-03,4.0,3.230053
Anthony Davis,2017-11-04,2.0,2.525613
Anthony Davis,2017-11-07,2.0,2.0660832
Anthony Davis,2017-11-09,0.0,1.7983155
Anthony Davis,2017-11-11,1.0,1.5782943
Anthony Davis,2017-11-13,5.0,2.593944
Anthony Davis,2017-11-15,2.0,2.744028
Anthony Davis,2017-11-17,0.0,2.2308104
Ben Simmons,2017-11-03,5.0,4.865543
Ben Simmons,2017-11-07,6.0,5.690825
Ben Simmons,2017-11-09,4.0,3.8575816
Ben Simmons,2017-11-11,4.0,3.5880516
Ben Simmons,2017-11-13,5.0,3.856592
Ben Simmons,2017-11-15,1.0,2.52923
Blake Griffin,2017-10-30,3.0,2.2906797
Blake Griffin,2017-11-01,2.0,2.5939207
Blake Griffin,2017-11-05,2.0,2.4259214
Blake Griffin,2017-11-07,1.0,2.5346527
Blake Griffin,2017-11-10,2.0,2.9667678
Blake Griffin,2017-11-11,3.0,3.077639
Blake Griffin,2017-11-13,5.0,3.8358421
Blake Griffin,2017-11-17,1.0,3.6729062
Bradley Beal,2017-11-03,4.0,3.5260868
Bradley Beal,2017-11-05,4.0,4.222129
Bradley Beal,2017-11-07,5.0,4.9118237
Bradley Beal,2017-11-09,4.0,3.6500962
Bradley Beal,2017-11-11,3.0,3.372235
Bradley Beal,2017-11-13,3.0,3.39395
Bradley Beal,2017-11-15,2.0,2.5240722
Bradley Beal,2017-11-17,1.0,3.1454134
CJ McCollum,2017-11-02,2.0,1.6670892
CJ McCollum,2017-11-05,3.0,2.0873842
Carmelo Anthony,2017-10-28,0.0,1.0561749
Clint Capela,2017-11-14,0.0,0.83802205
D'Angelo Russell,2017-11-06,5.0,5.326829
Damian Lillard,2017-10-30,6.0,4.469412
Damian Lillard,2017-11-01,5.0,3.7382383
Damian Lillard,2017-11-02,2.0,2.1713693
Damian Lillard,2017-11-05,2.0,3.4295733
Damian Lillard,2017-11-07,5.0,3.1489282
Damian Lillard,2017-11-10,2.0,3.109088
Damian Lillard,2017-11-13,4.0,3.0850387
Damian Lillard,2017-11-15,2.0,3.5079832
Damian Lillard,2017-11-17,1.0,3.741941
DeAndre Jordan,2017-10-30,1.0,1.3284857
DeAndre Jordan,2017-11-01,3.0,1.992621
DeAndre Jordan,2017-11-05,1.0,1.9225318
DeAndre Jordan,2017-11-07,3.0,1.9570138
DeAndre Jordan,2017-11-10,4.0,2.2758782
DeAndre Jordan,2017-11-11,1.0,1.548877
DeMar DeRozan,2017-11-01,2.0,3.4587598
DeMar DeRozan,2017-11-03,6.0,4.335879
DeMar DeRozan,2017-11-05,2.0,3.0097282
DeMar DeRozan,2017-11-07,3.0,2.8344655
DeMar DeRozan,2017-11-09,2.0,2.1992314
DeMar DeRozan,2017-11-12,3.0,3.5368605
DeMar DeRozan,2017-11-14,3.0,3.4610686
DeMar DeRozan,2017-11-15,3.0,3.3924282
DeMar DeRozan,2017-11-17,1.0,4.018183
DeMarcus Cousins,2017-11-01,8.0,6.5314083
DeMarcus Cousins,2017-11-03,4.0,4.8641396
DeMarcus Cousins,2017-11-04,3.0,4.921121
DeMarcus Cousins,2017-11-07,2.0,4.747665
DeMarcus Cousins,2017-11-09,7.0,7.3758507
DeMarcus Cousins,2017-11-11,8.0,7.0450053
DeMarcus Cousins,2017-11-13,7.0,6.5897484
DeMarcus Cousins,2017-11-15,6.0,5.994213
DeMarcus Cousins,2017-11-17,3.0,5.2756977
Dennis Schroder,2017-11-03,4.0,3.9843585
Dennis Schroder,2017-11-05,6.0,4.390335
Dennis Schroder,2017-11-06,2.0,3.123388
Dennis Schroder,2017-11-10,3.0,4.0534506
Dennis Schroder,2017-11-11,4.0,3.7701516
Devin Booker,2017-11-17,4.0,4.026104
Draymond Green,2017-10-30,2.0,2.6134424
Draymond Green,2017-11-02,3.0,2.1266885
Draymond Green,2017-11-04,0.0,2.0725703
Draymond Green,2017-11-06,3.0,2.26228
Draymond Green,2017-11-08,4.0,2.8661745
Draymond Green,2017-11-11,1.0,2.585084
Draymond Green,2017-11-13,3.0,3.2048972
Draymond Green,2017-11-16,4.0,2.8961935
Dwight Howard,2017-11-05,4.0,4.044335
Dwight Howard,2017-11-10,7.0,6.160632
Dwight Howard,2017-11-15,4.0,4.6637707
Giannis Antetokounmpo,2017-10-31,4.0,3.4826908
Giannis Antetokounmpo,2017-11-01,3.0,3.0991468
Giannis Antetokounmpo,2017-11-03,3.0,3.0778751
Giannis Antetokounmpo,2017-11-07,7.0,4.335805
Giannis Antetokounmpo,2017-11-10,1.0,2.0752885
Giannis Antetokounmpo,2017-11-11,3.0,3.4722018
Giannis Antetokounmpo,2017-11-13,2.0,3.5957086
Giannis Antetokounmpo,2017-11-15,3.0,3.682505
Hassan Whiteside,2017-11-10,3.0,2.1873908
Hassan Whiteside,2017-11-12,0.0,1.1453073
Hassan Whiteside,2017-11-15,3.0,2.2255545
Hassan Whiteside,2017-11-17,2.0,0.9099295
James Harden,2017-10-30,7.0,6.505334
James Harden,2017-11-01,7.0,6.1141515
James Harden,2017-11-03,2.0,4.1540475
James Harden,2017-11-05,7.0,5.697965
James Harden,2017-11-09,5.0,5.627862
James Harden,2017-11-11,3.0,4.4639397
James Harden,2017-11-12,3.0,4.5721703
James Harden,2017-11-14,9.0,6.6840262
James Harden,2017-11-16,5.0,4.4916162
Jimmy Butler,2017-11-04,2.0,2.2128007
Jimmy Butler,2017-11-05,3.0,2.6809454
Jimmy Butler,2017-11-08,1.0,1.9902002
Jimmy Butler,2017-11-15,1.0,1.4848411
Jimmy Butler,2017-11-17,1.0,1.9505658
Joel Embiid,2017-11-01,2.0,3.3758557
Joel Embiid,2017-11-03,6.0,5.193677
Joel Embiid,2017-11-09,5.0,5.242424
Joel Embiid,2017-11-11,7.0,4.7749557
Joel Embiid,2017-11-13,4.0,3.3053842
Joel Embiid,2017-11-15,2.0,4.031128
John Wall,2017-11-01,4.0,5.3799644
John Wall,2017-11-03,1.0,4.026328
John Wall,2017-11-07,4.0,3.7720234
John Wall,2017-11-09,2.0,3.824939
John Wall,2017-11-11,2.0,3.337956
John Wall,2017-11-13,2.0,3.453959
John Wall,2017-11-15,1.0,2.5588813
John Wall,2017-11-17,3.0,4.0507874
Jusuf Nurkic,2017-11-07,2.0,3.612362
Jusuf Nurkic,2017-11-10,0.0,3.2120957
Jusuf Nurkic,2017-11-13,7.0,5.5422087
Jusuf Nurkic,2017-11-15,2.0,3.7507412
Jusuf Nurkic,2017-11-17,4.0,2.8596876
Karl-Anthony Towns,2017-10-30,0.0,1.4630243
Karl-Anthony Towns,2017-11-01,4.0,2.1109555
Karl-Anthony Towns,2017-11-04,2.0,1.9844991
Karl-Anthony Towns,2017-11-05,4.0,2.6189408
Karl-Anthony Towns,2017-11-08,1.0,1.15363
Karl-Anthony Towns,2017-11-11,0.0,0.7599602
Karl-Anthony Towns,2017-11-13,0.0,1.2448542
Karl-Anthony Towns,2017-11-15,2.0,1.8534632
Karl-Anthony Towns,2017-11-17,2.0,1.4470532
Kemba Walker,2017-10-30,2.0,2.4506793
Kemba Walker,2017-11-01,1.0,2.3664603
Kemba Walker,2017-11-03,2.0,2.213269
Kemba Walker,2017-11-05,1.0,1.6599838
Kemba Walker,2017-11-10,3.0,2.5968494
Kemba Walker,2017-11-15,1.0,1.6556822
Kemba Walker,2017-11-17,1.0,2.3236623
Kevin Durant,2017-10-30,1.0,3.7907746
Kevin Durant,2017-11-02,2.0,3.4127
Kevin Durant,2017-11-04,4.0,3.116962
Kevin Durant,2017-11-06,1.0,3.012332
Kevin Durant,2017-11-11,4.0,4.125323
Kevin Durant,2017-11-13,2.0,3.6769474
Kevin Durant,2017-11-16,3.0,4.1800995
Kevin Love,2017-11-01,0.0,1.6639135
Kevin Love,2017-11-03,2.0,2.4911275
Kevin Love,2017-11-05,0.0,2.273831
Kevin Love,2017-11-13,2.0,1.9060535
Khris Middleton,2017-11-11,0.0,1.711916
Kristaps Porzingis,2017-10-30,5.0,3.949883
Kristaps Porzingis,2017-11-01,3.0,2.7731001
Kristaps Porzingis,2017-11-03,2.0,2.264675
Kristaps Porzingis,2017-11-05,1.0,2.8699236
Kristaps Porzingis,2017-11-07,5.0,3.4857187
Kristaps Porzingis,2017-11-11,0.0,1.6760852
Kristaps Porzingis,2017-11-13,2.0,1.987675
Kristaps Porzingis,2017-11-15,2.0,2.7531652
Kristaps Porzingis,2017-11-17,3.0,2.0904305
Kyle Lowry,2017-11-07,2.0,2.3517385
Kyle Lowry,2017-11-09,2.0,2.0705066
Kyle Lowry,2017-11-12,3.0,2.1639876
Kyle Lowry,2017-11-14,2.0,2.254075
Kyle Lowry,2017-11-17,2.0,2.179947
Kyrie Irving,2017-11-01,1.0,1.2666713
Kyrie Irving,2017-11-03,0.0,1.4899573
Kyrie Irving,2017-11-05,1.0,1.3411463
Kyrie Irving,2017-11-06,2.0,1.484371
Kyrie Irving,2017-11-08,2.0,2.4159226
Kyrie Irving,2017-11-10,0.0,1.5155265
Kyrie Irving,2017-11-14,2.0,1.908024
Kyrie Irving,2017-11-16,1.0,2.57563
LaMarcus Aldridge,2017-10-30,1.0,1.6532243
LaMarcus Aldridge,2017-11-02,2.0,1.6872721
LaMarcus Aldridge,2017-11-03,2.0,1.601388
LaMarcus Aldridge,2017-11-05,1.0,1.7806821
LaMarcus Aldridge,2017-11-07,1.0,1.6714
LaMarcus Aldridge,2017-11-10,1.0,1.800498
LaMarcus Aldridge,2017-11-11,1.0,1.7689232
LaMarcus Aldridge,2017-11-14,3.0,1.956126
LaMarcus Aldridge,2017-11-15,3.0,2.228622
LaMarcus Aldridge,2017-11-17,1.0,1.5856115
LeBron James,2017-10-29,4.0,4.332411
LeBron James,2017-11-01,8.0,6.457124
LeBron James,2017-11-03,3.0,5.0121474
LeBron James,2017-11-05,6.0,5.532854
