player_name,game_date,pts,pts_pred
Joel Embiid,2017-11-11,12.0,27.465092
Joel Embiid,2017-11-13,32.0,26.83191
Joel Embiid,2017-11-15,46.0,28.201141
John Wall,2017-10-29,19.0,20.412945
John Wall,2017-11-01,21.0,20.429749
John Wall,2017-11-03,13.0,19.589094
John Wall,2017-11-07,23.0,20.587612
John Wall,2017-11-09,23.0,20.436113
John Wall,2017-11-11,13.0,18.427855
John Wall,2017-11-13,21.0,20.52388
John Wall,2017-11-15,27.0,20.783115
Jusuf Nurkic,2017-11-05,25.0,15.580021
Jusuf Nurkic,2017-11-07,6.0,13.71766
Jusuf Nurkic,2017-11-10,21.000002,15.484124
Jusuf Nurkic,2017-11-13,17.0,15.483824
Jusuf Nurkic,2017-11-15,11.0,15.432928
Karl-Anthony Towns,2017-10-27,33.0,17.257355
Karl-Anthony Towns,2017-10-30,20.0,17.237219
Karl-Anthony Towns,2017-11-01,2.0,15.031019
Karl-Anthony Towns,2017-11-04,31.0,14.927801
Karl-Anthony Towns,2017-11-05,16.0,17.309357
Karl-Anthony Towns,2017-11-08,16.0,15.48923
Karl-Anthony Towns,2017-11-11,17.0,16.193743
Karl-Anthony Towns,2017-11-13,24.0,17.565063
Karl-Anthony Towns,2017-11-15,26.0,18.305834
Kemba Walker,2017-10-29,34.0,22.955952
Kemba Walker,2017-10-30,27.000002,21.387579
Kemba Walker,2017-11-01,26.0,22.053516
Kemba Walker,2017-11-03,13.0,20.205091
Kemba Walker,2017-11-05,9.0,21.908867
Kemba Walker,2017-11-10,20.0,22.810108
Kemba Walker,2017-11-15,20.0,21.079458
Kevin Durant,2017-10-30,19.0,24.162823
Kevin Durant,2017-11-02,24.0,24.986965
Kevin Durant,2017-11-04,25.0,25.296394
Kevin Durant,2017-11-06,21.0,24.872389
Kevin Durant,2017-11-11,29.0,23.74677
Kevin Durant,2017-11-13,21.0,24.074406
Kevin Durant,2017-11-16,24.0,23.715477
Kevin Love,2017-11-01,12.999999,14.98897
Kevin Love,2017-11-03,11.0,15.113942
Kevin Love,2017-11-05,4.0,14.173809
Kevin Love,2017-11-13,6.0,13.479388
Khris Middleton,2017-11-11,13.0,13.304428
Kristaps Porzingis,2017-10-30,38.0,23.841185
Kristaps Porzingis,2017-11-01,19.0,26.848286
Kristaps Porzingis,2017-11-03,37.0,25.58361
Kristaps Porzingis,2017-11-05,40.0,27.94998
Kristaps Porzingis,2017-11-07,28.0,23.514494
Kristaps Porzingis,2017-11-11,34.0,25.309746
Kristaps Porzingis,2017-11-13,20.0,23.709145
Kristaps Porzingis,2017-11-15,22.0,23.631105
Kyle Lowry,2017-11-07,17.0,13.501083
Kyle Lowry,2017-11-09,18.0,14.302536
Kyle Lowry,2017-11-12,19.0,15.134759
Kyle Lowry,2017-11-14,19.0,13.998081
Kyrie Irving,2017-10-30,24.0,17.878008
Kyrie Irving,2017-11-01,22.0,17.409395
Kyrie Irving,2017-11-03,25.0,18.098783
Kyrie Irving,2017-11-05,11.0,18.208807
Kyrie Irving,2017-11-06,35.0,18.96812
Kyrie Irving,2017-11-08,19.0,14.801742
Kyrie Irving,2017-11-10,0.0,15.615032
Kyrie Irving,2017-11-14,25.0,15.287725
Kyrie Irving,2017-11-16,16.0,16.613499
LaMarcus Aldridge,2017-10-30,11.000001,20.223204
LaMarcus Aldridge,2017-11-02,24.000002,21.002998
LaMarcus Aldridge,2017-11-03,14.0,20.70568
LaMarcus Aldridge,2017-11-05,21.0,20.511354
LaMarcus Aldridge,2017-11-07,25.0,21.249704
LaMarcus Aldridge,2017-11-10,20.0,21.531904
LaMarcus Aldridge,2017-11-11,14.0,19.32129
LaMarcus Aldridge,2017-11-14,32.0,21.379953
LaMarcus Aldridge,2017-11-15,15.0,20.087034
LeBron James,2017-10-29,15.999999,32.538353
LeBron James,2017-11-01,33.0,33.784256
LeBron James,2017-11-03,57.0,36.4588
LeBron James,2017-11-05,26.0,34.482258
LeBron James,2017-11-07,30.0,33.314896
LeBron James,2017-11-09,33.0,35.45258
LeBron James,2017-11-11,19.0,32.005917
LeBron James,2017-11-13,23.0,32.996403
LeBron James,2017-11-15,31.0,34.816853
Marc Gasol,2017-10-28,6.0,17.418419
Marc Gasol,2017-10-30,10.0,16.1207
Marc Gasol,2017-11-01,22.0,19.759165
Marc Gasol,2017-11-05,14.999999,19.039879
Marc Gasol,2017-11-07,16.0,18.875048
Marc Gasol,2017-11-11,14.999999,18.876703
Marc Gasol,2017-11-13,16.0,19.185354
Marc Gasol,2017-11-15,35.0,22.120148
Myles Turner,2017-11-15,10.0,11.443019
Nikola Jokic,2017-10-29,21.0,20.862751
Nikola Jokic,2017-10-30,28.0,19.981918
Nikola Jokic,2017-11-01,7.9999995,19.500484
Nikola Jokic,2017-11-03,19.0,20.6352
Nikola Jokic,2017-11-04,7.9999995,19.148981
Nikola Jokic,2017-11-07,41.0,16.797018
Nikola Jokic,2017-11-09,15.0,21.121895
Nikola Jokic,2017-11-11,12.0,21.063856
Nikola Jokic,2017-11-13,6.0,19.671108
Nikola Vucevic,2017-10-30,20.0,22.203709
Nikola Vucevic,2017-11-01,7.0,21.564789
Nikola Vucevic,2017-11-03,14.0,21.814209
Nikola Vucevic,2017-11-08,24.0,23.294294
Nikola Vucevic,2017-11-10,19.0,22.675146
Nikola Vucevic,2017-11-11,8.0,20.598171
Nikola Vucevic,2017-11-13,20.0,23.824224
Nikola Vucevic,2017-11-15,11.0,21.866293
Paul George,2017-10-28,20.0,27.6348
Paul George,2017-10-31,20.0,26.390266
Paul George,2017-11-03,25.0,27.954601
Paul George,2017-11-05,27.0,26.762249
Paul George,2017-11-07,12.0,26.962418
Paul George,2017-11-09,13.0,26.857174
Paul George,2017-11-10,42.0,26.895714
Paul George,2017-11-12,37.0,28.208183
Paul George,2017-11-15,13.0,25.463188
Ricky Rubio,2017-10-30,20.0,14.818832
Ricky Rubio,2017-11-01,30.000002,14.435935
Ricky Rubio,2017-11-03,12.999999,15.612121
Ricky Rubio,2017-11-05,10.0,13.943485
Ricky Rubio,2017-11-11,10.0,16.325342
Ricky Rubio,2017-11-13,3.0,13.087541
Rudy Gobert,2017-10-28,6.0,11.346036
Rudy Gobert,2017-10-30,17.0,11.865093
Rudy Gobert,2017-11-01,15.999999,11.789511
Rudy Gobert,2017-11-03,15.0,11.637789
Rudy Gobert,2017-11-05,12.999999,12.282951
Rudy Gobert,2017-11-07,15.999999,13.3462
Rudy Gobert,2017-11-10,12.0,12.100991
Russell Westbrook,2017-10-28,12.0,16.980764
Russell Westbrook,2017-10-31,12.0,16.049185
Russell Westbrook,2017-11-03,19.0,18.982527
Russell Westbrook,2017-11-05,25.0,19.321022
Russell Westbrook,2017-11-07,20.0,20.741718
Russell Westbrook,2017-11-09,13.0,20.20271
Russell Westbrook,2017-11-10,22.0,19.112402
Russell Westbrook,2017-11-12,26.999998,20.460781
Russell Westbrook,2017-11-15,21.0,18.888145
Stephen Curry,2017-10-30,31.0,27.66399
Stephen Curry,2017-11-02,21.0,25.03058
Stephen Curry,2017-11-04,22.000002,24.347725
Stephen Curry,2017-11-06,16.0,25.510565
Stephen Curry,2017-11-08,22.000002,24.814966
Stephen Curry,2017-11-11,22.000002,25.384562
Stephen Curry,2017-11-16,9.0,24.982698
Victor Oladipo,2017-11-05,17.0,23.596334
Victor Oladipo,2017-11-10,25.0,24.217897
Victor Oladipo,2017-11-12,28.0,23.68621
Aaron Gordon,2017-11-03,11.0,19.267544
Aaron Gordon,2017-11-05,18.0,21.278336
Aaron Gordon,2017-11-08,21.0,26.645784
Aaron Gordon,2017-11-10,22.0,24.659286
Aaron Gordon,2017-11-11,13.0,18.88283
Andre Drummond,2017-10-29,8.0,13.366699
Andre Drummond,2017-10-31,10.0,14.822085
Andre Drummond,2017-11-03,24.0,16.179249
Andre Drummond,2017-11-04,16.0,18.561703
Andre Drummond,2017-11-08,14.0,16.703999
Andre Drummond,2017-11-10,16.0,12.532476
Andre Drummond,2017-11-12,8.0,9.96673
Andre Drummond,2017-11-15,13.0,14.275938
Andre Drummond,2017-11-17,11.0,15.651067
Anthony Davis,2017-11-03,30.000002,27.23166
Anthony Davis,2017-11-04,27.000002,25.20033
Anthony Davis,2017-11-07,37.0,29.753695
Anthony Davis,2017-11-09,18.0,25.147274
Anthony Davis,2017-11-11,25.0,25.017986
Anthony Davis,2017-11-13,13.0,20.156206
Anthony Davis,2017-11-15,19.0,21.879213
Anthony Davis,2017-11-17,17.0,16.296896
Ben Simmons,2017-11-03,14.0,15.234844
Ben Simmons,2017-11-07,16.0,15.374809
Ben Simmons,2017-11-09,18.0,17.01329
Ben Simmons,2017-11-11,12.999999,17.121286
Ben Simmons,2017-11-13,22.0,19.16263
Ben Simmons,2017-11-15,18.0,20.50457
Blake Griffin,2017-10-30,16.0,19.265072
Blake Griffin,2017-11-01,20.0,20.835482
Blake Griffin,2017-11-05,23.0,18.655174
Blake Griffin,2017-11-07,15.0,20.213999
Blake Griffin,2017-11-10,17.0,19.570555
Blake Griffin,2017-11-11,26.0,23.784588
Blake Griffin,2017-11-13,29.0,25.710796
Blake Griffin,2017-11-17,23.0,26.245409
Bradley Beal,2017-11-03,36.0,32.3512
Bradley Beal,2017-11-05,38.0,32.096836
Bradley Beal,2017-11-07,23.0,26.58312
Bradley Beal,2017-11-09,22.0,24.814795
Bradley Beal,2017-11-11,19.0,16.35097
Bradley Beal,2017-11-13,14.0,15.0240755
Bradley Beal,2017-11-15,26.0,14.617477
Bradley Beal,2017-11-17,26.0,14.082448
CJ McCollum,2017-11-02,22.0,20.837004
CJ McCollum,2017-11-05,22.0,20.143066
Carmelo Anthony,2017-10-28,21.0,21.959455
Clint Capela,2017-11-14,11.0,10.141736
D'Angelo Russell,2017-11-06,23.0,22.445438
Damian Lillard,2017-10-30,36.0,29.671646
Damian Lillard,2017-11-01,33.0,29.65944
Damian Lillard,2017-11-02,31.999998,29.327778
Damian Lillard,2017-11-05,36.0,27.040392
Damian Lillard,2017-11-07,12.0,17.65719
Damian Lillard,2017-11-10,19.0,22.753101
Damian Lillard,2017-11-13,15.0,20.463314
Damian Lillard,2017-11-15,25.999998,27.501194
Damian Lillard,2017-11-17,28.999998,29.028591
DeAndre Jordan,2017-10-30,10.0,9.747698
DeAndre Jordan,2017-11-01,13.0,12.147722
DeAndre Jordan,2017-11-05,10.0,11.819612
DeAndre Jordan,2017-11-07,11.0,10.824443
DeAndre Jordan,2017-11-10,9.0,11.187954
DeAndre Jordan,2017-11-11,12.0,10.725511
DeMar DeRozan,2017-11-01,10.0,18.201227
DeMar DeRozan,2017-11-03,37.0,29.19539
DeMar DeRozan,2017-11-05,26.0,29.06473
DeMar DeRozan,2017-11-07,24.0,23.97614
DeMar DeRozan,2017-11-09,33.0,29.364437
DeMar DeRozan,2017-11-12,24.0,25.924402
DeMar DeRozan,2017-11-14,27.0,29.25537
DeMar DeRozan,2017-11-15,25.000002,26.292946
DeMar DeRozan,2017-11-17,22.0,25.592873
DeMarcus Cousins,2017-11-01,35.0,25.688906
DeMarcus Cousins,2017-11-03,20.0,25.68514
DeMarcus Cousins,2017-11-04,25.0,26.470057
DeMarcus Cousins,2017-11-07,32.0,29.742205
DeMarcus Cousins,2017-11-09,20.0,25.590816
DeMarcus Cousins,2017-11-11,35.0,31.199402
DeMarcus Cousins,2017-11-13,22.0,26.465567
DeMarcus Cousins,2017-11-15,25.0,24.584736
DeMarcus Cousins,2017-11-17,14.0,24.07927
Dennis Schroder,2017-11-03,16.0,18.941137
Dennis Schroder,2017-11-05,28.0,22.706123
Dennis Schroder,2017-11-06,23.0,21.419672
Dennis Schroder,2017-11-10,17.0,17.057053
Dennis Schroder,2017-11-11,7.0,14.035181
Devin Booker,2017-11-17,33.0,30.185963
Draymond Green,2017-10-30,16.0,12.671793
Draymond Green,2017-11-02,16.0,16.8016
Draymond Green,2017-11-04,15.0,14.11808
Draymond Green,2017-11-06,18.0,14.027065
Draymond Green,2017-11-08,7.0,12.159155
Draymond Green,2017-11-11,10.0,12.769791
Draymond Green,2017-11-13,20.0,14.659926
Draymond Green,2017-11-16,11.0,12.487694
Dwight Howard,2017-11-05,13.000001,10.290147
Dwight Howard,2017-11-10,6.0,8.805121
Dwight Howard,2017-11-15,8.0,7.85893
Giannis Antetokounmpo,2017-10-31,28.0,25.254349
Giannis Antetokounmpo,2017-11-01,14.0,21.529943
Giannis Antetokounmpo,2017-11-03,29.0,28.500029
Giannis Antetokounmpo,2017-11-07,40.0,35.866585
Giannis Antetokounmpo,2017-11-10,28.0,27.736
Giannis Antetokounmpo,2017-11-11,33.0,30.3976
Giannis Antetokounmpo,2017-11-13,27.0,26.642635
Giannis Antetokounmpo,2017-11-15,21.0,27.62169
Hassan Whiteside,2017-11-10,8.0,15.6304245
Hassan Whiteside,2017-11-12,20.0,17.131166
Hassan Whiteside,2017-11-15,14.000001,16.944351
Hassan Whiteside,2017-11-17,22.0,16.559345
James Harden,2017-10-30,29.0,31.663712
James Harden,2017-11-01,31.0,32.864986
James Harden,2017-11-03,29.0,36.74688
James Harden,2017-11-05,56.0,42.62169
James Harden,2017-11-09,35.0,42.22149
James Harden,2017-11-11,38.0,32.954014
James Harden,2017-11-12,26.0,38.51091
James Harden,2017-11-14,38.0,29.91358
James Harden,2017-11-16,48.0,39.32021
Jimmy Butler,2017-11-04,4.0,15.408926
Jimmy Butler,2017-11-05,13.0,15.457739
Jimmy Butler,2017-11-08,11.000001,15.9056
Jimmy Butler,2017-11-15,6.0000005,13.2429695
Jimmy Butler,2017-11-17,21.0,12.935051
Joel Embiid,2017-11-01,21.0,25.021742
Joel Embiid,2017-11-03,18.000002,23.422338
Joel Embiid,2017-11-09,22.0,17.836626
Joel Embiid,2017-11-11,12.0,24.504076
Joel Embiid,2017-11-13,32.0,27.718256
Joel Embiid,2017-11-15,46.0,32.75585
John Wall,2017-11-01,21.0,21.951012
John Wall,2017-11-03,13.0,17.150007
John Wall,2017-11-07,23.0,18.947872
John Wall,2017-11-09,23.0,20.20686
John Wall,2017-11-11,13.0,17.025995
John Wall,2017-11-13,21.0,19.131586
John Wall,2017-11-15,27.0,23.409073
John Wall,2017-11-17,7.9999995,23.564135
Jusuf Nurkic,2017-11-07,6.0,13.408685
Jusuf Nurkic,2017-11-10,21.000002,15.234432
Jusuf Nurkic,2017-11-13,17.0,14.938579
Jusuf Nurkic,2017-11-15,11.0,15.711894
Jusuf Nurkic,2017-11-17,4.0,18.168781
Karl-Anthony Towns,2017-10-30,20.0,19.90051
Karl-Anthony Towns,2017-11-01,2.0,19.883898
Karl-Anthony Towns,2017-11-04,31.0,22.695192
Karl-Anthony Towns,2017-11-05,16.0,20.25056
Karl-Anthony Towns,2017-11-08,16.0,21.219824
Karl-Anthony Towns,2017-11-11,17.0,22.3709
Karl-Anthony Towns,2017-11-13,24.0,19.999788
Karl-Anthony Towns,2017-11-15,26.0,23.018415
Karl-Anthony Towns,2017-11-17,15.0,12.800836
Kemba Walker,2017-10-30,27.000002,21.658747
Kemba Walker,2017-11-01,26.0,21.286352
Kemba Walker,2017-11-03,13.0,16.03158
Kemba Walker,2017-11-05,9.0,18.102543
Kemba Walker,2017-11-10,20.0,25.26893
Kemba Walker,2017-11-15,20.0,21.760155
Kemba Walker,2017-11-17,47.0,25.506895
Kevin Durant,2017-10-30,19.0,24.89439
Kevin Durant,2017-11-02,24.0,23.340826
Kevin Durant,2017-11-04,25.0,24.016392
Kevin Durant,2017-11-06,21.0,23.19181
Kevin Durant,2017-11-11,29.0,24.872034
Kevin Durant,2017-11-13,21.0,22.7504
Kevin Durant,2017-11-16,24.0,23.531223
Kevin Love,2017-11-01,12.999999,13.29116
Kevin Love,2017-11-03,11.0,14.757769
Kevin Love,2017-11-05,4.0,11.141657
Kevin Love,2017-11-13,6.0,11.245548
Khris Middleton,2017-11-11,13.0,12.519592
Kristaps Porzingis,2017-10-30,38.0,34.021374
Kristaps Porzingis,2017-11-01,19.0,34.44106
Kristaps Porzingis,2017-11-03,37.0,33.288
Kristaps Porzingis,2017-11-05,40.0,30.6916
Kristaps Porzingis,2017-11-07,28.0,28.096561
Kristaps Porzingis,2017-11-11,34.0,29.600723
Kristaps Porzingis,2017-11-13,20.0,21.40551
Kristaps Porzingis,2017-11-15,22.0,24.99842
Kristaps Porzingis,2017-11-17,13.0,25.70325
Kyle Lowry,2017-11-07,17.0,16.161213
Kyle Lowry,2017-11-09,18.0,17.888832
Kyle Lowry,2017-11-12,19.0,17.361513
Kyle Lowry,2017-11-14,19.0,17.804493
Kyle Lowry,2017-11-17,22.0,14.281603
Kyrie Irving,2017-11-01,22.0,22.443712
Kyrie Irving,2017-11-03,25.0,23.328485
Kyrie Irving,2017-11-05,11.0,14.4209175
Kyrie Irving,2017-11-06,35.0,23.141687
Kyrie Irving,2017-11-08,19.0,17.275343
Kyrie Irving,2017-11-10,0.0,8.865464
Kyrie Irving,2017-11-14,25.0,19.503645
Kyrie Irving,2017-11-16,16.0,17.285349
LaMarcus Aldridge,2017-10-30,11.000001,14.440632
LaMarcus Aldridge,2017-11-02,24.000002,19.322037
LaMarcus Aldridge,2017-11-03,14.0,19.034119
LaMarcus Aldridge,2017-11-05,21.0,18.232283
LaMarcus Aldridge,2017-11-07,25.0,23.200367
LaMarcus Aldridge,2017-11-10,20.0,22.123852
LaMarcus Aldridge,2017-11-11,14.0,19.99337
LaMarcus Aldridge,2017-11-14,32.0,25.912922
LaMarcus Aldridge,2017-11-15,15.0,14.374623
LaMarcus Aldridge,2017-11-17,26.0,19.015362
LeBron James,2017-10-29,15.999999,27.422222
LeBron James,2017-11-01,33.0,34.999527
LeBron James,2017-11-03,57.0,45.43501
LeBron James,2017-11-05,26.0,30.171867
LeBron James,2017-11-07,30.0,29.756338
LeBron James,2017-11-09,33.0,31.30763
LeBron James,2017-11-11,19.0,26.182446
LeBron James,2017-11-13,23.0,27.549162
LeBron James,2017-11-15,31.0,33.723106
LeBron James,2017-11-17,39.0,32.700592
Marc Gasol,2017-10-30,10.0,10.782863
Marc Gasol,2017-11-01,22.0,15.687234
Marc Gasol,2017-11-05,14.999999,18.43715
Marc Gasol,2017-11-07,16.0,16.339045
Marc Gasol,2017-11-11,14.999999,21.013325
Marc Gasol,2017-11-13,16.0,20.573774
Marc Gasol,2017-11-15,35.0,29.362007
Myles Turner,2017-11-15,10.0,10.688355
Myles Turner,2017-11-17,7.0,10.813469
Nikola Jokic,2017-10-30,28.0,21.437828
Nikola Jokic,2017-11-01,7.9999995,13.132123
Nikola Jokic,2017-11-03,19.0,20.949224
Nikola Jokic,2017-11-04,7.9999995,22.407137
Nikola Jokic,2017-11-07,41.0,18.49602
Nikola Jokic,2017-11-09,15.0,15.492043
Nikola Jokic,2017-11-11,12.0,16.41361
Nikola Jokic,2017-11-13,6.0,16.88048
Nikola Jokic,2017-11-17,13.0,13.4323015
Nikola Vucevic,2017-10-30,20.0,18.466412
Nikola Vucevic,2017-11-01,7.0,17.31036
Nikola Vucevic,2017-11-03,14.0,20.429201
Nikola Vucevic,2017-11-08,24.0,23.269064
Nikola Vucevic,2017-11-10,19.0,23.408272
Nikola Vucevic,2017-11-11,8.0,11.88303
Nikola Vucevic,2017-11-13,20.0,14.495777
Nikola Vucevic,2017-11-15,11.0,15.148353
Paul George,2017-10-28,20.0,22.880358
Paul George,2017-10-31,20.0,28.677351
Paul George,2017-11-03,25.0,24.114416
Paul George,2017-11-05,27.0,27.08892
Paul George,2017-11-07,12.0,25.162857
Paul George,2017-11-09,13.0,24.56832
Paul George,2017-11-10,42.0,32.75106
Paul George,2017-11-12,37.0,30.089636
Paul George,2017-11-15,13.0,20.480114
Paul George,2017-11-17,18.0,26.721092
Ricky Rubio,2017-10-30,20.0,16.674162
Ricky Rubio,2017-11-01,30.000002,17.671907
Ricky Rubio,2017-11-03,12.999999,14.393964
Ricky Rubio,2017-11-05,10.0,11.611361
Ricky Rubio,2017-11-11,10.0,9.3902
Ricky Rubio,2017-11-13,3.0,11.205105
Rudy Gobert,2017-10-30,17.0,11.295297
Rudy Gobert,2017-11-01,15.999999,14.236482
Rudy Gobert,2017-11-03,15.0,11.590644
Rudy Gobert,2017-11-05,12.999999,11.740027
Rudy Gobert,2017-11-07,15.999999,13.28577
Rudy Gobert,2017-11-10,12.0,10.275294
Russell Westbrook,2017-10-28,12.0,11.953209
Russell Westbrook,2017-10-31,12.0,11.375602
Russell Westbrook,2017-11-03,19.0,17.835342
Russell Westbrook,2017-11-05,25.0,20.315958
Russell Westbrook,2017-11-07,20.0,23.592064
Russell Westbrook,2017-11-09,13.0,21.649042
Russell Westbrook,2017-11-10,22.0,23.252142
Russell Westbrook,2017-11-12,26.999998,26.229996
Russell Westbrook,2017-11-15,21.0,22.23362
Russell Westbrook,2017-11-17,15.000001,20.811483
Stephen Curry,2017-10-30,30.999998,26.59863
Stephen Curry,2017-11-02,21.0,24.413143
Stephen Curry,2017-11-04,22.0,16.685814
Stephen Curry,2017-11-06,16.0,21.047346
Stephen Curry,2017-11-08,22.0,24.317612
Stephen Curry,2017-11-11,22.0,18.846954
Stephen Curry,2017-11-16,9.0,15.737979
Victor Oladipo,2017-11-05,17.0,22.408253
Victor Oladipo,2017-11-10,25.0,22.18041
Victor Oladipo,2017-11-12,28.0,26.62479
Victor Oladipo,2017-11-17,21.0,22.835136
Aaron Gordon,2017-11-03,11.0,20.822367
