player_name,game_date,blk,blk_pred
Jimmy Butler,2017-11-08,0.0,0.0845094
Jimmy Butler,2017-11-15,1.0,0.16221753
Joel Embiid,2017-10-30,1.0,0.24350409
Joel Embiid,2017-11-01,3.0,2.0967674
Joel Embiid,2017-11-03,2.0,0.54706377
Joel Embiid,2017-11-09,3.0,3.2571719
Joel Embiid,2017-11-11,1.0,1.0577216
Joel Embiid,2017-11-13,1.0,1.8239315
Joel Embiid,2017-11-15,7.0,3.4467678
John Wall,2017-10-29,1.0,1.1244421
John Wall,2017-11-01,1.0,0.79288816
John Wall,2017-11-03,1.0,0.68192565
John Wall,2017-11-07,1.0,0.4530792
John Wall,2017-11-09,3.0,1.2172797
John Wall,2017-11-11,2.0,0.49456188
John Wall,2017-11-13,0.0,-0.37155113
John Wall,2017-11-15,2.0,0.054703295
Jusuf Nurkic,2017-11-05,2.0,0.6843662
Jusuf Nurkic,2017-11-07,0.0,0.16452548
Jusuf Nurkic,2017-11-10,0.0,0.13047092
Jusuf Nurkic,2017-11-13,1.0,0.25821316
Jusuf Nurkic,2017-11-15,0.0,-0.6516586
Karl-Anthony Towns,2017-10-27,4.0,1.3185139
Karl-Anthony Towns,2017-10-30,3.0,1.9739561
Karl-Anthony Towns,2017-11-01,2.0,0.41833913
Karl-Anthony Towns,2017-11-04,2.0,1.4808383
Karl-Anthony Towns,2017-11-05,2.0,0.8441474
Karl-Anthony Towns,2017-11-08,0.0,0.8787011
Karl-Anthony Towns,2017-11-11,2.0,1.6035516
Karl-Anthony Towns,2017-11-13,1.0,1.2956235
Karl-Anthony Towns,2017-11-15,2.0,0.29996192
Kemba Walker,2017-10-29,1.0,0.41072017
Kemba Walker,2017-10-30,0.0,0.18529406
Kemba Walker,2017-11-01,1.0,0.31529915
Kemba Walker,2017-11-03,0.0,0.009676486
Kemba Walker,2017-11-05,0.0,-0.06300004
Kemba Walker,2017-11-10,0.0,0.156307
Kemba Walker,2017-11-15,0.0,0.0057709217
Kevin Durant,2017-10-30,0.0,0.87633413
Kevin Durant,2017-11-02,3.0,0.9288966
Kevin Durant,2017-11-04,2.0,0.7668601
Kevin Durant,2017-11-06,3.0,1.3529017
Kevin Durant,2017-11-11,2.0,1.1241624
Kevin Durant,2017-11-13,0.0,0.62145346
Kevin Durant,2017-11-16,2.0,0.8037317
Kevin Love,2017-11-01,1.0,0.2983769
Kevin Love,2017-11-03,0.0,0.035322152
Kevin Love,2017-11-05,0.0,-0.043347925
Kevin Love,2017-11-13,0.0,0.09405206
Khris Middleton,2017-11-11,0.0,0.06269442
Kristaps Porzingis,2017-10-30,3.0,1.620307
Kristaps Porzingis,2017-11-01,1.0,1.2566266
Kristaps Porzingis,2017-11-03,3.0,1.6041602
Kristaps Porzingis,2017-11-05,6.0,3.2278662
Kristaps Porzingis,2017-11-07,3.0,0.55451155
Kristaps Porzingis,2017-11-11,2.0,-0.25273606
Kristaps Porzingis,2017-11-13,1.0,0.36326206
Kristaps Porzingis,2017-11-15,2.0,1.3282485
Kyle Lowry,2017-11-07,0.0,-0.09528327
Kyle Lowry,2017-11-09,0.0,-0.003112942
Kyle Lowry,2017-11-12,0.0,-0.13453066
Kyle Lowry,2017-11-14,0.0,0.022614166
Kyrie Irving,2017-10-30,1.0,0.68289214
Kyrie Irving,2017-11-01,0.0,0.17938864
Kyrie Irving,2017-11-03,1.0,0.35600048
Kyrie Irving,2017-11-05,0.0,0.17099853
Kyrie Irving,2017-11-06,0.0,0.13270967
Kyrie Irving,2017-11-08,0.0,-0.034224212
Kyrie Irving,2017-11-10,0.0,0.029205397
Kyrie Irving,2017-11-14,0.0,-0.03297618
Kyrie Irving,2017-11-16,1.0,-0.20949256
LaMarcus Aldridge,2017-10-30,1.0,0.8141633
LaMarcus Aldridge,2017-11-02,2.0,0.83418965
LaMarcus Aldridge,2017-11-03,1.0,0.4272837
LaMarcus Aldridge,2017-11-05,0.0,-0.12225312
LaMarcus Aldridge,2017-11-07,2.0,0.83280003
LaMarcus Aldridge,2017-11-10,2.0,1.0754895
LaMarcus Aldridge,2017-11-11,2.0,0.97613037
LaMarcus Aldridge,2017-11-14,2.0,0.4432953
LaMarcus Aldridge,2017-11-15,0.0,-0.039727032
LeBron James,2017-10-29,0.0,-0.44598746
LeBron James,2017-11-01,1.0,0.13208193
LeBron James,2017-11-03,2.0,0.74493957
LeBron James,2017-11-05,2.0,0.65899277
LeBron James,2017-11-07,0.0,-0.09827137
LeBron James,2017-11-09,1.0,0.94498265
LeBron James,2017-11-11,1.0,0.43900934
LeBron James,2017-11-13,3.0,0.95512295
LeBron James,2017-11-15,1.0,0.55059177
Marc Gasol,2017-10-28,4.0,3.3513017
Marc Gasol,2017-10-30,3.0,2.358638
Marc Gasol,2017-11-01,1.0,0.73521507
Marc Gasol,2017-11-05,1.0,1.1711704
Marc Gasol,2017-11-07,4.0,1.57884
Marc Gasol,2017-11-11,1.0,1.8390924
Marc Gasol,2017-11-13,0.0,1.1409616
Marc Gasol,2017-11-15,5.0,2.0129356
Myles Turner,2017-11-15,3.0,1.7085391
Nikola Jokic,2017-10-29,1.0,0.5494939
Nikola Jokic,2017-10-30,1.0,0.6649804
Nikola Jokic,2017-11-01,2.0,0.76013887
Nikola Jokic,2017-11-03,1.0,0.4518067
Nikola Jokic,2017-11-04,0.0,0.059365988
Nikola Jokic,2017-11-07,2.0,0.9472903
Nikola Jokic,2017-11-09,0.0,0.38203102
Nikola Jokic,2017-11-11,1.0,0.57814527
Nikola Jokic,2017-11-13,1.0,0.90859294
Nikola Vucevic,2017-10-30,0.0,-0.7881763
Nikola Vucevic,2017-11-01,0.0,-0.54192495
Nikola Vucevic,2017-11-03,0.0,-0.5790676
Nikola Vucevic,2017-11-08,1.0,0.054381385
Nikola Vucevic,2017-11-10,1.0,0.5788933
Nikola Vucevic,2017-11-11,0.0,0.27712828
Nikola Vucevic,2017-11-13,0.0,0.19861317
Nikola Vucevic,2017-11-15,0.0,-0.18033332
