Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Arron Afflalo,26.0,DEN,Wing,2077,47,17.8%,95,118.6,57,11.5%,59,0.65,68,10.3%
Solomon Alabi,23.6,TOR,Big,105,43,15.0%,2,78.1,2,1.6%,1,0.11,93,9.0%
LaMarcus Aldridge,26.3,POR,Big,1987,97,25.7%,77,112.3,91,12.7%,65,0.50,88,9.9%
Lavoy Allen,22.7,PHI,Big,569,35,13.8%,28,98.1,71,8.7%,84,0.63,73,12.2%
Ray Allen,36.3,BOS,Wing,1558,41,17.1%,97,124.4,58,11.6%,65,0.67,45,12.2%
Tony Allen,29.8,MEM,Wing,1523,47,17.7%,70,107.8,36,8.3%,28,0.47,9,15.7%
Al-Farouq Aminu,21.1,NOP,Forward,1436,42,15.9%,27,95.3,33,7.5%,46,0.47,4,18.3%
Lou Amundson,28.9,IND,Big,650,42,14.8%,9,86.5,18,3.5%,16,0.23,31,16.8%
Chris Andersen,33.3,DEN,Big,481,30,13.4%,78,113.1,4,1.9%,4,0.14,82,11.0%
Alan Anderson,29.0,TOR,Wing,450,57,18.8%,61,104.5,47,10.0%,41,0.53,22,13.8%
James Anderson,22.6,SAS,Wing,512,39,16.4%,26,98.2,41,8.7%,41,0.53,18,14.1%
Ryan Anderson,23.5,ORL,Big,1956,70,18.5%,89,118.4,29,4.7%,22,0.25,96,7.2%
Carmelo Anthony,27.4,NYK,Forward,1871,98,31.9%,58,106.0,94,20.9%,75,0.66,75,10.8%
Joel Anthony,29.2,MIA,Big,1342,1,7.1%,88,117.7,1,0.9%,2,0.13,13,21.8%
Gilbert Arenas,29.8,MEM,Point,210,13,17.5%,67,105.9,2,13.8%,6,0.79,56,14.8%
Trevor Ariza,26.3,NOP,Wing,1346,58,18.9%,29,99.1,84,16.4%,88,0.87,16,14.1%
Omer Asik,25.3,CHI,Big,874,20,12.2%,26,97.7,37,5.4%,60,0.44,4,26.9%
D.J. Augustin,24.0,CHA,Point,1404,64,24.6%,45,99.0,81,37.0%,81,1.50,61,14.6%
Gustavo Ayon,26.6,NOP,Big,1042,34,13.7%,74,110.8,81,10.6%,91,0.77,43,15.2%
Luke Babbitt,22.4,POR,Forward,468,35,15.4%,73,111.0,19,4.8%,13,0.31,73,10.8%
Leandro Barbosa,28.9,IND,Wing,413,82,22.2%,34,100.0,79,14.7%,62,0.67,72,10.2%
Leandro Barbosa,28.9,TOR,Combo,925,78,25.1%,64,105.3,13,12.9%,7,0.51,67,12.5%
J.J. Barea,27.3,MIN,Point,1022,84,28.3%,52,101.5,89,39.7%,69,1.40,44,15.7%
Andrea Bargnani,26.0,TOR,Forward,1030,92,27.2%,71,108.3,63,11.2%,35,0.41,63,11.7%
Matt Barnes,31.6,LAL,Wing,1429,34,16.1%,79,111.3,70,13.4%,82,0.84,19,13.9%
Brandon Bass,26.5,BOS,Big,1850,61,17.5%,43,104.3,31,4.9%,25,0.28,90,9.6%
Tony Battie,35.7,PHI,Big,286,3,9.1%,3,78.4,65,7.7%,93,0.84,96,7.3%
Shane Battier,33.1,MIA,Wing,1451,5,10.7%,30,99.3,33,8.1%,72,0.76,61,11.1%
Nicolas Batum,22.9,POR,Wing,1747,56,18.8%,91,115.9,28,7.8%,19,0.41,39,12.6%
Jerryd Bayless,23.2,TOR,Combo,684,87,27.1%,87,111.8,89,30.4%,78,1.12,58,13.1%
Michael Beasley,22.8,MIN,Forward,1043,83,23.8%,42,100.2,35,7.5%,15,0.32,25,14.0%
Rodrigue Beaubois,23.7,DAL,Combo,1069,67,23.8%,42,102.3,60,21.6%,47,0.91,80,11.6%
Marco Belinelli,25.6,NOP,Combo,1944,16,17.8%,67,106.0,2,8.8%,4,0.49,96,9.5%
Raja Bell,35.1,UTA,Wing,794,6,10.8%,96,118.8,20,6.9%,59,0.64,59,11.4%
Mike Bibby,33.5,NYK,Point,522,2,14.7%,11,82.6,23,22.8%,86,1.55,88,12.3%
Andris Biedrins,25.6,GSW,Big,737,0,4.8%,86,116.2,12,2.9%,83,0.61,24,18.7%
