Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Quincy Acy,22.1,TOR,Big,291,23,12.7%,92,121.9,26,4.7%,43,0.37,17,19.0%
Jeff Adrien,26.7,CHA,Big,660,40,15.2%,24,96.3,69,8.2%,74,0.54,52,14.2%
Arron Afflalo,27.0,ORL,Wing,2288,84,22.5%,57,106.4,79,14.6%,52,0.65,47,12.1%
Cole Aldrich,24.0,HOU,Big,179,11,11.1%,46,105.1,11,3.4%,28,0.31,4,24.4%
Cole Aldrich,24.0,SAC,Big,149,8,10.7%,94,123.5,1,1.7%,4,0.16,19,18.7%
LaMarcus Aldridge,27.3,POR,Big,2782,98,25.4%,52,106.1,86,12.6%,67,0.50,91,9.3%
Lavoy Allen,23.7,PHI,Big,1623,28,13.9%,21,95.6,52,6.8%,66,0.49,83,10.7%
Ray Allen,37.3,MIA,Wing,1989,59,18.0%,99,123.7,54,10.6%,41,0.59,31,13.3%
Tony Allen,30.8,MEM,Wing,2102,52,17.1%,22,97.6,22,7.6%,16,0.45,48,12.1%
Al-Farouq Aminu,22.1,NOP,Wing,2049,17,13.8%,43,103.9,20,7.5%,29,0.55,2,18.4%
Lou Amundson,29.9,MIN,Big,121,16,12.2%,1,64.0,10,3.1%,13,0.25,10,21.9%
Lou Amundson,29.9,NOP,Big,205,19,12.4%,9,87.5,45,6.3%,70,0.51,42,15.0%
Chris Andersen,34.3,MIA,Big,604,23,12.9%,97,127.4,22,4.3%,37,0.34,43,14.9%
Alan Anderson,30.0,TOR,Wing,1406,88,23.2%,40,103.4,66,12.5%,27,0.54,68,11.0%
James Anderson,23.6,HOU,Wing,229,60,18.0%,32,101.3,68,12.9%,67,0.72,17,14.8%
Ryan Anderson,24.5,NOP,Big,2478,87,22.0%,64,109.6,55,7.1%,31,0.32,97,8.3%
Carmelo Anthony,28.4,NYK,Forward,2475,100,34.4%,79,112.7,85,13.7%,29,0.40,85,9.5%
Joel Anthony,30.2,MIA,Big,507,2,8.2%,48,105.6,12,3.4%,54,0.41,7,23.3%
Trevor Ariza,27.3,WAS,Wing,1450,53,17.3%,62,107.9,70,13.3%,75,0.77,16,14.9%
Darrell Arthur,24.6,MEM,Big,931,60,17.9%,20,95.0,42,6.0%,37,0.34,75,11.8%
Omer Asik,26.3,HOU,Big,2453,39,15.0%,66,110.7,23,4.5%,25,0.30,12,20.2%
D.J. Augustin,25.0,IND,Point,1150,6,16.3%,59,107.5,18,22.9%,65,1.40,55,14.8%
Gustavo Ayon,27.6,MIL,Big,137,43,15.4%,55,107.1,82,11.1%,86,0.72,45,14.7%
Gustavo Ayon,27.6,ORL,Big,567,35,14.6%,52,106.3,93,15.1%,98,1.04,14,19.9%
Jeff Ayres,25.5,IND,Big,268,44,15.5%,75,113.6,58,7.2%,64,0.47,25,17.5%
Luke Babbitt,23.4,POR,Forward,672,35,15.6%,50,101.7,27,6.7%,38,0.43,83,9.5%
Leandro Barbosa,29.9,BOS,Combo,476,55,22.0%,65,104.7,39,20.6%,32,0.94,97,8.6%
J.J. Barea,28.4,MIN,Combo,1642,91,27.2%,58,103.4,89,29.9%,65,1.10,55,13.5%
Andrea Bargnani,27.0,TOR,Big,995,84,21.6%,23,96.3,47,6.4%,25,0.30,79,11.4%
Harrison Barnes,20.4,GSW,Wing,2019,48,16.8%,48,104.3,16,7.1%,13,0.43,35,13.2%
Matt Barnes,32.6,LAC,Wing,1927,45,16.5%,79,113.3,36,9.2%,31,0.55,49,12.1%
Earl Barron,31.2,WAS,Big,114,42,15.3%,1,61.8,9,3.0%,7,0.20,9,22.5%
Will Barton,21.8,POR,Wing,808,68,19.0%,12,92.5,50,10.1%,26,0.53,12,15.4%
Brandon Bass,27.5,BOS,Big,2218,31,14.2%,58,107.8,41,6.0%,55,0.42,71,12.1%
Shane Battier,34.1,MIA,Forward,1771,4,10.0%,96,126.9,15,5.8%,63,0.58,96,8.7%
Nicolas Batum,23.9,POR,Wing,2798,67,19.0%,83,114.5,93,19.9%,94,1.05,7,16.3%
Jerryd Bayless,24.2,MEM,Combo,1685,62,22.5%,61,103.7,71,25.1%,67,1.11,48,13.9%
Aron Baynes,25.9,SAS,Big,107,29,13.9%,8,85.7,20,4.1%,23,0.29,8,22.9%
Kent Bazemore,23.3,GSW,Combo,169,77,24.3%,5,77.5,11,14.1%,0,0.58,21,15.8%
Bradley Beal,19.3,WAS,Wing,1720,77,21.1%,40,103.5,72,13.7%,53,0.65,63,11.3%
Michael Beasley,23.8,PHX,Forward,1510,92,27.0%,23,93.4,71,12.7%,42,0.47,17,15.2%
Rodrigue Beaubois,24.7,DAL,Combo,481,38,20.2%,36,99.4,58,23.0%,70,1.14,42,14.1%
Marco Belinelli,26.6,CHI,Wing,1843,64,18.5%,39,103.3,69,13.3%,66,0.72,71,10.9%
Patrick Beverley,24.3,HOU,Point,642,12,17.1%,57,107.2,24,25.1%,73,1.47,45,15.3%
Andris Biedrins,26.6,GSW,Big,492,0,4.0%,16,92.3,19,3.9%,96,0.98,0,32.6%
Chauncey Billups,36.1,LAC,Wing,417,74,20.3%,92,119.9,86,16.8%,83,0.83,21,14.4%
Bismack Biyombo,20.2,CHA,Big,2144,4,9.6%,17,93.0,4,2.4%,14,0.25,25,17.7%
DeJuan Blair,23.5,SAS,Big,745,54,16.7%,69,111.7,68,8.1%,65,0.48,29,16.3%
Steve Blake,32.7,LAL,Combo,1167,9,14.8%,97,117.9,55,22.6%,98,1.53,23,15.7%
Andray Blatche,26.2,BKN,Big,1464,97,25.0%,72,112.2,80,10.6%,55,0.42,45,14.8%
Eric Bledsoe,22.9,LAC,Combo,1420,82,24.4%,62,104.2,68,24.5%,47,1.00,18,16.5%
Keith Bogans,32.5,BKN,Wing,1394,5,10.9%,70,109.9,31,8.4%,76,0.78,13,15.2%
Andrew Bogut,27.9,GSW,Big,784,30,14.0%,14,91.5,85,12.1%,92,0.86,51,14.3%
Matt Bonner,32.6,SAS,Big,811,10,11.0%,87,119.0,35,5.6%,71,0.51,98,8.2%
Trevor Booker,24.9,WAS,Big,868,27,13.9%,40,102.8,66,7.9%,78,0.57,77,11.7%
Carlos Boozer,30.9,CHI,Big,2539,93,24.2%,37,101.7,86,13.1%,75,0.54,63,13.0%
Chris Bosh,28.6,MIA,Big,2445,78,20.4%,84,117.9,67,8.1%,49,0.40,68,12.3%
Avery Bradley,21.9,BOS,Combo,1425,29,19.0%,17,92.4,3,11.5%,2,0.60,71,12.6%
Elton Brand,33.6,DAL,Big,1518,48,15.9%,31,100.0,58,7.2%,62,0.45,82,10.9%
Corey Brewer,26.7,DEN,Wing,1938,76,21.0%,36,102.6,41,9.5%,17,0.45,75,10.4%
Ronnie Brewer,27.6,NYK,Wing,681,12,13.2%,7,89.1,33,8.6%,55,0.65,98,7.2%
Ronnie Brewer,27.6,OKC,Forward,102,0,8.0%,0,26.7,40,7.5%,94,0.93,98,5.6%
Aaron Brooks,27.8,SAC,Point,936,27,19.3%,73,111.1,8,18.4%,4,0.95,47,15.2%
MarShon Brooks,23.8,BKN,Wing,799,85,22.8%,46,104.3,83,15.6%,59,0.69,12,15.2%
Kwame Brown,30.6,PHI,Big,267,3,9.3%,13,91.1,32,5.1%,75,0.55,37,15.2%
Shannon Brown,26.9,PHX,Wing,1381,83,21.9%,33,101.3,67,12.6%,36,0.57,65,11.1%
Kobe Bryant,34.2,LAL,Wing,3008,100,33.4%,85,114.6,99,28.6%,87,0.86,37,12.7%
Chase Budinger,24.4,MIN,Wing,468,65,18.6%,37,102.6,19,7.4%,10,0.40,60,11.3%
