Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Alex Abrines,23.3,OKC,Wing,976,22,13.5%,78,115.2,7,4.7%,10,0.35,75,8.9%
Quincy Acy,26.1,BKN,Big,492,36,15.1%,59,114.1,32,6.0%,37,0.40,87,10.0%
Steven Adams,23.3,OKC,Big,2381,32,14.6%,73,117.7,26,5.4%,26,0.37,17,17.6%
Arron Afflalo,31.0,SAC,Wing,1576,27,13.9%,70,113.0,31,7.6%,42,0.55,76,8.9%
Alexis Ajinca,28.5,NOP,Big,566,34,14.9%,23,104.2,5,3.2%,5,0.21,25,16.2%
Cole Aldrich,28.0,MIN,Big,497,2,8.9%,45,110.5,40,6.7%,84,0.75,26,16.0%
LaMarcus Aldridge,31.3,SAS,Big,2325,89,23.6%,28,105.8,70,10.0%,43,0.43,95,8.2%
Lavoy Allen,27.7,IND,Big,829,7,10.7%,10,98.3,59,8.4%,85,0.79,46,14.4%
Tony Allen,34.8,MEM,Wing,1906,50,17.5%,13,98.3,33,8.3%,29,0.47,22,13.8%
Al-Farouq Aminu,26.1,POR,Big,1756,40,15.5%,16,101.9,56,8.3%,62,0.54,32,15.1%
Alan Anderson,34.0,LAC,Wing,258,17,13.0%,10,97.1,10,4.8%,12,0.37,85,8.3%
Justin Anderson,23.0,DAL,Wing,627,80,21.3%,15,98.9,27,7.5%,11,0.35,43,11.1%
Justin Anderson,23.0,PHI,Wing,462,39,15.7%,73,114.3,35,8.7%,43,0.55,12,14.9%
Kyle Anderson,23.1,SAS,Wing,912,12,12.5%,32,103.9,64,12.3%,95,0.98,27,13.0%
Ryan Anderson,28.5,HOU,Big,2112,48,16.3%,70,116.9,15,4.6%,11,0.28,98,6.8%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,98,29.3%,83,120.2,98,26.7%,93,0.91,31,12.8%
Carmelo Anthony,32.4,NYK,Forward,2532,97,28.5%,49,107.9,88,14.1%,42,0.49,66,9.2%
