Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Jeff Adrien,24.7,GSW,Big,159,38,14.5%,6,85.7,42,5.4%,46,0.37,53,13.6%
Arron Afflalo,25.0,DEN,Wing,2270,22,14.3%,97,124.6,65,11.1%,83,0.78,71,9.9%
Alexis Ajinca,22.5,TOR,Big,240,73,19.1%,45,106.1,32,4.9%,20,0.26,40,15.8%
Cole Aldrich,22.0,OKC,Big,101,1,5.8%,28,100.0,24,4.2%,92,0.71,1,32.0%
LaMarcus Aldridge,25.3,POR,Big,3202,94,24.3%,56,110.0,80,9.9%,54,0.41,93,9.3%
Malik Allen,32.3,ORL,Big,159,5,8.6%,0,50.0,23,4.1%,66,0.47,89,10.3%
Ray Allen,35.3,BOS,Wing,2883,59,18.2%,98,126.5,74,12.3%,63,0.67,62,10.7%
Tony Allen,28.8,MEM,Combo,1474,24,19.4%,88,113.3,6,11.3%,6,0.58,61,13.2%
Al-Farouq Aminu,20.1,LAC,Wing,1391,44,16.9%,21,97.7,22,7.0%,17,0.41,1,19.3%
Lou Amundson,27.9,GSW,Big,664,37,14.4%,14,92.3,22,4.0%,24,0.28,86,10.6%
Chris Andersen,32.3,DEN,Big,708,17,11.9%,95,125.5,26,4.2%,44,0.36,67,12.4%
David Andersen,30.4,NOP,Big,191,70,18.3%,28,100.0,33,5.0%,22,0.27,26,17.6%
David Andersen,30.4,TOR,Big,140,47,15.6%,53,108.3,44,5.4%,40,0.35,69,12.2%
James Anderson,21.6,SAS,Wing,268,26,14.8%,57,107.7,61,10.8%,77,0.73,27,12.8%
Ryan Anderson,22.5,ORL,Big,1342,65,17.6%,89,119.7,53,6.3%,43,0.36,95,8.6%
Carmelo Anthony,26.4,DEN,Forward,1762,98,32.0%,49,109.8,92,14.8%,41,0.46,67,11.4%
Carmelo Anthony,26.4,NYK,Wing,975,98,30.2%,83,116.2,83,15.3%,43,0.51,76,9.7%
Joel Anthony,28.2,MIA,Big,1410,0,5.4%,62,110.9,6,2.2%,53,0.41,10,22.1%
Gilbert Arenas,28.8,ORL,Combo,1027,73,25.6%,6,89.8,59,24.4%,41,0.95,14,18.0%
Gilbert Arenas,28.8,WAS,Combo,708,84,28.1%,29,100.3,73,27.1%,43,0.96,22,15.9%
Trevor Ariza,25.3,NOP,Wing,2589,50,17.3%,23,98.2,50,9.9%,50,0.57,29,12.6%
Hilton Armstrong,25.9,WAS,Big,398,12,10.2%,37,102.9,22,4.1%,51,0.40,2,26.5%
Carlos Arroyo,31.3,BOS,Combo,170,4,16.3%,14,94.7,33,19.2%,71,1.18,4,25.2%
Carlos Arroyo,31.3,MIA,Point,962,5,14.1%,79,111.3,3,14.5%,16,1.03,62,13.9%
Darrell Arthur,22.6,MEM,Big,1573,75,19.3%,47,106.7,47,5.5%,27,0.29,62,12.9%
Omer Asik,24.3,CHI,Big,926,17,12.1%,38,103.2,31,4.9%,53,0.41,9,22.5%
D.J. Augustin,23.0,CHA,Point,2739,48,23.7%,81,111.4,67,30.6%,60,1.29,91,11.2%
Luke Babbitt,21.4,POR,Forward,107,86,19.8%,2,69.0,25,6.6%,12,0.33,8,16.5%
Leandro Barbosa,27.9,TOR,Combo,1348,61,24.8%,63,108.1,18,14.6%,8,0.59,86,11.2%
J.J. Barea,26.3,DAL,Combo,1593,86,28.1%,61,108.0,88,31.0%,61,1.10,47,14.3%
Andrea Bargnani,25.0,TOR,Big,2344,99,26.3%,50,107.2,72,8.6%,34,0.33,80,11.1%
Matt Barnes,30.6,LAL,Wing,983,37,16.0%,69,110.8,60,10.7%,62,0.67,7,16.5%
Earl Barron,29.2,PHX,Big,170,63,17.4%,1,61.4,8,2.3%,2,0.13,31,16.8%
Brandon Bass,25.5,ORL,Big,1956,71,18.4%,73,114.0,37,5.1%,24,0.28,65,12.6%
Tony Battie,34.7,PHI,Big,361,24,12.7%,19,95.9,40,5.3%,56,0.41,76,11.4%
Shane Battier,32.1,HOU,Wing,1808,12,12.2%,82,114.9,70,11.8%,93,0.96,28,12.6%
Shane Battier,32.1,MEM,Forward,531,2,10.5%,18,101.9,27,7.0%,73,0.67,57,12.3%
Nicolas Batum,21.9,POR,Forward,2500,43,16.1%,69,112.9,41,8.0%,47,0.50,88,9.5%
Jerryd Bayless,22.2,NOP,Point,142,83,27.4%,16,90.9,48,27.7%,10,1.01,9,21.0%
Jerryd Bayless,22.2,TOR,Combo,1289,69,25.0%,76,110.5,80,29.2%,69,1.17,41,14.5%
Michael Beasley,21.8,MIN,Forward,2350,94,27.5%,20,102.9,80,11.9%,29,0.43,43,12.9%
Rodrigue Beaubois,22.7,DAL,Wing,481,93,26.4%,26,100.9,90,21.3%,84,0.81,10,15.9%
Marco Belinelli,24.6,NOP,Wing,1922,56,17.9%,74,111.9,26,7.5%,23,0.42,64,10.3%
Charlie Bell,31.6,GSW,Wing,123,7,11.5%,2,78.6,64,11.0%,93,0.96,97,6.6%
Raja Bell,34.1,UTA,Wing,2080,9,11.9%,44,105.0,33,8.1%,66,0.68,55,11.2%
Mike Bibby,32.5,ATL,Point,1670,12,15.8%,88,114.3,9,18.4%,36,1.16,86,12.1%
Mike Bibby,32.5,MIA,Point,556,3,13.6%,98,123.4,0,12.7%,5,0.93,12,19.5%
Andris Biedrins,24.6,GSW,Big,1390,9,10.1%,41,105.0,51,6.0%,82,0.59,24,17.9%
Chauncey Billups,34.1,DEN,Combo,1641,59,24.1%,100,128.6,65,26.0%,57,1.08,35,14.6%
Chauncey Billups,34.1,NYK,Combo,662,76,27.1%,90,118.7,78,28.4%,51,1.05,80,11.9%
DeJuan Blair,21.5,SAS,Big,1639,69,18.2%,40,104.4,64,7.1%,49,0.39,36,16.1%
Steve Blake,30.7,LAL,Point,1487,0,12.5%,52,105.1,5,15.2%,48,1.22,28,16.8%
Andray Blatche,24.2,WAS,Big,2163,95,24.8%,27,99.3,87,11.6%,65,0.47,50,14.2%
Eric Bledsoe,20.9,LAC,Combo,1794,33,20.4%,31,100.4,61,25.3%,84,1.24,6,23.4%
Keith Bogans,30.5,CHI,Wing,1455,5,11.3%,73,111.5,50,9.7%,88,0.86,45,11.5%
Andrew Bogut,25.9,MIL,Big,2293,76,19.4%,25,98.8,81,10.3%,73,0.53,59,13.3%
Matt Bonner,30.6,SAS,Big,1390,20,12.4%,92,122.5,55,6.3%,69,0.51,98,7.1%
Trevor Booker,22.9,WAS,Forward,976,14,12.7%,75,114.1,6,5.1%,25,0.41,49,12.8%
Carlos Boozer,28.9,CHI,Big,1876,97,25.5%,54,108.7,94,13.7%,75,0.54,49,14.4%
Chris Bosh,26.6,MIA,Big,2776,87,22.1%,72,113.5,72,8.5%,47,0.38,87,10.5%
Earl Boykins,34.4,MIL,Point,805,79,27.2%,57,105.9,71,30.8%,31,1.13,97,10.3%
Avery Bradley,19.9,BOS,Combo,121,51,22.9%,0,72.3,4,10.8%,0,0.47,10,19.0%
Elton Brand,31.6,PHI,Big,2801,69,18.1%,59,110.2,63,7.0%,49,0.39,94,9.2%
Corey Brewer,24.7,DAL,Wing,135,69,19.9%,46,105.7,68,11.4%,51,0.57,13,14.9%
Corey Brewer,24.7,MIN,Wing,1330,52,17.4%,14,95.9,36,8.3%,33,0.48,18,13.9%
Ronnie Brewer,25.6,CHI,Forward,1722,25,13.9%,31,104.9,86,12.7%,92,0.91,76,10.3%
Jon Brockman,23.6,MIL,Big,624,8,9.7%,42,105.2,25,4.2%,60,0.44,27,17.3%
Aaron Brooks,25.8,HOU,Point,785,88,27.7%,24,96.0,29,25.7%,3,0.93,95,10.7%
Aaron Brooks,25.8,PHX,Point,460,95,29.4%,72,110.0,84,36.3%,52,1.24,45,14.5%
Derrick Brown,23.1,CHA,Forward,443,29,14.1%,80,117.4,59,9.4%,71,0.67,4,17.8%
Kwame Brown,28.6,CHA,Big,1689,31,13.8%,55,109.4,24,4.1%,30,0.30,54,13.6%
Shannon Brown,24.9,LAL,Wing,1454,72,20.5%,48,105.8,49,9.7%,32,0.47,66,10.2%
Kobe Bryant,32.2,LAL,Wing,2776,100,35.7%,72,111.3,98,25.8%,76,0.72,51,11.2%
Chase Budinger,22.4,HOU,Wing,1650,62,18.7%,55,107.4,64,11.1%,53,0.59,80,9.2%
Caron Butler,30.6,DAL,Wing,863,84,23.3%,50,106.1,43,9.2%,13,0.40,43,11.6%
Rasual Butler,31.4,LAC,Wing,711,23,14.5%,7,90.3,17,6.4%,26,0.44,81,9.2%
Andrew Bynum,23.0,LAL,Big,1488,62,17.2%,90,120.4,70,7.8%,63,0.45,56,13.5%
Will Bynum,27.8,DET,Point,1057,71,26.2%,53,105.1,55,28.8%,28,1.10,64,13.8%
Jose Calderon,29.1,TOR,Point,2094,43,22.2%,55,105.5,91,41.2%,97,1.86,59,14.1%
Marcus Camby,36.6,POR,Big,1528,22,12.6%,7,85.8,85,11.2%,97,0.89,42,15.2%
Derrick Caracter,22.5,LAL,Big,117,53,16.2%,8,86.5,47,5.6%,38,0.34,91,10.0%
