Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Dwight Howard,31.9,CHA,Big,2441,87,22.6%,50,115.1,32,6.9%,8,0.31,24,16.2%
Josh Huestis,25.9,OKC,Wing,908,3,8.9%,4,85.1,0,2.4%,3,0.28,41,12.0%
Serge Ibaka,28.1,TOR,Big,2079,55,16.8%,50,114.9,8,4.3%,3,0.26,72,11.0%
Andre Iguodala,33.8,GSW,Wing,1605,19,12.9%,60,110.7,83,17.0%,100,1.32,19,14.1%
Ersan Ilyasova,30.5,PHI,Big,528,64,18.9%,21,107.6,67,10.4%,57,0.55,67,11.4%
Ersan Ilyasova,30.5,ATL,Big,1146,51,16.2%,49,114.9,24,6.5%,22,0.40,81,9.9%
Joe Ingles,30.1,UTA,Wing,2551,56,17.4%,95,124.8,96,22.3%,99,1.28,10,15.8%
Brandon Ingram,20.2,LAL,Wing,1954,83,23.0%,43,107.3,86,17.8%,84,0.77,20,14.0%
Kyrie Irving,25.6,BOS,Point,1916,92,31.8%,92,123.6,62,28.1%,15,0.88,89,10.0%
Jonathan Isaac,20.1,ORL,Big,518,33,14.3%,2,92.7,12,5.2%,14,0.36,27,15.9%
Wes Iwundu,22.9,ORL,Wing,934,9,11.4%,12,94.3,36,8.1%,76,0.71,61,10.5%
Jarrett Jack,34.0,NYK,Point,1509,31,20.9%,26,98.7,72,30.2%,85,1.45,28,15.5%
Josh Jackson,20.7,PHX,Forward,1890,94,25.3%,10,94.3,78,10.5%,20,0.42,27,12.5%
Justin Jackson,22.6,SAC,Forward,1409,20,12.7%,43,108.1,31,7.0%,59,0.55,76,9.3%
Reggie Jackson,27.5,DET,Point,1193,87,30.5%,44,103.8,85,33.1%,46,1.08,70,12.0%
LeBron James,32.8,CLE,Forward,2978,100,35.0%,94,125.6,100,43.2%,100,1.23,12,14.6%
Mike James,27.2,PHX,Point,633,70,27.2%,20,96.3,52,27.3%,39,1.00,80,11.0%
