Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Quincy Acy,25.1,SAC,Big,843,10,11.5%,93,123.4,16,4.6%,31,0.40,76,11.0%
Steven Adams,22.3,OKC,Big,1999,7,11.2%,95,124.3,14,4.2%,25,0.38,29,15.6%
Arron Afflalo,30.0,NYK,Wing,2354,56,17.3%,48,106.9,54,9.7%,46,0.56,77,9.1%
Alexis Ajinca,27.5,NOP,Big,815,63,18.5%,30,104.3,26,5.6%,15,0.30,33,15.0%
Cole Aldrich,27.0,LAC,Big,704,55,17.7%,90,122.1,78,11.6%,78,0.65,3,21.5%
LaMarcus Aldridge,30.3,SAS,Big,2251,90,23.6%,60,112.5,48,8.2%,21,0.35,94,8.6%
Lavoy Allen,26.7,IND,Big,1558,16,12.4%,36,105.8,35,6.9%,62,0.55,32,15.2%
Tony Allen,33.8,MEM,Wing,1606,39,16.2%,25,100.8,16,6.7%,16,0.41,27,13.4%
Al-Farouq Aminu,25.1,POR,Forward,2337,53,16.1%,47,107.0,53,8.7%,51,0.54,32,13.8%
Lou Amundson,32.9,NYK,Big,171,36,15.8%,10,93.9,45,7.9%,57,0.50,2,21.7%
Chris Andersen,37.3,MEM,Big,361,1,9.6%,78,117.9,9,3.7%,29,0.39,92,9.1%
Alan Anderson,33.0,WAS,Wing,190,32,14.9%,46,106.6,63,10.7%,77,0.71,98,3.2%
James Anderson,26.6,SAC,Wing,690,18,13.6%,11,93.4,32,7.9%,53,0.58,7,17.4%
Justin Anderson,21.9,DAL,Wing,556,18,13.6%,17,98.7,18,6.8%,33,0.50,59,10.8%
Kyle Anderson,22.1,SAS,Forward,1048,42,15.0%,49,107.1,88,14.4%,95,0.96,39,13.4%
Ryan Anderson,27.5,NOP,Big,1965,84,22.2%,50,109.8,28,6.0%,11,0.27,92,8.9%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,95,23.0%,75,112.9,95,19.4%,88,0.84,23,14.5%
Carmelo Anthony,31.4,NYK,Wing,2524,98,30.4%,43,106.1,96,21.0%,71,0.69,63,10.3%
Trevor Ariza,30.3,HOU,Forward,2853,44,15.2%,65,110.2,68,10.0%,70,0.66,67,11.3%
Darrell Arthur,27.6,DEN,Big,1496,35,15.5%,28,103.8,69,10.1%,78,0.65,64,12.2%
Omer Asik,29.3,NOP,Big,1175,3,10.7%,48,108.5,4,3.2%,13,0.30,4,21.1%
D.J. Augustin,28.0,DEN,Point,631,57,24.7%,97,122.8,56,30.8%,49,1.24,48,14.8%
D.J. Augustin,28.0,OKC,Point,471,7,16.0%,62,106.5,8,19.0%,43,1.19,34,15.8%
Luke Babbitt,26.4,NOP,Forward,798,67,16.6%,39,105.1,61,9.5%,56,0.57,98,7.6%
Leandro Barbosa,32.9,GSW,Wing,955,60,17.7%,61,109.9,68,11.6%,67,0.66,34,12.5%
J.J. Barea,31.3,DAL,Point,1601,74,26.4%,77,109.6,52,29.9%,31,1.13,85,11.6%
Andrea Bargnani,30.0,BKN,Big,612,75,20.4%,21,100.7,21,5.3%,10,0.26,90,9.5%
Harrison Barnes,23.4,GSW,Forward,2008,40,14.8%,70,111.2,42,7.7%,42,0.52,93,8.1%
Matt Barnes,35.6,MEM,Forward,2145,70,17.1%,30,102.3,79,11.6%,74,0.68,28,14.1%
Will Barton,24.8,DEN,Wing,2284,86,22.9%,53,107.5,84,14.8%,63,0.64,51,11.4%
Brandon Bass,30.5,LAL,Big,1287,19,12.9%,96,124.5,59,9.0%,82,0.70,79,10.9%
Nicolas Batum,26.9,CHA,Wing,2434,87,23.0%,70,111.2,100,26.2%,99,1.14,11,16.5%
Jerryd Bayless,27.2,MIL,Combo,1481,24,17.3%,87,114.6,40,16.9%,64,0.98,55,12.7%
Aron Baynes,28.9,DET,Big,1177,53,17.4%,56,111.5,33,6.6%,27,0.38,37,14.3%
Kent Bazemore,26.3,ATL,Wing,2068,71,19.5%,63,110.3,74,12.8%,68,0.66,12,15.2%
Bradley Beal,22.3,WAS,Wing,1695,94,24.5%,69,111.2,87,15.4%,60,0.63,47,11.7%
Michael Beasley,26.8,HOU,Big,355,98,26.4%,56,111.6,48,8.1%,16,0.31,84,10.2%
Marco Belinelli,29.6,SAC,Wing,1659,67,18.5%,32,102.5,68,11.7%,61,0.63,53,11.2%
Patrick Beverley,27.3,HOU,Point,2021,8,16.4%,79,110.6,3,17.5%,23,1.07,82,11.9%
Bismack Biyombo,23.2,TOR,Big,1799,4,10.8%,70,115.6,2,2.6%,5,0.24,19,16.9%
Nemanja Bjelica,27.5,MIN,Big,1012,13,12.3%,75,117.1,76,11.4%,96,0.93,36,14.3%
Tarik Black,23.9,LAL,Big,432,9,11.5%,45,108.0,22,5.3%,48,0.46,8,19.0%
DeJuan Blair,26.5,WAS,Big,175,33,15.1%,3,87.7,27,5.9%,30,0.39,13,17.7%
Steve Blake,35.7,DET,Point,919,13,17.6%,85,111.5,61,31.3%,97,1.78,10,19.7%
Eric Bledsoe,25.9,PHX,Combo,1055,95,30.0%,82,112.7,95,29.9%,67,1.00,27,14.7%
Bojan Bogdanovic,26.5,BKN,Wing,2066,61,17.9%,64,110.4,26,7.3%,15,0.41,26,13.8%
Andrew Bogut,30.9,GSW,Big,1449,12,12.1%,93,123.8,85,14.5%,98,1.19,5,20.7%
Matt Bonner,35.6,SAS,Big,129,6,11.0%,99,136.4,36,7.0%,74,0.63,99,3.4%
Devin Booker,19.0,PHX,Wing,2064,88,23.1%,52,107.5,89,16.4%,76,0.71,25,13.9%
Trevor Booker,27.9,UTA,Big,1612,25,13.8%,40,106.8,52,8.4%,69,0.61,25,16.2%
Chris Bosh,31.6,MIA,Big,1769,92,23.9%,68,114.3,83,13.0%,62,0.54,93,8.7%
Avery Bradley,24.9,BOS,Combo,2518,35,18.5%,60,107.4,5,9.5%,4,0.51,95,10.0%
Elton Brand,36.6,PHI,Big,224,42,16.3%,8,91.9,84,14.2%,92,0.87,44,13.6%
Corey Brewer,29.7,HOU,Forward,1624,61,16.6%,23,98.4,67,9.7%,60,0.58,53,12.3%
Aaron Brooks,30.8,CHI,Point,1065,70,25.6%,25,97.0,34,26.8%,20,1.05,77,12.4%
Anthony Brown,23.1,LAL,Wing,500,3,9.5%,5,89.5,4,4.3%,25,0.45,85,8.4%
Markel Brown,23.8,BKN,Wing,892,66,18.4%,29,102.2,78,13.5%,80,0.73,29,13.2%
Kobe Bryant,37.2,LAL,Wing,1858,100,31.8%,12,95.2,94,18.2%,50,0.57,70,9.5%
Chase Budinger,27.4,IND,Wing,691,19,13.7%,22,100.0,51,9.5%,72,0.70,39,12.4%
Chase Budinger,27.4,PHX,Wing,191,10,12.9%,68,110.9,62,10.6%,87,0.82,1,22.0%
Reggie Bullock,24.6,DET,Wing,373,4,10.9%,96,123.0,47,9.3%,90,0.86,82,8.8%
Trey Burke,23.0,UTA,Point,1319,62,24.9%,43,101.9,11,20.1%,0,0.80,93,10.8%
Alec Burks,24.3,UTA,Combo,793,84,25.4%,47,104.9,20,14.0%,5,0.55,76,11.3%
Caron Butler,35.6,SAC,Wing,170,31,14.9%,28,101.7,48,9.4%,61,0.63,97,5.1%
Jimmy Butler,26.1,CHI,Wing,2469,95,25.3%,75,113.2,97,21.8%,91,0.86,75,9.3%
Rasual Butler,36.4,SAS,Wing,277,8,12.6%,94,120.5,43,8.9%,74,0.70,89,7.9%
Jose Calderon,34.1,NYK,Point,2017,3,14.7%,92,114.5,15,21.2%,69,1.44,66,13.3%
Kentavious Caldwell-Pope,22.7,DET,Wing,2777,54,17.1%,40,105.2,31,7.5%,22,0.44,69,9.6%
Isaiah Canaan,24.4,PHI,Combo,1934,40,19.2%,71,108.6,15,12.0%,9,0.62,87,10.5%
Clint Capela,21.5,HOU,Big,1440,31,14.4%,50,110.0,18,5.1%,22,0.35,66,11.9%
DeMarre Carroll,29.3,TOR,Forward,786,63,16.6%,21,97.6,12,5.6%,4,0.33,77,9.4%
Vince Carter,38.8,MEM,Wing,948,55,17.2%,38,104.8,39,8.4%,30,0.49,79,9.0%
Michael Carter-Williams,24.1,MIL,Point,1637,49,23.4%,34,99.5,33,26.5%,30,1.13,21,17.8%
Omri Casspi,27.4,SAC,Forward,1861,56,16.2%,91,117.0,35,7.4%,25,0.45,44,12.9%
Willie Cauley-Stein,22.2,SAC,Big,1378,10,11.7%,73,116.5,7,3.6%,14,0.30,67,11.9%
Mario Chalmers,29.5,MEM,Combo,1203,78,24.9%,84,113.8,89,28.0%,87,1.12,24,14.7%
Mario Chalmers,29.5,MIA,Combo,117,51,20.4%,18,94.3,64,21.4%,84,1.05,2,17.5%
Tyson Chandler,33.1,PHX,Big,1614,11,12.0%,87,121.4,31,6.4%,61,0.53,7,20.4%
Ian Clark,24.7,GSW,Combo,454,31,17.9%,45,104.6,18,13.6%,22,0.76,13,16.1%
Jordan Clarkson,23.4,LAL,Wing,2514,85,22.7%,36,103.8,80,13.9%,58,0.61,64,10.3%
Norris Cole,27.0,NOP,Combo,1176,65,23.4%,15,93.0,71,22.1%,55,0.94,71,11.9%
Darren Collison,28.2,SAC,Combo,2199,53,20.5%,98,120.5,67,21.7%,85,1.06,60,12.3%
Nick Collison,35.0,OKC,Big,618,5,10.9%,19,100.0,66,9.9%,95,0.91,1,26.0%
Mike Conley,28.1,MEM,Point,1750,72,25.8%,75,109.1,69,32.4%,52,1.26,98,8.6%
Chris Copeland,31.6,MIL,Forward,100,58,16.5%,5,89.5,49,8.6%,40,0.52,95,7.9%
DeMarcus Cousins,25.2,SAC,Big,2240,100,34.0%,42,107.3,93,16.7%,54,0.49,43,13.8%
Robert Covington,24.9,PHI,Forward,1864,82,19.8%,60,108.7,46,8.4%,19,0.42,14,16.7%
Allen Crabbe,23.6,POR,Wing,2061,27,14.4%,89,116.7,23,7.2%,35,0.50,74,9.3%
Jamal Crawford,35.6,LAC,Wing,2054,92,24.5%,54,108.1,83,14.6%,54,0.60,71,9.5%
Jae Crowder,25.3,BOS,Forward,2297,68,16.8%,86,114.1,51,8.6%,37,0.51,84,9.0%
Dante Cunningham,28.5,NOP,Forward,1942,4,10.1%,56,108.1,11,5.5%,54,0.54,86,8.9%
Jared Cunningham,24.4,CLE,Combo,270,7,14.6%,16,93.2,2,5.6%,0,0.38,7,16.6%
Seth Curry,25.2,SAC,Combo,651,25,17.3%,96,120.1,24,14.1%,35,0.81,62,12.2%
Stephen Curry,27.6,GSW,Point,2694,93,32.9%,98,135.6,62,31.6%,8,0.96,72,12.6%
Troy Daniels,24.3,CHA,Wing,384,51,16.8%,92,118.9,32,7.7%,26,0.46,37,12.5%
Anthony Davis,22.6,NOP,Big,2156,98,26.4%,61,112.6,67,10.0%,25,0.38,90,9.4%
Ed Davis,26.4,POR,Big,1661,14,12.4%,92,123.2,45,7.8%,75,0.63,46,13.5%
DeMar DeRozan,26.2,TOR,Wing,2799,99,30.6%,66,110.6,96,20.8%,69,0.68,76,9.2%
Dewayne Dedmon,26.2,ORL,Big,617,23,13.4%,88,121.5,3,3.2%,5,0.24,32,15.1%
Bryce Dejean-Jones,23.2,NOP,Wing,270,24,14.1%,18,98.7,22,7.2%,37,0.51,33,12.6%
Matthew Dellavedova,25.1,CLE,Point,1806,16,18.2%,67,107.3,31,26.3%,75,1.44,43,15.2%
Luol Deng,30.5,MIA,Forward,2363,54,16.2%,63,109.8,47,8.6%,49,0.53,82,9.1%
Boris Diaw,33.5,SAS,Big,1305,56,17.8%,78,117.8,96,18.6%,97,1.04,12,17.8%
Gorgui Dieng,25.8,MIN,Big,2199,39,16.1%,82,119.4,65,9.9%,70,0.61,12,17.9%
Spencer Dinwiddie,22.6,DET,Point,138,59,24.8%,10,87.1,38,27.3%,25,1.10,100,6.7%
Toney Douglas,29.6,NOP,Combo,1195,45,20.0%,73,109.5,47,18.6%,53,0.93,80,10.9%
Goran Dragic,29.5,MIA,Point,2331,54,24.1%,59,106.3,41,27.5%,36,1.14,52,14.5%
Andre Drummond,22.2,DET,Big,2661,84,22.3%,18,98.8,13,4.2%,3,0.19,74,11.3%
Jared Dudley,30.3,WAS,Big,2038,17,12.6%,86,121.0,75,11.3%,93,0.90,42,13.9%
Tim Duncan,39.5,SAS,Big,1532,55,17.6%,33,105.5,88,15.2%,91,0.87,34,14.9%
Mike Dunleavy,35.1,CHI,Wing,702,16,13.4%,65,110.4,30,7.5%,45,0.56,41,12.3%
Kevin Durant,27.1,OKC,Forward,2561,96,30.1%,100,128.3,98,23.0%,82,0.77,33,13.8%
Cleanthony Early,24.5,NYK,Forward,141,39,14.8%,0,70.3,16,6.3%,21,0.43,4,19.8%
Jarell Eddie,24.0,WAS,Wing,100,68,18.7%,4,87.2,34,8.1%,19,0.43,99,2.2%
Wayne Ellington,27.9,BKN,Wing,1590,46,16.6%,24,100.2,35,8.1%,31,0.49,92,7.7%
Monta Ellis,30.0,IND,Combo,2722,58,22.9%,35,101.6,73,22.2%,62,0.97,35,14.2%
James Ennis,25.3,NOP,Wing,281,64,18.3%,100,128.8,57,10.0%,44,0.55,18,14.5%
Tyler Ennis,21.2,MIL,Point,585,23,18.9%,39,101.1,16,21.2%,28,1.12,25,17.3%
Jeremy Evans,28.0,DAL,Big,182,0,9.5%,78,117.9,1,1.7%,2,0.18,27,16.0%
Tyreke Evans,26.1,NOP,Combo,764,93,29.4%,56,106.5,100,36.7%,93,1.25,18,14.9%
Festus Ezeli,26.0,GSW,Big,738,44,16.4%,48,109.6,29,6.3%,26,0.38,58,12.7%
Kenneth Faried,25.9,DEN,Big,1689,65,18.6%,71,115.6,43,7.7%,40,0.42,61,12.3%
Jordan Farmar,28.9,MEM,Point,290,31,20.0%,56,105.8,10,19.8%,10,0.99,64,13.4%
Derrick Favors,24.3,UTA,Big,1976,81,21.8%,53,110.6,54,8.6%,30,0.39,75,11.1%
Cristiano Felicio,23.3,CHI,Big,285,22,13.0%,92,123.1,70,10.3%,87,0.79,65,12.0%
Raymond Felton,31.3,DAL,Combo,2158,55,20.5%,33,100.9,58,20.5%,69,1.00,56,12.4%
Evan Fournier,23.0,ORL,Wing,2560,74,19.8%,91,117.6,75,12.8%,65,0.65,46,11.8%
Randy Foye,32.1,DEN,Combo,1036,33,18.1%,13,92.0,35,16.2%,45,0.89,47,13.3%
Randy Foye,32.1,OKC,Combo,519,9,15.2%,9,90.4,13,11.9%,25,0.78,38,14.2%
Tim Frazier,25.0,NOP,Point,462,75,26.4%,70,107.9,90,39.3%,79,1.49,62,13.4%
Tim Frazier,25.0,POR,Point,219,15,17.7%,2,78.8,20,22.5%,54,1.27,2,24.1%
Channing Frye,32.5,CLE,Big,397,50,17.1%,87,121.4,56,8.7%,58,0.51,95,8.2%
Channing Frye,32.5,ORL,Big,751,20,13.0%,77,117.4,52,8.3%,76,0.64,38,14.2%
Danilo Gallinari,27.2,DEN,Forward,1834,91,22.4%,89,116.2,82,12.2%,53,0.54,91,8.1%
Langston Galloway,23.9,NYK,Combo,1966,18,16.1%,29,98.5,36,16.2%,75,1.01,100,8.4%
Kevin Garnett,39.5,MIN,Big,555,12,12.2%,16,97.6,92,16.4%,99,1.34,78,10.9%
Marc Gasol,30.8,MEM,Big,1788,91,23.7%,32,105.3,96,19.5%,88,0.82,55,12.8%
Pau Gasol,35.3,CHI,Big,2288,94,24.4%,33,105.3,98,21.4%,92,0.88,56,12.8%
Rudy Gay,29.2,SAC,Forward,2371,89,21.2%,54,108.1,44,7.8%,12,0.37,61,11.7%
Alonzo Gee,28.4,NOP,Wing,1570,2,8.8%,76,113.4,13,6.2%,75,0.70,8,16.8%
Paul George,25.5,IND,Forward,2810,98,30.5%,74,112.6,96,20.4%,72,0.67,37,13.6%
Taj Gibson,30.4,CHI,Big,1923,28,14.1%,57,111.6,50,8.2%,67,0.59,54,12.9%
Manu Ginobili,38.3,SAS,Wing,1118,91,24.2%,85,115.3,98,23.5%,96,0.97,10,16.6%
Rudy Gobert,23.3,UTA,Big,1925,30,14.2%,64,113.3,39,7.3%,58,0.51,8,19.4%
Drew Gooden,34.1,WAS,Big,275,48,16.9%,0,79.4,38,7.1%,41,0.42,83,10.4%
Archie Goodwin,21.2,PHX,Combo,1026,73,24.0%,25,97.8,42,17.7%,18,0.74,5,16.7%
Aaron Gordon,20.1,ORL,Forward,1803,65,16.6%,58,108.5,70,10.2%,68,0.62,79,9.2%
Eric Gordon,26.9,NOP,Wing,1473,75,20.1%,81,114.0,77,13.0%,66,0.65,54,11.1%
Marcin Gortat,31.7,WAS,Big,2248,44,16.6%,78,117.9,38,7.1%,43,0.43,39,14.0%
Jerami Grant,21.6,PHI,Forward,2020,75,17.8%,28,100.4,72,10.6%,63,0.60,42,13.3%
Jerian Grant,23.1,NYK,Point,1182,36,20.5%,33,99.2,23,23.3%,34,1.14,46,15.0%
Danny Green,28.4,SAS,Wing,2015,22,14.0%,21,99.8,44,9.0%,64,0.64,43,12.2%
Draymond Green,25.7,GSW,Big,2797,79,21.1%,75,117.2,100,27.7%,99,1.31,9,18.8%
Gerald Green,29.8,MIA,Wing,1490,61,17.9%,15,97.4,11,5.7%,4,0.32,90,7.9%
JaMychal Green,25.4,MEM,Big,1343,61,18.3%,25,103.1,41,7.5%,37,0.41,41,14.0%
Jeff Green,29.2,LAC,Forward,631,86,20.5%,25,98.5,58,8.9%,23,0.43,88,8.5%
Jeff Green,29.2,MEM,Forward,1519,88,20.5%,37,104.6,75,10.9%,47,0.53,72,10.3%
Blake Griffin,26.6,LAC,Big,1167,99,28.8%,47,108.4,99,25.7%,93,0.89,78,10.9%
PJ Hairston,22.9,CHA,Wing,931,23,14.1%,16,97.9,7,4.8%,9,0.34,86,8.4%
PJ Hairston,22.9,MEM,Wing,347,50,16.8%,4,87.1,3,4.1%,2,0.24,61,10.7%
Jordan Hamilton,25.1,NOP,Wing,301,78,20.8%,25,100.8,76,13.0%,59,0.62,44,12.0%
Tyler Hansbrough,30.0,CHA,Big,248,7,11.1%,26,103.4,4,3.2%,13,0.29,88,9.8%
Tim Hardaway Jr.,23.6,ATL,Wing,754,34,14.9%,88,115.9,39,8.4%,46,0.56,91,7.7%
James Harden,26.2,HOU,Combo,3118,100,35.1%,100,121.1,98,35.5%,76,1.01,22,14.7%
Maurice Harkless,22.5,POR,Forward,1405,35,14.7%,51,107.2,25,6.9%,30,0.47,56,12.2%
Montrezl Harrell,21.8,HOU,Big,348,19,12.9%,91,122.9,32,6.4%,56,0.49,24,16.4%
Devin Harris,32.7,DAL,Wing,1268,59,17.6%,82,114.2,85,14.8%,89,0.84,32,13.1%
Gary Harris,21.1,DEN,Wing,2416,37,15.3%,79,113.8,46,9.2%,55,0.61,52,11.3%
Tobias Harris,23.3,DET,Big,900,71,19.8%,72,115.8,82,12.9%,77,0.65,97,7.5%
Tobias Harris,23.3,ORL,Forward,1604,79,18.1%,67,110.6,60,9.5%,44,0.52,63,11.7%
Udonis Haslem,35.4,MIA,Big,191,18,12.7%,2,87.0,62,9.3%,85,0.73,95,8.2%
Spencer Hawes,27.5,CHA,Big,1001,54,17.6%,18,99.4,94,17.1%,96,0.98,35,14.6%
Gordon Hayward,25.6,UTA,Wing,2882,97,25.9%,73,112.2,93,18.1%,73,0.70,39,12.4%
Gerald Henderson,27.9,POR,Wing,1390,72,19.5%,42,105.9,36,8.1%,18,0.42,54,11.1%
John Henson,24.8,MIL,Big,931,52,17.4%,73,116.5,63,9.7%,63,0.56,16,17.1%
Mario Hezonja,20.7,ORL,Wing,1324,40,16.2%,57,108.8,65,11.1%,70,0.69,2,18.5%
Roy Hibbert,28.9,LAL,Big,1873,21,13.0%,21,100.4,49,8.2%,73,0.63,42,13.9%
JJ Hickson,27.2,DEN,Big,301,73,20.2%,22,100.7,58,9.0%,45,0.44,70,11.6%
JJ Hickson,27.2,WAS,Big,102,90,23.6%,15,96.5,20,5.2%,4,0.22,68,11.8%
Nene Hilario,33.1,WAS,Big,1077,82,21.8%,58,111.7,85,14.3%,79,0.65,35,14.6%
George Hill,29.5,IND,Point,2517,10,16.8%,87,111.5,0,15.7%,7,0.94,95,10.7%
Jordan Hill,28.3,IND,Big,1486,70,19.6%,35,105.7,64,9.7%,55,0.49,47,13.5%
Solomon Hill,24.6,IND,Forward,807,19,12.9%,42,106.7,56,8.9%,77,0.69,58,12.2%
Darrun Hilliard,22.6,DET,Wing,305,46,16.5%,67,110.6,72,12.6%,82,0.76,11,15.2%
Kirk Hinrich,34.8,CHI,Combo,553,2,13.3%,67,108.2,33,16.1%,91,1.21,11,16.3%
Jrue Holiday,25.4,NOP,Point,1815,87,31.9%,64,106.7,84,36.6%,38,1.15,74,12.5%
Justin Holiday,26.6,ATL,Wing,193,25,14.3%,2,81.1,25,7.3%,38,0.51,9,16.7%
Justin Holiday,26.6,CHI,Combo,485,16,16.1%,51,105.8,16,13.0%,33,0.81,25,14.7%
Ryan Hollins,31.1,MEM,Big,387,4,10.8%,96,125.0,7,3.6%,19,0.34,6,20.5%
Rondae Hollis-Jefferson,20.8,BKN,Forward,602,23,13.2%,32,103.2,65,9.6%,79,0.73,35,13.7%
Richaun Holmes,22.0,PHI,Big,610,37,16.0%,70,115.5,30,6.4%,33,0.40,50,13.3%
Rodney Hood,23.0,UTA,Wing,2533,83,22.2%,56,108.8,82,14.2%,62,0.64,61,10.4%
Al Horford,29.4,ATL,Big,2607,68,19.2%,63,113.2,92,16.4%,89,0.85,88,9.6%
Dwight Howard,29.9,HOU,Big,2272,52,17.2%,85,120.0,37,7.1%,36,0.41,10,18.5%
Marcelo Huertas,32.4,LAL,Point,718,26,19.4%,54,105.5,70,32.8%,92,1.69,8,20.4%
Kris Humphries,30.7,ATL,Big,276,64,18.6%,39,106.3,30,6.3%,21,0.34,63,12.2%
Kris Humphries,30.7,WAS,Big,447,41,16.3%,30,104.2,25,5.5%,20,0.34,80,10.7%
RJ Hunter,22.0,BOS,Wing,240,12,13.0%,50,107.4,6,4.7%,10,0.36,22,14.2%
Serge Ibaka,26.1,OKC,Big,2477,33,15.0%,41,107.1,8,3.7%,7,0.25,67,11.9%
Andre Iguodala,31.8,GSW,Forward,1694,18,12.8%,84,114.0,93,16.3%,98,1.28,26,14.3%
Ersan Ilyasova,28.5,DET,Big,1428,47,16.9%,34,105.6,27,5.9%,22,0.35,82,10.5%
Ersan Ilyasova,28.5,ORL,Big,434,41,16.3%,27,103.6,12,4.1%,8,0.25,98,7.3%
Joe Ingles,28.1,UTA,Forward,1161,25,13.3%,88,116.0,81,12.0%,93,0.90,11,17.0%
